itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
item_1,achis,word,sounds,understands; produces,achís/achús,achoo,,
item_2,ay,word,sounds,understands; produces,¡ay!/¡au!,ouch,ouch,
item_3,beee,word,sounds,understands; produces,beee (oveja),baa (sheep),baa baa,
item_4,brumbrum,word,sounds,understands; produces,brumbrum (carro),vroom (cart),vroom,
item_5,cua_cua,word,sounds,understands; produces,cua-cuá (pato),quack quack (duck),quack quack,
item_6,guau_guau,word,sounds,understands; produces,guau-guau (perro),woof woof (dog),woof woof,
item_7,miau,word,sounds,understands; produces,miau (gato),meow (cat),meow,
item_8,muuu,word,sounds,understands; produces,muuu (vaca),moo (cow),moo,
item_9,pacatan,word,sounds,understands; produces,pacatán/tacatá (caballo),galloping (horse),,
item_10,pio_pio,word,sounds,understands; produces,pío pío (pollito),peep peep (chick),,
item_11,quiquiriqui,word,sounds,understands; produces,quiquiriquí (gallo),cockadoodledoo (rooster),cockadoodledoo,
item_12,tic_tac,word,sounds,understands; produces,tic-tac (reloj),tick tock (clock),tick tock,
item_13,tiii_tiii,word,sounds,understands; produces,tiii-tiii/piiii-piii (carro),beep beep (car),beep beep,
item_14,upa,word,sounds,understands; produces,upa,upa,,
item_15,uuuuuu,word,sounds,understands; produces,uuuuuu (sirena),wee woo (siren),,
item_16,a_ver,word,games_routines,understands; produces,a ver,let's see,,
item_17,adios,word,games_routines,understands; produces,adiós/chau,bye bye,bye,
item_18,bien,word,games_routines,understands; produces,bien,well,good,
item_19,caca,word,games_routines,understands; produces,caca/pufi/popó,poop,poop,
item_20,cochino,word,games_routines,understands; produces,cochino(a),pig,pig,
item_21,espera,word,games_routines,understands; produces,espera(te)/un ratito,wait a little while,,
item_22,este_dedito_compro_un_huevito,word,games_routines,understands; produces,este dedito compró un huevito,this little piggy,,
item_23,gol,word,games_routines,understands; produces,gol,goal,goal,
item_24,gracias,word,games_routines,understands; produces,gracias,thank you,thank you,
item_25,hola,word,games_routines,understands; produces,hola,hello,hello,
item_26,malo,word,games_routines,understands; produces,malo,evil,bad,
item_27,no,word,games_routines,understands; produces,no,not,not,
item_28,no_hay_pp,word,games_routines,understands; produces,no hay/pau pau,none,none,
item_29,ya,word,games_routines,understands; produces,ya/ok,yeah/ok,ok,
item_30,otra_vez,word,games_routines,understands; produces,otra vez,again,again,
item_31,por_favor,word,games_routines,understands; produces,por favor,please,please,
item_32,quedate_quieto,word,games_routines,understands; produces,quédate quieto,stay still,,
item_33,basta,word,games_routines,understands; produces,basta/se acabó/ya para,finished,finished,
item_34,shhh,word,games_routines,understands; produces,shhh (cállate),shhh (shut up),,
item_35,si,word,games_routines,understands; produces,sí,yes,yes,
item_36,tonto,word,games_routines,understands; produces,tonto(a),silly,,
item_37,uno_dos_tres,word,games_routines,understands; produces,(uno/dos) y tres,"(one, two) and three",one two three,
item_38,vamos,word,games_routines,understands; produces,vamos,let's go,,
item_39,vistete,word,games_routines,understands; produces,vístete,put on your clothes,,
item_40,ya_esta,word,games_routines,understands; produces,ya está,it is done,finished,
item_41,yaya,word,games_routines,understands; produces,yaya,yaya,,
item_42,animal,word,animals,understands; produces,animal,animal,animal,
item_43,bicho,word,animals,understands; produces,bicho,bug,bug,
item_44,burro,word,animals,understands; produces,burro,donkey,donkey,
item_45,caballo,word,animals,understands; produces,caballo,horse,horse,
item_46,chancho,word,animals,understands; produces,chancho,pig,pig,
item_47,conejo,word,animals,understands; produces,conejo,rabbit,bunny,
item_48,cuy,word,animals,understands; produces,cuy/cuye,guinea pig,,
item_49,gallina,word,animals,understands; produces,gallina,chicken,chicken (animal),
item_50,gato,word,animals,understands; produces,gato,cat,cat,
item_51,gaviota,word,animals,understands; produces,gaviota,seagull,,
item_52,hormiga,word,animals,understands; produces,hormiga,ant,ant,
item_53,leon,word,animals,understands; produces,león,lion,lion,
item_54,lobo,word,animals,understands; produces,lobo,wolf,wolf,
item_55,mono,word,animals,understands; produces,mono,monkey,monkey,
item_56,mosca,word,animals,understands; produces,mosca,fly,fly (animal),
item_57,oso,word,animals,understands; produces,oso,bear,bear,
item_58,oveja,word,animals,understands; produces,oveja,sheep,sheep,
item_59,pajaro,word,animals,understands; produces,pájaro,bird,bird,
item_60,paloma,word,animals,understands; produces,paloma,dove,,
item_61,pato,word,animals,understands; produces,pato,duck,duck,
item_62,perro,word,animals,understands; produces,perro,dog,dog,
item_63,pescado_pez,word,animals,understands; produces,pescado/pez,fish,fish (animal),
item_64,pollito,word,animals,understands; produces,pollito,chicken,chicken (animal),
item_65,pulpo,word,animals,understands; produces,pulpo,octopus,,
item_66,pericote,word,animals,understands; produces,pericote/ratón,rat/mouse,mouse,
item_67,tigre,word,animals,understands; produces,tigre,tiger,tiger,
item_68,vaca,word,animals,understands; produces,vaca,cow,cow,
item_69,abuela,word,people,understands; produces,abuela/mamama,grandma,grandma,
item_70,abuelo,word,people,understands; produces,abuelo/papapa,grandpa,grandpa,
item_71,bebe,word,people,understands; produces,bebé,baby,baby,
