itemID,item,type,category_ja,category,definition,definition_ja2,gloss,uni_lemma
item_1,A1,word,幼児語,sounds,あーあっ (よくないこと)  ,Aaa,Oh_no,uh oh
item_2,A2,word,幼児語,sounds,アイタ (いたい),Aita,Ouch,ouch
item_3,A3,word,幼児語,sounds,オイチィ (おいしい),Oichii,Yummy ,yummy
item_4,A4,word,幼児語,sounds,ガーガー (アヒル),Gaagaa,Quack_quack,quack quack
item_5,A5,word,幼児語,sounds,ガオー (ライオン),Gaoo,Roar,roar
item_6,A6,word,幼児語,sounds,こけこっこ (にわとり),Kokekokko,Cock_a_doodle_doo,cockadoodledoo
item_7,A7,word,幼児語,sounds,シュッポッポー (汽車),Syupoppoo,Choo-choo,choo choo
item_8,A8,word,幼児語,sounds,ニャンニャン (ネコ),Nyannyan,Meow,meow
item_9,A9,word,幼児語,sounds,ブーブー (車),Buubuu,Broom_broom,vroom
item_10,A10,word,幼児語,sounds,メーメー (ヤギ),meemee,Baa_baa,baa baa
item_11,A11,word,幼児語,sounds,モー (牛),Moo,Moo,moo
item_12,A12,word,幼児語,sounds,ワンワン (犬),Wanwan,Bowwow,woof woof
item_13,B1,word,動物の名前,animals,アヒル,Ahiru,Duck,duck
item_14,B2,word,動物の名前,animals,アリ,Ari,Ant,ant
item_15,B3,word,動物の名前,animals,犬,Inu,Dog,dog
item_16,B4,word,動物の名前,animals,うさぎ,Usagi,Rabbit,rabbit
item_17,B5,word,動物の名前,animals,牛,Ushi,Cow,cow
item_18,B6,word,動物の名前,animals,うま,Uma,Horse,horse
item_19,B7,word,動物の名前,animals,えび,Ebi,Shrimp,shrimp
item_20,B8,word,動物の名前,animals,おおかみ,Ookami,Wolf,wolf
item_21,B9,word,動物の名前,animals,カエル,Kaeru,Frog,frog
item_22,B10,word,動物の名前,animals,かに,Kani,Crab,crab
item_23,B11,word,動物の名前,animals,カバ,Kaba,Hippopotamus,hippopotamus
item_24,B12,word,動物の名前,animals,かめ,Kame,Turtle,turtle
item_25,B13,word,動物の名前,animals,カラス,Karasu,Crow,crow
item_26,B14,word,動物の名前,animals,きつね,Kitsune,Fox,fox
item_27,B15,word,動物の名前,animals,きりん,Kirin,Giraffe ,giraffe
item_28,B16,word,動物の名前,animals,くじら,Kujira,Whale,whale
item_29,B17,word,動物の名前,animals,くま,Kuma,Bear,bear
item_30,B18,word,動物の名前,animals,コアラ,Koara,Koala,koala
item_31,B19,word,動物の名前,animals,ゴリラ,Gorira,Gorilla,gorilla
item_32,B20,word,動物の名前,animals,さかな,Sakana,Fish,fish (animal)
item_33,B21,word,動物の名前,animals,さる,Saru,Monkey,monkey
item_34,B22,word,動物の名前,animals,しまうま,Shimauma,Zebra,zebra
item_35,B23,word,動物の名前,animals,ぞう,Zou,Elephant,elephant
item_36,B24,word,動物の名前,animals,たぬき,Tanuki,Raccoon,
item_37,B25,word,動物の名前,animals,チョウチョ,Choucho,Butterfly,butterfly
item_38,B26,word,動物の名前,animals,どうぶつ,Doubutsu,Animal,animal
item_39,B27,word,動物の名前,animals,トラ,Tora,Tiger,tiger
item_40,B28,word,動物の名前,animals,とり,Tori,Bird,bird
item_41,B29,word,動物の名前,animals,にわとり,Niwatori,Chicken,chicken
item_42,B30,word,動物の名前,animals,ねこ,Neko,Cat,cat
item_43,B31,word,動物の名前,animals,ねずみ,Nezumi,Mouse,mouse
item_44,B32,word,動物の名前,animals,はち,Hachi,Bee,bee
item_45,B33,word,動物の名前,animals,はと,Hato,Pigeon,pigeon
item_46,B34,word,動物の名前,animals,パンダ,Panda,Panda,panda
item_47,B35,word,動物の名前,animals,ひつじ,Hitsuji,Sheep,sheep
item_48,B36,word,動物の名前,animals,ひよこ,Hiyoko,Chick,chick
item_49,B37,word,動物の名前,animals,ぶた,Buta,Pig,pig
item_50,B38,word,動物の名前,animals,へび,Hebi,Snake,snake
item_51,B39,word,動物の名前,animals,ペンギン,Pengin,Penguin,penguin
item_52,B40,word,動物の名前,animals,虫,Mushi,Insect,bug
item_53,B41,word,動物の名前,animals,ライオン,Raion,Lion,lion
item_54,B42,word,動物の名前,animals,リス,Risu,Squirrel,squirrel
item_55,B43,word,動物の名前,animals,ワニ,Wani,Crocodile,crocodile
item_56,C1,word,乗り物,vehicles,汽車,Kisya,Locomotive,car
item_57,C2,word,乗り物,vehicles,車 (自動車),Kuruma,Car,car
item_58,C3,word,乗り物,vehicles,三輪車,Sanrinsya,Tricycle,tricycle
item_59,C4,word,乗り物,vehicles,自転車,Jitensya,Bicycle,bicycle
item_60,C5,word,乗り物,vehicles,消防車,Shoubousya,Fire_engine,firetruck
item_61,C6,word,乗り物,vehicles,ダンプカー,Danpukaa,Dump_truck,
item_62,C7,word,乗り物,vehicles,電車,Densya,Train,train
item_63,C8,word,乗り物,vehicles,トラック,Torakku,Truck,truck
item_64,C9,word,乗り物,vehicles,バイク,Baiku,Motorcycle,motorcycle
item_65,C10,word,乗り物,vehicles,バス,Basu,Bus,bus
item_66,C11,word,乗り物,vehicles,パトカー,Patokaa,Police_car,police car
item_67,C12,word,乗り物,vehicles,飛行機,Hikouki,Airplane,airplane
item_68,C13,word,乗り物,vehicles,船,Fune,Ship,ship
item_69,C14,word,乗り物,vehicles,ヘリコプター,Herikoputaa,Helicopter,helicopter
item_70,D1,word,おもちゃ,toys,絵本,Ehon,Picture_book,book
item_71,D2,word,おもちゃ,toys,えんぴつ,Enpitsu,Pencil,pencil
item_72,D3,word,おもちゃ,toys,おもちゃ,Omocha,Toy,toy (object)
item_73,D4,word,おもちゃ,toys,クレヨン,Kureyon,Crayon,crayon
item_74,D5,word,おもちゃ,toys,ゲーム,Geemu,Game,game
item_75,D6,word,おもちゃ,toys,シャボン玉,Shabondama,Soap_bubble,bubbles
item_76,D7,word,おもちゃ,toys,たいこ,Taiko,Drum,drum
item_77,D8,word,おもちゃ,toys,つみき,Tsumiki,Building_blocks,blocks
item_78,D9,word,おもちゃ,toys,人形,Ningyoo,Doll,doll
item_79,D10,word,おもちゃ,toys,粘土,Nendo,Clay,clay
item_80,D11,word,おもちゃ,toys,のり (糊),Nori,Paste,glue (object)
item_81,D12,word,おもちゃ,toys,パズル,Pazuru,Puzzle,puzzle
item_82,D13,word,おもちゃ,toys,バット,Batto,Bat,bat
item_83,D14,word,おもちゃ,toys,風船,Fuusen,Balloon,balloon
item_84,D15,word,おもちゃ,toys,プレゼント,Purezento,Present,present
item_85,D16,word,おもちゃ,toys,ペン,Pen,Pen,pen
item_86,D17,word,おもちゃ,toys,ボール,Booru,Ball,ball
item_87,D18,word,おもちゃ,toys,本,Hon,Book,book
item_88,E1,word,食べ物と飲み物,food_drink,アイスクリーム,Aisukuriimu,Ice_cream,ice cream
item_89,E2,word,食べ物と飲み物,food_drink,あめ（飴）,Ame,Candy,candy
item_90,E3,word,食べ物と飲み物,food_drink,いちご（苺）,Ichigo,Strawberry,strawberry
item_91,E4,word,食べ物と飲み物,food_drink,うどん,Udon,Udon,noodles
item_92,E5,word,食べ物と飲み物,food_drink,おいも,Oimo,Sweet_potato,sweet potato
item_93,E6,word,食べ物と飲み物,food_drink,お菓子,Okashi,Sweets,sweets
item_94,E7,word,食べ物と飲み物,food_drink,お砂糖,Osatou,Sugar,sugar
item_95,E8,word,食べ物と飲み物,food_drink,おすし,Osushi,Sushi,
item_96,E9,word,食べ物と飲み物,food_drink,おにぎり・おむすび,Onigiri_omusubi,Rice_ball,
item_97,E10,word,食べ物と飲み物,food_drink,お茶,Ocha,Tea,tea
item_98,E11,word,食べ物と飲み物,food_drink,柿,Kaki,Persimmon,persimmon
