item,itemID,complexity_category,choices,type,definition,is_both,category,lexical_class,gloss,uni_lemma
ainmhí,item_14,ANIMALS (Real or toy),produces; doesn't produce,word,ainmhí,0,animals,nouns,animal,animal
asal,item_16,ANIMALS (Real or toy),produces; doesn't produce,word,asal,0,animals,nouns,donkey,donkey
beach,item_18,ANIMALS (Real or toy),produces; doesn't produce,word,beach,0,animals,nouns,bee,bee
bear,item_20,ANIMALS (Real or toy),produces; doesn't produce,word,bear_béir,1,animals,nouns,bear,bear
bó,item_21,ANIMALS (Real or toy),produces; doesn't produce,word,bó,0,animals,nouns,cow,cow
bóindé,item_23,ANIMALS (Real or toy),produces; doesn't produce,word,bóindé,0,animals,nouns,ladybird,ladybug
caora,item_25,ANIMALS (Real or toy),produces; doesn't produce,word,caora,0,animals,nouns,sheep,sheep
capallín,item_27,ANIMALS (Real or toy),produces; doesn't produce,word,capallín,0,animals,nouns,pony,pony
capall,item_29,ANIMALS (Real or toy),produces; doesn't produce,word,capall,0,animals,nouns,horse,horse
catie,item_31,ANIMALS (Real or toy),produces; doesn't produce,word,catie,1,animals,nouns,cat,cat
cearc,item_32,ANIMALS (Real or toy),produces; doesn't produce,word,cearc,0,animals,nouns,hen,hen
coileach,item_34,ANIMALS (Real or toy),produces; doesn't produce,word,coileach,0,animals,nouns,cock,rooster
coileán,item_36,ANIMALS (Real or toy),produces; doesn't produce,word,coileán,0,animals,nouns,puppy,puppy
coinín,item_38,ANIMALS (Real or toy),produces; doesn't produce,word,coinín,0,animals,nouns,rabbit,bunny
cuileog,item_40,ANIMALS (Real or toy),produces; doesn't produce,word,cuileog,0,animals,nouns,fly,fly (animal)
damhánalla,item_42,ANIMALS (Real or toy),produces; doesn't produce,word,damhánalla,0,animals,nouns,spider,spider
eala,item_44,ANIMALS (Real or toy),produces; doesn't produce,word,eala,0,animals,nouns,swan,swan
éan,item_46,ANIMALS (Real or toy),produces; doesn't produce,word,éan,0,animals,nouns,bird,bird
eilifint,item_48,ANIMALS (Real or toy),produces; doesn't produce,word,eilifint_elephant,1,animals,nouns,elephant,elephant
faoileán,item_49,ANIMALS (Real or toy),produces; doesn't produce,word,faoileán,0,animals,nouns,seagull,seagull
féileacán,item_51,ANIMALS (Real or toy),produces; doesn't produce,word,féileacán_apeileacán,0,animals,nouns,butterfly,butterfly
fia,item_53,ANIMALS (Real or toy),produces; doesn't produce,word,fia,0,animals,nouns,deer,deer
frog,item_55,ANIMALS (Real or toy),produces; doesn't produce,word,frog,1,animals,nouns,frog,frog
gabhar,item_56,ANIMALS (Real or toy),produces; doesn't produce,word,gabhar,0,animals,nouns,goat,goat
gé,item_58,ANIMALS (Real or toy),produces; doesn't produce,word,gé,0,animals,nouns,goose,goose
iasc,item_60,ANIMALS (Real or toy),produces; doesn't produce,word,iasc,0,animals,nouns,fish,fish (animal)
lacha,item_62,ANIMALS (Real or toy),produces; doesn't produce,word,lacha,0,animals,nouns,duck,duck
lao,item_64,ANIMALS (Real or toy),produces; doesn't produce,word,lao_agamhainín,0,animals,nouns,calf,calf
leon,item_66,ANIMALS (Real or toy),produces; doesn't produce,word,leon,0,animals,nouns,lion,lion
