itemID,item,type,category,choices,definition,complexity_category,...8,gloss,uni_lemma,...11
item_1,ah,word,sounds,understands; produces,Ah! (surpresa),NA,ah,"Ah (interjection, surprise)",oh,NA
item_2,ai,word,sounds,understands; produces,Ai!,NA,ai,"Ai (interjection, hurting)",ouch,NA
item_3,au_au,word,sounds,understands; produces,Au Au / Ão Ão (cão),NA,au_au,Au_Au (dog barking),woof woof,NA
item_4,chiu,word,sounds,understands; produces,Chiu!,NA,chiu,"Chiu (interjection, asking silence)",shh,NA
item_5,cocoro,word,sounds,understands; produces,Cócórócó (galo / galinha),NA,cócóró,Cócóró (cock singing),cockadoodledoo,NA
item_6,cu_cu,word,sounds,understands; produces,Cu-cu,NA,cu_cu,Cu_cu (playing Peekaboo),NA,NA
item_7,eh,word,sounds,understands; produces,Eh!,NA,eh,Eh (interjection),oh,NA
item_8,ena,word,sounds,understands; produces,Ena!,NA,ena,"Ena (interjection, surprise)",oh,NA
item_9,hi_hi,word,sounds,understands; produces,Hi-hi (cavalo),NA,hi_hi,Hi_hi (horse's sound),neigh,NA
item_10,io_io,word,sounds,understands; produces,I-ó / I-ó (burro),NA,ió_io,Ió_ió (donkey's sound),hee haw,NA
item_11,me_me,word,sounds,understands; produces,Mé mé (ovelha),NA,mé_mé,Mé_mé (sheep's sound),baa baa,NA
item_12,miau,word,sounds,understands; produces,Miau miau (gato),NA,miau,Miau (cat's sound),meow,NA
item_13,mu_muuu,word,sounds,understands; produces,Mu-Muuu (vaca),NA,mu_muuu,Mu_muuu (cow's sound),moo,NA
item_14,oh,word,sounds,understands; produces,Oh!,NA,oh,Oh (interjection),oh,NA
item_15,piu_piu,word,sounds,understands; produces,Piu-piu (pintainho),NA,piu_piu,Piu_piu (baby chicken sound),NA,NA
item_16,pumba_pum,word,sounds,understands; produces,Pumba! / Pum!,NA,pumba_pum,"Pumba_pum (interjection, used to indicate that something or someone fell)",uh oh,NA
item_17,qua_qua,word,sounds,understands; produces,Quá-Quá (pato),NA,quá_quá,Quá_quá (duck's sound),quack quack,NA
item_18,vrum_vrum,word,sounds,understands; produces,Vrum-vrum (carro),NA,vrum_vrum,Vrum_vrum (car's sound),vroom,NA
item_19,tinoni,word,sounds,understands; produces,Tinoni (ambulância),NA,tinoni,Tinoni (ambulance's sound),NA,NA
item_20,ui,word,sounds,understands; produces,Ui!,NA,ui,"Ui (interjection, hurting)",ouch,NA
item_21,uau,word,sounds,understands; produces,Uau!,NA,uau,"Uau (interjection, surprise)",oh,NA
item_22,upa_upa,word,sounds,understands; produces,"Upa, upa (levantar)",NA,upa_upa,"Upa_Upa (interjection, usually used when asking for or being lifted up)",NA,NA
item_23,abelha,word,animals,understands; produces,Abelha,NA,abelha,Bee,bee,NA
item_24,bicho,word,animals,understands; produces,Bicho,NA,bicho,Animal,animal,NA
item_25,boi,word,animals,understands; produces,Boi,NA,boi,Ox,ox,NA
item_26,burro,word,animals,understands; produces,Burro,NA,burro,Donkey,donkey,NA
item_27,cao,word,animals,understands; produces,Cão,NA,cão,Dog,dog,NA
item_28,cavalo,word,animals,understands; produces,Cavalo,NA,cavalo,Horse,horse,NA
item_29,cobra,word,animals,understands; produces,Cobra,NA,cobra,Snake,snake,NA
item_30,coelho,word,animals,understands; produces,Coelho,NA,coelho,Rabbit,bunny,NA
item_31,elefante,word,animals,understands; produces,Elefante,NA,elefante,Elephant,elephant,NA
item_32,gato,word,animals,understands; produces,Gato,NA,gato,Cat,cat,NA
item_33,leao,word,animals,understands; produces,Leão,NA,leão,Lion,lion,NA
item_34,macaco,word,animals,understands; produces,Macaco,NA,macaco,Monkey,monkey,NA
item_35,mosca,word,animals,understands; produces,Mosca,NA,mosca,Fly,fly (animal),NA
item_36,panda,word,animals,understands; produces,Panda,NA,panda,Panda,panda,NA
item_37,passaro,word,animals,understands; produces,Pássaro,NA,pássaro,Bird,bird,NA
item_38,pato,word,animals,understands; produces,Pato,NA,pato,Duck,duck,NA
item_39,peixe_rep,word,animals,understands; produces,Peixe,NA,Peixe_rep,Fish,fish (animal),NA
item_40,porco,word,animals,understands; produces,Porco,NA,porco,Pig,pig,NA
item_41,rato,word,animals,understands; produces,Rato,NA,rato,Mouse,mouse,NA
item_42,urso,word,animals,understands; produces,Urso,NA,urso,Bear,bear,NA
item_43,vaca,word,animals,understands; produces,Vaca,NA,vaca,Cow,cow,NA
item_44,aviao,word,vehicles,understands; produces,Avião,NA,avião,Airplane,airplane,NA
item_45,barco,word,vehicles,understands; produces,Barco,NA,barco,Boat,boat,NA
item_46,bicicleta,word,vehicles,understands; produces,Bicicleta,NA,bicicleta,Bicycle,bicycle,NA
item_47,camiao,word,vehicles,understands; produces,Camião,NA,camião,Truck,truck,NA
item_48,carro,word,vehicles,understands; produces,Carro,NA,carro,Car,car,NA
item_49,comboio,word,vehicles,understands; produces,Comboio,NA,comboio,Train,train,NA
item_50,moto,word,vehicles,understands; produces,Moto/a,NA,moto,motorbike/motorcycle,motorcycle,NA
item_51,trator,word,vehicles,understands; produces,Trator,NA,trator,Tractor,tractor,NA
item_52,triciclo,word,vehicles,understands; produces,Triciclo,NA,triciclo,Tricycle,tricycle,NA
item_53,bola,word,toys,understands; produces,Bola,NA,bola,Ball,ball,NA
item_54,boneca,word,toys,understands; produces,Boneca,NA,boneca,Doll,doll,NA
item_55,jogos,word,toys,understands; produces,Jogos,NA,jogos,Games,game,NA
item_56,lapis,word,toys,understands; produces,Lápis,NA,lápis,Pencil,pen/pencil,NA
item_57,legos,word,toys,understands; produces,Legos,NA,legos,Legos,blocks,NA
item_58,livro,word,toys,understands; produces,Livro,NA,livro,Book,book,NA
item_59,peluche,word,toys,understands; produces,Peluche / Urso de Peluche,NA,peluche,Teddy bear,bear,NA
item_60,agua,word,food_drink,understands; produces,Água,NA,água,Water,water (beverage),NA
item_61,arroz,word,food_drink,understands; produces,Arroz,NA,arroz,Rice,rice,NA
item_62,banana,word,food_drink,understands; produces,Banana,NA,banana,Banana,banana,NA
item_63,batatas,word,food_drink,understands; produces,Batatas,NA,batatas,Potatoes,potato,NA
item_64,bolachas,word,food_drink,understands; produces,Bolachas,NA,bolachas,Cookies,cookie,NA
