itemID,item,type,category,choices,definition,gloss,complexity_category,uni_lemma
item_1,1_au,word,sounds,produces,au,ouch,,
item_2,2_bac,word,sounds,produces,bác,bang/boom,,
item_3,3_bu,word,sounds,produces,bů,moo,,
item_4,4_crrr,word,sounds,produces,crrr,ring,,
item_5,5_haf,word,sounds,produces,haf,bark,,
item_6,6_hop,word,sounds,produces,hop,hop,,
item_7,7_iiaa,word,sounds,produces,íí áá,hee-haw,,
item_8,8_jupi,word,sounds,produces,jupí,yippie,,
item_9,9_kvakva,word,sounds,produces,kvá kvá,quack,,
item_10,10_kykyryky,word,sounds,produces,kykyryký,cock-a-doodle-doo,,
item_11,11_meme,word,sounds,produces,mé mé,baa ,,
item_12,12_mnam,word,sounds,produces,mňam,yum,,
item_13,13_mnau,word,sounds,produces,mňau,meow,,
item_14,14_sssshu,word,sounds,produces,šššš hů,choochoo,,
item_15,15_tiktak,word,sounds,produces,tik tak,ticktack,,
item_16,16_vrnvrn,word,sounds,produces,vrn vrn (auto),vroom,,
item_17,17_beruska,word,animals,produces,beruška,ladybug,,
item_18,18_brouk,word,animals,produces,brouk,bug,,
item_19,19_had,word,animals,produces,had,snake,,
item_20,20_jelen,word,animals,produces,jelen,deer,,
item_21,21_kachna,word,animals,produces,kachna,duck,,
item_22,22_kocka,word,animals,produces,kočka,cat,,
item_23,23_kohout,word,animals,produces,kohout,rooster,,
item_24,24_koza,word,animals,produces,koza,goat,,
item_25,25_krokodyl,word,animals,produces,krokodýl,crocodile,,
item_26,26_kun,word,animals,produces,kůň,horse,,
item_27,27_kure,word,animals,produces,kuře,chicken,,
item_28,28_lev,word,animals,produces,lev,lion,,
item_29,29_liska,word,animals,produces,liška,fox,,
item_30,30_medved,word,animals,produces,medvěd,bear,,
item_31,31_motyl,word,animals,produces,motýl,butterfly,,
item_32,32_moucha,word,animals,produces,moucha,fly,,
item_33,33_opice,word,animals,produces,opice,monkey,,
item_34,34_ovce,word,animals,produces,ovce,sheep,,
item_35,35_pavouk,word,animals,produces,pavouk,spider,,
item_36,36_pes,word,animals,produces,pes,dog,,
item_37,37_prase,word,animals,produces,prase,pig,,
item_38,38_ptak,word,animals,produces,pták,bird,,
item_39,39_ryba1,word,animals,produces,ryba,fish,,
item_40,40_slepice,word,animals,produces,slepice,chicken/hen,,
item_41,41_snek,word,animals,produces,šnek,snail,,
item_42,42_tygr,word,animals,produces,tygr,tiger,,
item_43,43_tucnak,word,animals,produces,tučňák,penguin,,
item_44,44_vcela,word,animals,produces,včela,bee,,
item_45,45_vlk,word,animals,produces,vlk,wolf,,
item_46,46_vosa,word,animals,produces,vosa,wasp,,
item_47,47_zvire,word,animals,produces,zvíře,animal,,
item_48,48_zaba,word,animals,produces,žába,frog,,
item_49,49_zelva,word,animals,produces,želva,turtle,,
item_50,50_zirafa,word,animals,produces,žirafa,giraffe,,
item_51,51_slon,word,animals,produces,slon,elephant,,
item_52,52_sova,word,animals,produces,sova,owl,,
item_53,53_mravenec,word,animals,produces,mravenec,ant,,
item_54,54_mys,word,animals,produces,myš,mouse,,
item_55,55_kralik,word,animals,produces,králik,rabbit,,
item_56,56_krava,word,animals,produces,kráva,cow,,
item_57,57_auto1,word,vehicles,produces,auto,car,,
item_58,58_autobus,word,vehicles,produces,autobus,bus,,
item_59,59_bagr,word,vehicles,produces,bagr,excavator,,
item_60,60_hasici,word,vehicles,produces,hasiči,firefighters,,
item_61,61_kocarek,word,vehicles,produces,kočárek,pram,,
item_62,62_kolo,word,vehicles,produces,kolo,bicycle,,
item_63,63_letadlo,word,vehicles,produces,letadlo,airplane,,
item_64,64_lod,word,vehicles,produces,loď,ship,,
item_65,65_motorka,word,vehicles,produces,motorka,motorbike,,
item_66,66_nakladak,word,vehicles,produces,náklaďák,van,,
item_67,67_policajti,word,vehicles,produces,policajti,policemen,,
item_68,68_sanitka,word,vehicles,produces,sanitka,ambulance,,
item_69,69_traktor,word,vehicles,produces,traktor,tractor,,
item_70,70_vlak,word,vehicles,produces,vlak,train,,
item_71,71_vrtulnik,word,vehicles,produces,vrtulník,helicopter,,
item_72,72_babovicka,word,toys,produces,bábovička,sandcake,,
item_73,73_bubinek,word,toys,produces,bubínek,drum,,
item_74,74_darek,word,toys,produces,dárek,gift,,
item_75,75_fotak,word,toys,produces,foťák,camera,,
item_76,76_fotbal,word,toys,produces,fotbal,football,,
item_77,77_hracka,word,toys,produces,hračka,toy,,
