itemID,category,item,definition,choices,type,gloss,uni_lemma
item_1,sounds,ai,ai,produces,word,ow,ouch
item_2,sounds,auh,auh,produces,word,woof-woof,woof woof
item_3,sounds,kikerikii,kikerikii,produces,word,cock-a-doodle-doo,cockadoodledoo
item_4,sounds,krooks,krooks,produces,word,ribbit-ribbit,ribbit
item_5,sounds,mää,mää,produces,word,baa,baa baa
item_6,sounds,miau,miau,produces,word,meow,meow
item_7,sounds,mõmm,mõmm,produces,word,bear sound,
item_8,sounds,nämm,nämm,produces,word,yummy,yummy
item_9,sounds,oi_oi,oi_oi,produces,word,oh-oh,uh oh
item_10,sounds,põrr,põrr,produces,word,vroom-vroom,vroom
item_11,sounds,potsti,potsti,produces,word,whoopsy-daisy,oops
item_12,sounds,röh,röh,produces,word,oink-oink,oink
item_13,sounds,summ,summ,produces,word,buzz,buzz
item_14,sounds,tsuhh,tsuhh,produces,word,choo-choo,choo choo
item_15,sounds,tuut,tuut,produces,word,toot-toot,honk honk
item_16,animals,ahv,ahv,produces,word,monkey,monkey
item_17,animals,eesel,eesel,produces,word,donkey,donkey
item_18,animals,elevant,elevant,produces,word,elephant,elephant
item_19,animals,hamster,hamster,produces,word,hamster,
item_20,animals,hani,hani,produces,word,goose,goose
item_21,animals,hiir,hiir,produces,word,mouse,mouse
item_22,animals,hobune,hobune,produces,word,horse,horse
item_23,animals,hüjes,hüjes,produces,word,seal,seal
item_24,animals,hunt,hunt,produces,word,wolf,wolf
item_25,animals,ilves,ilves,produces,word,lynx,
item_26,animals,jänes,jänes,produces,word,rabbit,bunny
item_27,animals,kaelkirjak,kaelkirjak,produces,word,giraffe,giraffe
item_28,animals,kala,kala,produces,word,fish (animal),fish (animal)
item_29,animals,kana,kana,produces,word,chicken (animal),chicken (animal)
item_30,animals,kärbes,kärbes,produces,word,fly (animal),fly (animal)
item_31,animals,karu,karu,produces,word,bear,bear
item_32,animals,kass,kass,produces,word,kitty,kitty
item_33,animals,kilpkonn,kilpkonn,produces,word,turtle,turtle
item_34,animals,kits,kits,produces,word,goat,goat
item_35,animals,koer,koer,produces,word,dog,dog
item_36,animals,konn,konn,produces,word,frog,frog
item_37,animals,krokodill,krokodill,produces,word,crocodile,crocodile
item_38,animals,kukk,kukk,produces,word,rooster,rooster
item_39,animals,lammas,lammas,produces,word,sheep,sheep
item_40,animals,lehm,lehm,produces,word,cow,cow
item_41,animals,lepatriinu,lepatriinu,produces,word,ladybug,ladybug
item_42,animals,liblikas,liblikas,produces,word,butterfly,butterfly
item_43,animals,lind,lind,produces,word,bird,bird
item_44,animals,loom,loom,produces,word,animal,animal
item_45,animals,lõvi,lõvi,produces,word,lion,lion
item_46,animals,mesilane,mesilane,produces,word,bee,bee
item_47,animals,orav,orav,produces,word,squirrel,squirrel
item_48,animals,part,part,produces,word,duck,duck
item_49,animals,pingviin,pingviin,produces,word,penguin,penguin
item_50,animals,põder,põder,produces,word,elk,moose
item_51,animals,putukas,putukas,produces,word,bug,bug
item_52,animals,rebane,rebane,produces,word,fox,fox
item_53,animals,sebra,sebra,produces,word,zebra,zebra
item_54,animals,siga,siga,produces,word,pig,pig
item_55,animals,sipelgas,sipelgas,produces,word,ant,ant
item_56,animals,tibu,tibu,produces,word,chick,chick
item_57,animals,tigu,tigu,produces,word,snail,snail
item_58,animals,tiiger,tiiger,produces,word,tiger,tiger
item_59,animals,toonekurg,toonekurg,produces,word,stork,stork
item_60,animals,tuvi,tuvi,produces,word,pigeon,pigeon
item_61,animals,uss,uss,produces,word,worm,worm
item_62,animals,öökull,öökull,produces,word,owl,owl
