definition,category,item,type,choices,complexity_category,itemID,gloss,uni_lemma
а-а-а,sounds,NA,word,produces,NA,item_1,NA,wee woo
ав,sounds,NA,word,produces,NA,item_2,Woof-woof,woof woof
алё,sounds,NA,word,produces,NA,item_3,Ring-ring,hello
ам-ам/ням-ням,sounds,NA,word,produces,NA,item_4,Yum-yum,yum yum
бе,sounds,NA,word,produces,NA,item_5,Baa-baa,baa baa
биби,sounds,NA,word,produces,NA,item_6,Beep-beep,beep beep
бл-бл,sounds,NA,word,produces,NA,item_7,Gooble-gooble,gobble gobble
брр/ввв и т.п.,sounds,NA,word,produces,NA,item_8,Vroom,vroom
бух/бах/бам,sounds,NA,word,produces,NA,item_9,Thump,thump
га-га,sounds,NA,word,produces,NA,item_10,Honk-honk,honk honk
динь-динь,sounds,NA,word,produces,NA,item_11,Ding-a-ling,ring ring
жж,sounds,NA,word,produces,NA,item_12,Bzzz,buzz
иа,sounds,NA,word,produces,NA,item_13,E-haw,hee haw
иго-го/цока-ющий звук,sounds,NA,word,produces,NA,item_14,neigh-neigh,neigh
кап-кап,sounds,NA,word,produces,NA,item_15,Pit-a-pat,drip drop
кар,sounds,NA,word,produces,NA,item_16,Caw,caw
ква,sounds,NA,word,produces,NA,item_17,Croak-croak,ribbit
ко-ко,sounds,NA,word,produces,NA,item_18,Cluck-cluck,cluck
кря,sounds,NA,word,produces,NA,item_19,quack -quack,quack quack
кукареку,sounds,NA,word,produces,NA,item_20,Cock-a-doodle-do,cockadoodledoo
ля-ля-ля,sounds,NA,word,produces,NA,item_21,Lah-lah,lah lah
ме,sounds,NA,word,produces,NA,item_22,Bleat/Baa,baa baa
му,sounds,NA,word,produces,NA,item_23,Moo-moo,moo
мяу,sounds,NA,word,produces,NA,item_24,Meow,meow
пи-пи,sounds,NA,word,produces,NA,item_25,Squeak-squeak,squeak
прыг,sounds,NA,word,produces,NA,item_26,Hop-hop,hop
ррр,sounds,NA,word,produces,NA,item_27,Grrrr,grrr
тик-так,sounds,NA,word,produces,NA,item_28,Tick-tock,tick tock
топ-топ,sounds,NA,word,produces,NA,item_29,Stomp-stomp,stomp
тсс,sounds,NA,word,produces,NA,item_30,Shh,shh
тук-тук,sounds,NA,word,produces,NA,item_31,Rat-a-tat,knock knock
ту-ту/чух-чух,sounds,NA,word,produces,NA,item_32,Choo-choo,choo choo
уу,sounds,NA,word,produces,NA,item_33,Awooooo,awoo
фу,sounds,NA,word,produces,NA,item_34,NA,yucky
хрр/хрю,sounds,NA,word,produces,NA,item_35,Oink-oink,oink
чик,sounds,NA,word,produces,NA,item_36,Click-click,click
шш,sounds,NA,word,produces,NA,item_37,Sss,hiss
бабочка,animals,NA,word,produces,NA,item_38,butterfly,butterfly
баран,animals,NA,word,produces,NA,item_39,lamb,sheep
бегемот,animals,NA,word,produces,NA,item_40,hippopotamus,hippopotamus
белка,animals,NA,word,produces,NA,item_41,squirrel,squirrel
волк,animals,NA,word,produces,NA,item_42,wolf,wolf
воробей,animals,NA,word,produces,NA,item_43,sparrow,sparrow
ворона,animals,NA,word,produces,NA,item_44,crow,crow
голубь,animals,NA,word,produces,NA,item_45,pigeon,pigeon
гусь,animals,NA,word,produces,NA,item_46,goose,goose
ёж,animals,NA,word,produces,NA,item_47,hedgehog,hedgehog
жираф,animals,NA,word,produces,NA,item_48,giraffe,giraffe
жук,animals,NA,word,produces,NA,item_49,bug,bug
заяц,animals,NA,word,produces,NA,item_50,hare,bunny
звери,animals,NA,word,produces,NA,item_51,animals,animal
змея,animals,NA,word,produces,NA,item_52,snake,snake
коза,animals,NA,word,produces,NA,item_53,goat,goat
комар,animals,NA,word,produces,NA,item_54,mosquito,mosquito
конь,animals,NA,word,produces,NA,item_55,horse,stallion
корова,animals,NA,word,produces,NA,item_56,cow,cow
кошка,animals,NA,word,produces,NA,item_57,cat,cat
крокодил,animals,NA,word,produces,NA,item_58,crocodile,alligator
курица (animal),animals,NA,word,produces,NA,item_59,hen,chicken (animal)
лев,animals,NA,word,produces,NA,item_60,lion,lion
лиса,animals,NA,word,produces,NA,item_61,fox,fox
лошадь,animals,NA,word,produces,NA,item_62,horse,horse
лягушка,animals,NA,word,produces,NA,item_63,frog,frog
медведь,animals,NA,word,produces,NA,item_64,bear,bear
муха,animals,NA,word,produces,NA,item_65,fly,fly (animal)
мышка,animals,NA,word,produces,NA,item_66,mouse,mouse
обезьяна,animals,NA,word,produces,NA,item_67,monkey,monkey
овечка,animals,NA,word,produces,NA,item_68,sheep,sheep
ослик,animals,NA,word,produces,NA,item_69,donkey,donkey
петух,animals,NA,word,produces,NA,item_70,rooster,rooster
поросенок,animals,NA,word,produces,NA,item_71,piglet,piglet
птичка,animals,NA,word,produces,NA,item_72,bird,bird
рыбка,animals,NA,word,produces,NA,item_73,fish,fish (animal)
свинка,animals,NA,word,produces,NA,item_74,pig,pig
слон,animals,NA,word,produces,NA,item_75,elephant,elephant
собака,animals,NA,word,produces,NA,item_76,dog,dog
сова,animals,NA,word,produces,NA,item_77,owl,owl
тигр,animals,NA,word,produces,NA,item_78,tiger,tiger
утка,animals,NA,word,produces,NA,item_79,duck,duck
цыпленок,animals,NA,word,produces,NA,item_80,chicken,chick
черепаха,animals,NA,word,produces,NA,item_81,tortoise,turtle
автобус,vehicles,NA,word,produces,NA,item_82,bus,bus
велосипед,vehicles,NA,word,produces,NA,item_83,bicycle,bicycle
вертолет,vehicles,NA,word,produces,NA,item_84,helicopter,helicopter
грузовик,vehicles,NA,word,produces,NA,item_85,truck,truck
