itemID,item,gloss,uni_lemma,definition,category,type,choices
item_518,traer_se,bring,bring,traer_se,,word,produces
item_519,venir_se,come,come,venir_se,,word,produces
item_520,ver_se,see,see,ver_se,,word,produces
item_521,volar,fly,,volar,,word,produces
item_522,estar,be,be,estar,,word,produces
item_523,haber,have,have,haber,,word,produces
item_524,ser,be,be,ser,,word,produces
item_525,alto,tall,,alto,,word,produces
item_526,amarillo,yellow,yellow,amarillo,,word,produces
item_527,asco_asqueroso,Yuck/ Nasty!,,asco_asqueroso,,word,produces
item_528,azul,blue,blue,azul,,word,produces
item_529,blanco,white,,blanco,,word,produces
item_530,bueno,good,,bueno,,word,produces
item_531,caca_popó,poo,,caca_popó,,word,produces
item_532,caliente,hot,hot,caliente,,word,produces
item_533,cansado,tired,tired,cansado,,word,produces
item_534,chico_chiquito,little,,chico_chiquito,,word,produces
item_535,despierto,awake,,despierto,,word,produces
item_536,diferente_distinto,different,different,diferente_distinto,,word,produces
item_537,difícil,difficult,hard,difícil,,word,produces
item_538,duro,hard,,duro,,word,produces
item_539,enfermo,sick,sick,enfermo,,word,produces
item_540,enojado,angry,angry,enojado,,word,produces
item_541,feliz,happy,,feliz,,word,produces
item_542,feo,ugly,ugly,feo,,word,produces
item_543,frío,cold,cold,frío,,word,produces
item_544,fuerte,strong,,fuerte,,word,produces
item_545,gordo,fat,,gordo,,word,produces
item_546,grande,big,big,grande,,word,produces
item_547,hambre,hungry,hungry,hambre,,word,produces
item_548,igual,same,same,igual,,word,produces
item_549,largo,long,,largo,,word,produces
item_550,lento,slow,,lento,,word,produces
item_551,limpio,clean,clean (description),limpio,,word,produces
item_552,lindo,nice,,lindo,,word,produces
item_553,loco,crazy,,loco,,word,produces
item_554,lleno,full,full,lleno,,word,produces
item_555,malo,bad,bad,malo,,word,produces
item_556,mejor,better off,,mejor,,word,produces
item_557,mentiroso,liar,,mentiroso,,word,produces
item_558,miedo_susto,scared_scary,scared,miedo_susto,,word,produces
item_559,mojado,wet,,mojado,,word,produces
item_560,mugriento,grimy,,mugriento,,word,produces
item_561,negro,black,,negro,,word,produces
item_562,nuevo,new,new,nuevo,,word,produces
item_563,oscuro,dark,dark,oscuro,,word,produces
item_564,peligroso,dangerous,,peligroso,,word,produces
item_565,pesado,heavy,,pesado,,word,produces
item_566,pobre,poor,,pobre,,word,produces
item_567,primero, first,,primero,,word,produces
item_568,rápido,fast,,rápido,,word,produces
item_569,rico,rich/tasty,,rico,,word,produces
item_570,rojo,red,red,rojo,,word,produces
item_571,rosa,pink,,rosa,,word,produces
item_572,roto,broken,broken,roto,,word,produces
item_573,ruidoso,noisy,,ruidoso,,word,produces
item_574,seco,dry,,seco,,word,produces
item_575,solo,alone,,solo,,word,produces
item_576,suave,soft,soft,suave,,word,produces
item_577,sucio,dirty,dirty,sucio,,word,produces
item_578,tonto_bobo,silly,,tonto_bobo,,word,produces
item_579,tranquilo,quiet,,tranquilo,,word,produces
item_580,triste,sad,sad,triste,,word,produces
item_581,último,last,,último,,word,produces
item_582,vacío,empty,empty,vacío,,word,produces
item_583,verde,green,green,verde,,word,produces
item_584,viejo,old,old,viejo,,word,produces
item_585,violeta,violet,,violeta,,word,produces
item_586,a_la_mañana,in the morning,,a_la_mañana,,word,produces
item_587,a_la_noche,at night,,a_la_noche,,word,produces
item_588,a_la_tarde,in the afternoon,,a_la_tarde,,word,produces
item_589,ahora,now,,ahora,,word,produces
item_590,años,years,,años,,word,produces
item_591,ayer,yesterday,yesterday,ayer,,word,produces
item_592,después,after,after,después,,word,produces
item_593,día,day,day,día,,word,produces
item_594,hoy,today,today,hoy,,word,produces
item_595,mañana,tomorrow,tomorrow,mañana,,word,produces
item_596,noche,night,night,noche,,word,produces
item_597,aquel,that (masculine),that,aquel,,word,produces
item_598,aquellos,those (masculine),,aquellos,,word,produces
item_599,aquella,that (feminine),that,aquella,,word,produces
item_600,aquellas,those (feminine),,aquellas,,word,produces
item_601,él,he,he,él,,word,produces
item_602,ellos,they  (masculine),they,ellos,,word,produces
item_603,ella,she,her,ella,,word,produces
item_604,ellas,they  (feminine),they,ellas,,word,produces
item_605,esa,that (feminine),that,esa,,word,produces
item_606,esas,those (feminine),,esas,,word,produces
item_607,ese,that (masculine),that,ese,,word,produces
item_608,eso,that (neuter),that,eso,,word,produces
item_609,esos,those (masculine),,esos,,word,produces
item_610,esta,this (feminine),,esta,,word,produces
item_611,estas,these  (feminine),,estas,,word,produces
item_612,este, this (masculine),,este,,word,produces
item_613,esto,this (neuter),this,esto,,word,produces
item_614,estos,these  (masculine),,estos,,word,produces
item_615,le_le,to it/to him/to her,,le_le,,word,produces
item_616,les,them,them,les,,word,produces
item_617,lo,it/him/her,him,lo,,word,produces
item_618,me,me,me,me,,word,produces
item_619,mi,my,,mi,,word,produces
item_620,mía,mine (feminine),mine,mía,,word,produces
item_621,mías,mine (feminine plural),mine,mías,,word,produces
item_622,mío,mine (masculine),mine,mío,,word,produces
item_623,míos,mine (masculine plural),mine,míos,,word,produces
item_624,nosotros,we,,nosotros,,word,produces
item_625,nuestro,our,,nuestro,,word,produces
item_626,se,self,self,se,,word,produces
item_627,su,his/her/its,his,su,,word,produces
item_628,suya,yours (feminine),,suya,,word,produces
item_629,suyas,theirs (feminine plural),,suyas,,word,produces
item_630,suyo,yours (masculine),,suyo,,word,produces
item_631,suyos,yours (masculine plural),,suyos,,word,produces
item_632,te,you,,te,,word,produces
item_633,tu,you,,tu,,word,produces
item_634,tuya,your (feminine),,tuya,,word,produces
item_635,tuyas,yours (feminine plural),,tuyas,,word,produces
item_636,tuyo,your (masculine),,tuyo,,word,produces
item_637,tuyos,yours (masculine plural),,tuyos,,word,produces
item_638,vos,you,,vos,,word,produces
item_639,yo,I,I,yo,,word,produces
item_640,cómo,how,how,cómo,,word,produces
item_641,cuál,which,which (question),cuál,,word,produces
item_642,cuándo,when,,cuándo,,word,produces
item_643,dónde,where,where (question),dónde,,word,produces
item_644,por_que,why,why,por_que,,word,produces
item_645,qué,what,what,qué,,word,produces
item_646,quién,who,who,quién,,word,produces
item_647,a_al,to,to,a_al,,word,produces
item_648,con,with,with,con,,word,produces
item_649,de_del,of,of,de_del,,word,produces
item_650,el,the (masculine),,el,,word,produces
item_651,en,in,in,en,,word,produces
item_652,entre,between,between,entre,,word,produces
item_653,la,the (feminine),him,la,,word,produces
item_654,las,the (feminine plural),him,las,,word,produces
item_655,los,the (masculine plural),him,los,,word,produces
item_656,para,for,for,para,,word,produces
item_657,pero,but,but,pero,,word,produces
item_658,un,a (masculine),a,un,,word,produces
item_659,una,a (feminine),a,una,,word,produces
item_660,unas,some (feminine plural),some,unas,,word,produces
item_661,unos,some (masculine plural),some,unos,,word,produces
item_662,así,like this/that,,así,,word,produces
item_663,bien,good,,bien,,word,produces
item_664,despacio,slowly,,despacio,,word,produces
item_665,mal,wrong,,mal,,word,produces
item_666,más,more,more,más,,word,produces
item_667,mucho,a lot,a lot,mucho,,word,produces
item_668,nada,nothing,nothing,nada,,word,produces
item_669,no,not,,no,,word,produces
item_670,no_hay,there is not,,no_hay,,word,produces
item_671,otro_otra_vez,once more_ again,again,otro_otra_vez,,word,produces
item_672,poco_poquito,little (amount),,poco_poquito,,word,produces
item_673,rapido,quickly,quickly,rapido,,word,produces
item_674,sí_afirmación,yes,yes,sí_afirmación,,word,produces
item_675,todavía,yet,,todavía,,word,produces
item_676,todo,all,all,todo,,word,produces
item_677,ya,already,already,ya,,word,produces
item_678,abajo,down,down,abajo,,word,produces
item_679,acá,here,,acá,,word,produces
item_680,adelante,forward,,adelante,,word,produces
item_681,adentro,into ,in,adentro,,word,produces
item_682,afuera,outside,out,afuera,,word,produces
item_683,ahí,there,there,ahí,,word,produces
item_684,al_lado,beside,,al_lado,,word,produces
item_685,allá,there,there,allá,,word,produces
item_686,aquí,here,here,aquí,,word,produces
item_687,arriba,up,up,arriba,,word,produces
item_688,atrás,behind,back (location),atrás,,word,produces
item_689,cerca,near,near,cerca,,word,produces
item_690,enfrente,in front,in front,enfrente,,word,produces
item_691,lejos,far away,far,lejos,,word,produces
item_692,entonces,then,then,entonces,,word,produces
item_693,o,or,or,o,,word,produces
item_694,porque,because,,porque,,word,produces
item_695,que,that,that,que,,word,produces
item_696,si_te_portás_bien,if (you are good),,si_te_portás_bien,,word,produces
item_697,sino,otherwise,,sino,,word,produces
item_698,también,also,also,también,,word,produces
item_699,y,and,and,y,,word,produces
item_700,termino,finish,,termino,,word,produces
item_701,terminás,finish,,terminás,,word,produces
item_702,termina,finish,,termina,,word,produces
item_703,terminamos,finish,,terminamos,,word,produces
item_704,a_comer,let's eat,,a_comer,,word,produces
item_705,como,eat,,como,,word,produces
item_706,comés,eat,,comés,,word,produces
item_707,come,eat,,come,,word,produces
item_708,comemos,eat,,comemos,,word,produces
item_709,arriba_arriba,"get up, stand up",,arriba_arriba,,word,produces
item_710,subo,climb,,subo,,word,produces
item_711,subís,climb,,subís,,word,produces
item_712,sube,climb,,sube,,word,produces
item_713,subimos,climb,,subimos,,word,produces
item_714,terminé,finished,,terminé,,word,produces
item_715,terminó,finished,,terminó,,word,produces
item_716,comí,ate,,comí,,word,produces
item_717,comió,ate,,comió,,word,produces
item_718,subí,climbed,,subí,,word,produces
item_719,subió,climbed,,subió,,word,produces
item_720,termina_la_leche,finish the milk,,termina_la_leche,,word,produces
item_721,come_la_carne,eat the meat,,come_la_carne,,word,produces
item_722,subi,got,,subi,,word,produces
item_723,SC1a_Nene_quiere,baby wants,,SC1a_Nene_quiere,,word,produces
item_724,SC1b_Quiero_chupetín,I want,,SC1b_Quiero_chupetín,,word,produces
item_725,SC2a_Tuyo_esto,this yours,,SC2a_Tuyo_esto,,word,produces
item_726,SC2b_Este_es_tuyo,this is yours,,SC2b_Este_es_tuyo,,word,produces
item_727,SC3a_Nene_malo,bad boy,,SC3a_Nene_malo,,word,produces
item_728,SC3b_Soy_malo,I am a bad boy,,SC3b_Soy_malo,,word,produces
item_729,SC4a_Pablo_uvas,"Pablo, grapes!",,SC4a_Pablo_uvas,,word,produces
item_730,SC4b_Quiero_uvas,I want grapes,,SC4b_Quiero_uvas,,word,produces
item_731,SC5a_Agua_vamos,water go,,SC5a_Agua_vamos,,word,produces
item_732,SC5b_Vamos_al_agua,go to the water,,SC5b_Vamos_al_agua,,word,produces
item_733,SC6a_A_silla,a chair,,SC6a_A_silla,,word,produces
item_734,SC6b_En_la_silla,into the chair,,SC6b_En_la_silla,,word,produces
item_735,SC7a_Pollo_no,no chicken,,SC7a_Pollo_no,,word,produces
item_736,SC7b_Quiero_pollo,I want chiken,,SC7b_Quiero_pollo,,word,produces
item_737,SC8a_Llorando_María,crying maria,,SC8a_Llorando_María,,word,produces
item_738,SC8b_María_está_llorando,Mari is crying,,SC8b_María_está_llorando,,word,produces
item_739,SC9a_Mío_lápiz,pencil mine,,SC9a_Mío_lápiz,,word,produces
item_740,SC9b_Este_es_mi_lápiz,this my pencil,,SC9b_Este_es_mi_lápiz,,word,produces
item_741,SC10a_Más_leche,more milk,,SC10a_Más_leche,,word,produces
item_742,SC10b_Dame_más_leche,give me some milk,,SC10b_Dame_más_leche,,word,produces
item_743,SC11a_Papo_mami,shoe-mummie,,SC11a_Papo_mami,,word,produces
item_744,SC11b_El_zapato_es_de_mami,the shoe is mummie's,,SC11b_El_zapato_es_de_mami,,word,produces
item_745,SC12a_No_acá,here no,,SC12a_No_acá,,word,produces
item_746,SC12b_Ese_no_está_acá,this is not here,,SC12b_Ese_no_está_acá,,word,produces
item_747,SC13a_Rompió_globo,Broke_the_balloon,,SC13a_Rompió_globo,,word,produces
item_748,SC13b_Se_rompió_el_globo,The_balloon_broke,,SC13b_Se_rompió_el_globo,,word,produces
item_749,SC14a_Leche_quema,Milk_burn,,SC14a_Leche_quema,,word,produces
item_750,SC14b_La_leche_está_caliente,The_milk_is_hot,,SC14b_La_leche_está_caliente,,word,produces
item_751,SC15a_Duele_panza,Tummy_Hurts,,SC15a_Duele_panza,,word,produces
item_752,SC15b_Me_duele_la_panza,My_tummy_hurts,,SC15b_Me_duele_la_panza,,word,produces
item_753,SC16a_Guau_guau_grande,Wow_Wow_Large,,SC16a_Guau_guau_grande,,word,produces
item_754,SC16b_Tengo_un_perro_grande,I_have_a_big_dog,,SC16b_Tengo_un_perro_grande,,word,produces
item_755,SC17a_Calle_allá_está,Street_there_is,,SC17a_Calle_allá_está,,word,produces
item_756,SC17b_Calle_esta_allá,Street_is_there,,SC17b_Calle_esta_allá,,word,produces
item_757,SC18a_Puse_a_mano,I_put_a_hand,,SC18a_Puse_a_mano,,word,produces
item_758,SC18b_Lo_puse_en_mi_mano,put it in to my hand,,SC18b_Lo_puse_en_mi_mano,,word,produces
item_759,SC19a_Acabó_agua,Finish_water,,SC19a_Acabó_agua,,word,produces
item_760,SC19b_Se_me_acabó_el_agua,I_ran_out_of_water,,SC19b_Se_me_acabó_el_agua,,word,produces
item_761,SC20a_Fue_casa,Was_home,,SC20a_Fue_casa,,word,produces
item_762,SC20b_Se_fue_a_casa,He_went_home,,SC20b_Se_fue_a_casa,,word,produces
item_763,SC21a_Silla_subir,Chair_climb,,SC21a_Silla_subir,,word,produces
item_764,SC21b_Ma_quiero_subir_a_la_silla,I_want_to_get_on_the_chair,,SC21b_Ma_quiero_subir_a_la_silla,,word,produces
item_765,SC22a_María_papá,Maria_dad,,SC22a_María_papá,,word,produces
item_766,SC22b_Quiero_ir_con_papá,I_want_to_go_with_dad,,SC22b_Quiero_ir_con_papá,,word,produces
item_767,SC23a_Bravo_Pablo_circo,Bravo_Pablo_circus,,SC23a_Bravo_Pablo_circo,,word,produces
item_768,SC23b_Dije_bravo_en_el_circo,I_said_bravo_at_the_circus,,SC23b_Dije_bravo_en_el_circo,,word,produces
item_769,SC24a_Papá_calle,Dad_street,,SC24a_Papá_calle,,word,produces
item_770,SC24b_Papá_se_fue_a_trabajar,Dad_went_to_work,,SC24b_Papá_se_fue_a_trabajar,,word,produces
item_771,SC25a_Ya_puse,I_already_put,,SC25a_Ya_puse,,word,produces
item_772,SC25b_Ya_se_lo_puse,I_already_put_it,,SC25b_Ya_se_lo_puse,,word,produces
item_773,SC26a_Manu_osito_coche,Manu_bear_car,,SC26a_Manu_osito_coche,,word,produces
item_774,SC26b_Manu_dejó_el_osito_en_el_coche,Manu_left_the_bear_in_the_car,,SC26b_Manu_dejó_el_osito_en_el_coche,,word,produces
item_775,SC27a_Lápiz_dibujar,Pencil_draw,,SC27a_Lápiz_dibujar,,word,produces
item_776,SC27b_Dibujo_con_el_lápiz,Drawing_with_the_pencil,,SC27b_Dibujo_con_el_lápiz,,word,produces
item_777,SC28a_Ya_pinté,Already_painted,,SC28a_Ya_pinté,,word,produces
item_778,SC28b_Ya_terminé_de_pintar,I_finished_painting,,SC28b_Ya_terminé_de_pintar,,word,produces
item_779,SC29a_Nene_rompió_bici_Dani,Nene_broke_bike_Dani,,SC29a_Nene_rompió_bici_Dani,,word,produces
item_780,SC29b_El_nene_rompió_la_bici_de_Dani,The_baby_broke_Dani's_bike,,SC29b_El_nene_rompió_la_bici_de_Dani,,word,produces
item_781,SC30a_Pone_no,Put_no,,SC30a_Pone_no,,word,produces
item_782,SC30b_No_lo_pongas,Don't_put_it,,SC30b_No_lo_pongas,,word,produces
item_783,SC31a_Vamos_comer_papas_carne,Let's_eat_potatoes_meat,,SC31a_Vamos_comer_papas_carne,,word,produces
item_784,SC31b_Vamos_a_comer_papas_y_carne,Let's_eat_potatoes_and_meat,,SC31b_Vamos_a_comer_papas_y_carne,,word,produces
item_785,SC32a_Nene_llora_cayó,Nene_cries_fell,,SC32a_Nene_llora_cayó,,word,produces
item_786,SC32b_El_nene_llora_porque_se_cayó,The_baby_cries_because_he_fell,,SC32b_El_nene_llora_porque_se_cayó,,word,produces
item_787,SC33a_Mamá_nene_compra,Mom_baby_shopping,,SC33a_Mamá_nene_compra,,word,produces
item_788,SC33b_Mamá_y_nene_fueron_a_comprar,Mom_and_baby_went_shopping,,SC33b_Mamá_y_nene_fueron_a_comprar,,word,produces
item_789,SC34a_Abrí_dame_galletita,Open_Gimme_Cookie,,SC34a_Abrí_dame_galletita,,word,produces
item_790,SC34b_Abrí_la_caja_y_dame_una_galletita,I_opened_the_box_and_give_me_a_cookie,,SC34b_Abrí_la_caja_y_dame_una_galletita,,word,produces
item_791,SC35a_No_toca_quemás,Don't_touch_whatever,,SC35a_No_toca_quemás,,word,produces
item_792,SC35b_No_lo_toques_porque_te_quemás,Don't_touch_it_because_it_burns_you,,SC35b_No_lo_toques_porque_te_quemás,,word,produces
item_793,SC36a_Quiero_libro_papá,I want_book_dad,,SC36a_Quiero_libro_papá,,word,produces
item_794,SC36b_Quiero_el_libro_que_compró_papá,I_want_the_book_that_dad_bought,,SC36b_Quiero_el_libro_que_compró_papá,,word,produces
item_795,SC37a_Pongo_agua_flores,I put_water_flowers,,SC37a_Pongo_agua_flores,,word,produces
item_796,SC37b_Pongo_agua_para_que_crezcan_las_flores,I put_water_so_the_flowers_grow,,SC37b_Pongo_agua_para_que_crezcan_las_flores,,word,produces
