itemID,item,gloss,uni_lemma,definition,category,type,choices
item_91,coca,coke,,coca,,word,produces
item_92,comida_papa,food_papa (childish form) ,,comida_papa,,word,produces
item_93,dulce,jelly (to spread on),,dulce,,word,produces
item_94,durazno,peach,peach,durazno,,word,produces
item_95,empanada,Argentinian traditional food,,empanada,,word,produces
item_96,fideos,noodles,,fideos,,word,produces
item_97,frutilla,strawberry,,frutilla,,word,produces
item_98,galletita,cookie,,galletita,,word,produces
item_99,gelatina,jelly,jelly,gelatina,,word,produces
item_100,hamburguesa,hamburger,hamburger,hamburguesa,,word,produces
item_101,helado,ice cream,,helado,,word,produces
item_102,hielo,ice,ice,hielo,,word,produces
item_103,huevo,egg,egg,huevo,,word,produces
item_104,jamón,ham,ham,jamón,,word,produces
item_105,jugo,juice,juice,jugo,,word,produces
item_106,leche,milk,milk,leche,,word,produces
item_107,lentejas,lentils,,lentejas,,word,produces
item_108,licuado,smoothie,smoothie,licuado,,word,produces
item_109,limonada,lemonade,lemonade,limonada,,word,produces
item_110,maní,peanut,,maní,,word,produces
item_111,manteca,butter,,manteca,,word,produces
item_112,manzana,apple,apple,manzana,,word,produces
item_113,mate,mate (Argentinian traditional beverage),,mate,,word,produces
item_114,melón,melon,melon,melón,,word,produces
item_115,mermelada,jam,jam,mermelada,,word,produces
item_116,milanesa,breaded meet (highly frequent in Argentinian´s diet),,milanesa,,word,produces
item_117,naranja,orange (food),orange (food),naranja,,word,produces
item_118,pan,bread,bread,pan,,word,produces
item_119,papas_fritas,french fries,,papas_fritas,,word,produces
item_120,papas,potatoes,potato,papas,,word,produces
item_121,pescado,fish (food),fish (animal),pescado,,word,produces
item_122,pizza,pizza,,pizza,,word,produces
item_123,pochoclo,popcorn,,pochoclo,,word,produces
item_124,pollo,chicken,,pollo,,word,produces
item_125,queso,cheese,cheese,queso,,word,produces
item_126,sal,salt,salt,sal,,word,produces
item_127,salchicha_pancho,sausage/hot dog,hot dog,salchicha_pancho,,word,produces
item_128,salsa,sauce,,salsa,,word,produces
item_129,sandía,watermelon,watermelon,sandía,,word,produces
item_130,soda_gaseosa,soda,soda,soda_gaseosa,,word,produces
item_131,sopa,soup,soup,sopa,,word,produces
item_132,té,te,,té,,word,produces
item_133,tomate,tomato,tomato,tomate,,word,produces
item_134,torta,cake,,torta,,word,produces
item_135,tortilla,Spanish traditional dish (potatoes and eggs),tortilla,tortilla,,word,produces
item_136,uvas,grapes,grapes,uvas,,word,produces
item_137,vainilla,vanilla,vanilla,vainilla,,word,produces
item_138,yogurt,yogurt,yogurt,yogurt,,word,produces
item_139,zanahoria,carrot,carrot,zanahoria,,word,produces
item_140,zapallo,pumpkin,,zapallo,,word,produces
item_141,anteojos_lentes,glasses,,anteojos_lentes,,word,produces
item_142,aros,earrings,,aros,,word,produces
item_143,babero,bib,bib,babero,,word,produces
item_144,bombacha,panties,,bombacha,,word,produces
item_145,botas,boots,boots,botas,,word,produces
item_146,botón,button,button,botón,,word,produces
