itemID,item,type,category,choices,definition,complexity_category,new_lemma,gloss,uni_lemma
item_1,tutu,word,sounds,produces,tutú,NA,choo choo,choo choo,choo choo
item_2,qiqiriqi,word,sounds,produces,quiquiriquí,NA,cockadoodledoo,cockadoodledoo,cockadoodledoo
item_3,pum,word,sounds,produces,¡pum!,NA,bang,bang,bang bang
item_4,pipi,word,sounds,produces,pipí,NA,NA,honk honk,honk honk
item_5,piopio,word,sounds,produces,pío pío,NA,tweet tweet,tweet tweet,tweet tweet
item_6,muu,word,sounds,produces,muu,NA,moo,moo,moo
item_7,miau,word,sounds,produces,miau,NA,meow,meow,meow
item_8,guagua,word,sounds,produces,guaguá,NA,woof woof,woof woof,woof woof
item_9,cuacua,word,sounds,produces,cuacuá,NA,quack quack,quack quack,quack quack
item_10,beemee,word,sounds,produces,bee/mee,NA,baa baa,baa baa,baa baa
item_11,am,word,sounds,produces,¡am!,NA,yum yum,yum yum,yum yum
item_12,ay,word,sounds,produces,¡ay!,NA,ouch,ouch,ouch
item_13,vibora,word,animals,produces,víbora,NA,NA,viper,snake
item_14,venado,word,animals,produces,venado,NA,deer,deer,deer
item_15,vaca,word,animals,produces,vaca,NA,cow,cow,cow
item_16,tortuga,word,animals,produces,tortuga,NA,turtle,turtle,turtle
item_17,tigre,word,animals,produces,tigre,NA,tiger,tiger,tiger
item_18,raton,word,animals,produces,ratón,NA,mouse,mouse,mouse
item_19,rano,word,animals,produces,rana,NA,frog,frog,frog
item_20,puerco,word,animals,produces,puerco,NA,pig,pig,pig
item_21,pollito,word,animals,produces,pollito,NA,chick,chick,chick
item_22,pinguino,word,animals,produces,pingüino,NA,penguin,penguin,penguin
item_23,pescado1,word,animals,produces,pescado,NA,fish (animal),fish,fish (animal)
item_24,perro,word,animals,produces,perro,NA,dog,dog,dog
item_25,pato,word,animals,produces,pato,NA,duck,duck,duck
item_26,pajaro,word,animals,produces,pájaro,NA,bird,bird,bird
item_27,oso,word,animals,produces,oso,NA,bear,bear,bear
item_28,mosco,word,animals,produces,mosco,NA,NA,mosquito,mosquito
item_29,mosca,word,animals,produces,mosca,NA,fly (animal),fly,fly (animal)
item_30,mono,word,animals,produces,mono,NA,monkey,monkey,monkey
item_31,mariposa,word,animals,produces,mariposa,NA,butterfly,butterfly,butterfly
item_32,lobo,word,animals,produces,lobo,NA,wolf,wolf,wolf
item_33,leon,word,animals,produces,león,NA,lion,lion,lion
