itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category,
item_110,canja,word,food_drink,produces,Canja,,,,Canja
item_111,carne,word,food_drink,produces,Carne,,,,Carne
item_112,cenoura,word,food_drink,produces,Cenoura,,,,Cenoura
item_113,cereais,word,food_drink,produces,Cereais,,,,Cereais
item_114,cerveja,word,food_drink,produces,Cerveja,,,,Cerveja
item_115,cha,word,food_drink,produces,Chá,,,,Chá
item_116,chocolate,word,food_drink,produces,Chocolate,,,,Chocolate
item_117,chupa_chupa,word,food_drink,produces,Chupa-chupa,,,,Chupa_chupa
item_118,coca_cola,word,food_drink,produces,Coca-cola,,,,Coca_cola
item_119,comida,word,food_drink,produces,Comida,,,,Comida
item_120,compota,word,food_drink,produces,Compota,,,,Compota
item_121,couve,word,food_drink,produces,Couve,,,,Couve
item_122,creme,word,food_drink,produces,Creme,,,,Creme
item_123,diospiros,word,food_drink,produces,Dióspiros,,,,Dióspiros
item_124,ervilhas,word,food_drink,produces,Ervilhas,,,,Ervilhas
item_125,feijao,word,food_drink,produces,Feijão,,,,Feijão
item_126,fiambre,word,food_drink,produces,Fiambre,,,,Fiambre
item_127,frango,word,food_drink,produces,Frango,,,,Frango
item_128,fruta,word,food_drink,produces,Fruta,,,,Fruta
item_129,gelado,word,food_drink,produces,Gelado,,,,Gelado
item_130,gelatina,word,food_drink,produces,Gelatina,,,,Gelatina
item_131,iogurte,word,food_drink,produces,Iogurte,,,,Iogurte
item_132,kiwi,word,food_drink,produces,Kiwi,,,,Kiwi
item_133,laranja,word,food_drink,produces,Laranja,,,,Laranja
item_134,leite,word,food_drink,produces,Leite,,,,Leite
item_135,limao,word,food_drink,produces,Limão,,,,Limão
item_136,maca,word,food_drink,produces,Maçã,,,,Maça
item_137,manga,word,food_drink,produces,Manga,,,,Manga
item_138,manteiga,word,food_drink,produces,Manteiga,,,,Manteiga
item_139,marmelada,word,food_drink,produces,Marmelada,,,,Marmelada
item_140,massa,word,food_drink,produces,Massa,,,,Massa
item_141,melancia,word,food_drink,produces,Melancia,,,,Melancia
item_142,melao,word,food_drink,produces,Melão,,,,Melão
item_143,milho,word,food_drink,produces,Milho,,,,Milho
item_144,morango,word,food_drink,produces,Morango,,,,Morango
item_145,nozes,word,food_drink,produces,Nozes,,,,Nozes
item_146,ovo,word,food_drink,produces,Ovo,,,,Ovo
