percentile,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
99,346,399,450,496,535,569,595,617,633,645,655,662,667,671,673
95,217,266,318,371,423,471,513,550,580,604,623,637,649,657,663
90,157,195,238,285,335,384,432,476,516,550,578,601,619,634,645
85,125,157,195,238,284,333,382,429,473,513,547,575,599,617,632
80,108,135,168,206,249,294,342,389,435,477,515,547,575,598,616
75,101,126,155,188,225,266,309,354,397,439,478,513,544,570,592
70,84,106,131,161,195,234,275,319,364,407,449,487,521,551,576
65,71,89,112,139,171,207,248,291,336,381,424,465,502,535,563
60,56,72,92,117,146,181,221,265,311,359,406,450,491,527,558
55,45,59,76,97,124,155,192,234,279,327,376,423,467,506,541
50,39,51,66,85,108,137,171,209,252,299,347,395,441,483,520
45,35,46,59,76,96,121,151,186,225,269,314,361,407,450,490
40,29,38,49,63,81,103,130,162,199,240,285,332,379,425,467
35,24,32,42,54,70,89,113,142,176,215,258,304,352,399,444
30,21,28,36,47,60,76,97,122,151,185,224,267,312,358,404
25,19,24,32,41,52,67,84,106,132,163,199,238,281,326,371
20,15,20,26,33,42,54,68,86,108,134,164,199,238,280,324
15,13,16,21,27,34,44,55,70,87,109,134,164,198,235,276
10,10,13,16,20,25,32,40,50,63,78,96,118,143,173,205
5,5,6,8,11,13,17,22,28,35,44,55,69,86,107,131
