percentile,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
99,362,425,482,531,571,602,625,641,653,662,668,672,675,677,678
95,288,340,393,443,489,529,562,590,612,629,642,652,659,665,669
90,220,263,310,357,404,449,489,526,557,583,604,621,635,645,654
85,176,215,259,306,355,403,448,490,526,558,584,605,623,636,647
80,141,176,217,262,310,360,408,455,496,533,564,590,610,627,640
75,122,154,191,234,281,330,380,427,472,512,546,575,599,618,633
70,105,133,167,207,251,299,349,398,445,488,525,558,585,606,624
65,93,119,151,188,230,277,326,375,423,468,509,543,573,597,616
60,85,108,136,170,209,252,298,346,394,440,482,520,552,579,601
55,72,93,118,149,186,228,274,322,372,420,465,505,540,570,594
50,62,81,104,132,166,205,249,296,346,395,442,485,523,555,582
45,53,69,89,114,144,180,221,266,314,363,411,457,498,534,564
40,47,61,79,101,128,160,197,238,284,331,379,425,469,508,541
35,41,53,69,88,111,140,173,211,253,299,346,392,437,479,516
30,33,43,55,71,91,116,146,181,220,264,311,359,406,451,491
25,28,36,47,60,76,97,121,151,185,223,265,310,356,401,444
20,23,29,38,48,62,78,98,123,151,185,222,264,308,352,397
15,18,23,30,38,48,61,77,96,120,147,179,214,254,296,339
10,12,16,21,27,35,45,57,73,92,115,143,176,213,254,298
5,7,9,12,16,20,27,35,45,58,74,94,118,147,181,220
