"definition","uni_lemma","gloss","category","item","type","choices","complexity_category","itemID"
"kušati",,"taste","action_words","kusati","word","produces",,"item_435"
"lizati",,"lick","action_words","lizati","word","produces",,"item_436"
"loviti",,"catch","action_words","loviti","word","produces",,"item_437"
"ljuljati se",,"swing","action_words","ljuljati_se","word","produces",,"item_438"
"mahati",,"wave","action_words","mahati","word","produces",,"item_439"
"maziti",,"cuddle","action_words","maziti","word","produces",,"item_440"
"mesti",,"wipe","action_words","mesti","word","produces",,"item_441"
"misliti",,"think","action_words","misliti","word","produces",,"item_442"
"naći",,"find","action_words","naci","word","produces",,"item_443"
"napraviti",,"build","action_words","napraviti","word","produces",,"item_444"
"nositi",,"carry","action_words","nositi","word","produces",,"item_445"
"ostati",,"stay","action_words","ostati","word","produces",,"item_446"
"otvoriti",,"open","action_words","otvoriti","word","produces",,"item_447"
"pasti",,"fall","action_words","pasti","word","produces",,"item_448"
"paziti",,"look out","action_words","paziti","word","produces",,"item_449"
"pisati",,"write","action_words","pisati","word","produces",,"item_450"
"piti",,"drink","action_words","piti","word","produces",,"item_451"
"pjevati",,"sing","action_words","pjevati","word","produces",,"item_452"
"plakati",,"cry","action_words","plakati","word","produces",,"item_453"
"plesati",,"dance","action_words","plesati","word","produces",,"item_454"
"plivati",,"swim","action_words","plivati","word","produces",,"item_455"
"pljeskati",,"clap","action_words","pljeskati","word","produces",,"item_456"
"poderati",,"tear","action_words","poderati","word","produces",,"item_457"
"pokazati",,"show","action_words","pokazati","word","produces",,"item_458"
"pokriti",,"cover","action_words","pokriti","word","produces",,"item_459"
"poljubiti",,"kiss","action_words","poljubiti","word","produces",,"item_460"
"pomoći",,"help","action_words","pomoci","word","produces",,"item_461"
"popeti",,"climb","action_words","popeti","word","produces",,"item_462"
"popraviti",,"fix","action_words","popraviti","word","produces",,"item_463"
"prati",,"wash","action_words","prati","word","produces",,"item_464"
"praviti",,"make","action_words","praviti","word","produces",,"item_465"
"praviti se",,"pretend","action_words","praviti_se","word","produces",,"item_466"
"prestati",,"stop","action_words","prestati","word","produces",,"item_467"
"proliti",,"spill","action_words","proliti","word","produces",,"item_468"
"prskati",,"splash","action_words","prskati","word","produces",,"item_469"
"puhati",,"blow","action_words","puhati","word","produces",,"item_470"
"raditi",,"work","action_words","raditi","word","produces",,"item_471"
"razbiti",,"break","action_words","razbiti","word","produces",,"item_472"
"reći",,"say","action_words","reci","word","produces",,"item_473"
"rezati",,"cut","action_words","rezati","word","produces",,"item_474"
"sakriti",,"hide","action_words","sakriti","word","produces",,"item_475"
"sjediti",,"sit","action_words","sjediti","word","produces",,"item_476"
"skočiti",,"jump","action_words","skociti","word","produces",,"item_477"
"slomiti",,"break","action_words","slomiti","word","produces",,"item_478"
"slušati",,"listen","action_words","slusati","word","produces",,"item_479"
"smijati se",,"smile","action_words","smijati_se","word","produces",,"item_480"
"spavati",,"sleep","action_words","spavati","word","produces",,"item_481"
"spuštati",,"lower","action_words","spustati","word","produces",,"item_482"
"stajati",,"stand","action_words","stajati","word","produces",,"item_483"
"stati",,"stop","action_words","stati","word","produces",,"item_484"
"staviti",,"put","action_words","staviti","word","produces",,"item_485"
"sušiti",,"dry","action_words","susiti","word","produces",,"item_486"
"sviđati se",,"like","action_words","svidati_se_","word","produces",,"item_487"
"škakljati",,"tickle","action_words","skakljati","word","produces",,"item_488"
"šutnuti",,"kick","action_words","sutnuti","word","produces",,"item_489"
"točiti",,"pour","action_words","tociti","word","produces",,"item_490"
"trčati",,"run","action_words","trcati","word","produces",,"item_491"
"tresti",,"shake","action_words","tresti","word","produces",,"item_492"
"trgati",,"tear","action_words","trgati","word","produces",,"item_493"
"tući",,"beat","action_words","tuci","word","produces",,"item_494"
"udariti se",,"bump","action_words","udariti_se_","word","produces",,"item_495"
"uzeti",,"take","action_words","uzeti","word","produces",,"item_496"
"vidjeti",,"see","action_words","vidjeti","word","produces",,"item_497"
"voljeti",,"love","action_words","voljeti","word","produces",,"item_498"
"voziti",,"drive","action_words","voziti","word","produces",,"item_499"
"vući",,"pull","action_words","vuci","word","produces",,"item_500"
"zagrliti",,"hug","action_words","zagrliti","word","produces",,"item_501"
"zatvoriti",,"close","action_words","zatvoriti","word","produces",,"item_502"
"žuriti",,"hurry","action_words","zuriti","word","produces",,"item_503"
"bijela",,"white","descriptive_words","bijela","word","produces",,"item_504"
"bolestan",,"sick","descriptive_words","bolestan","word","produces",,"item_505"
"boli",,"hurt","descriptive_words","boli","word","produces",,"item_506"
"bolje",,"better","descriptive_words","bolje","word","produces",,"item_507"
"brzo","fast","fast","descriptive_words","brzo","word","produces",,"item_508"
"budan",,"awake","descriptive_words","budan","word","produces",,"item_509"
"crn",,"black","descriptive_words","crn","word","produces",,"item_510"
"crvena",,"red","descriptive_words","crvena","word","produces",,"item_511"
"čist(o)",,"clean","descriptive_words","cist(o)","word","produces",,"item_512"
"dobro",,"good","descriptive_words","dobro","word","produces",,"item_513"
"dug(o)",,"long","descriptive_words","dug(o)","word","produces",,"item_514"
"fino","fine","fine","descriptive_words","fino","word","produces",,"item_515"
"fuj",,"yucky","descriptive_words","fuj","word","produces",,"item_516"
"gladan",,"hungry","descriptive_words","gladan","word","produces",,"item_517"
"glasno",,"loud","descriptive_words","glasno","word","produces",,"item_518"
"gotovo",,"over","descriptive_words","gotovo","word","produces",,"item_519"
"hladno",,"cold","descriptive_words","hladno","word","produces",,"item_520"
"jadan",,"lame","descriptive_words","jadan","word","produces",,"item_521"
"krasno",,"nice","descriptive_words","krasno","word","produces",,"item_522"
"lijep(o)",,"pretty","descriptive_words","lijep(o)","word","produces",,"item_523"
"ljut(o)",,"angry","descriptive_words","ljut(o)","word","produces",,"item_524"
"mal(o)",,"tiny","descriptive_words","mal(o)","word","produces",,"item_525"
"mekan(o)",,"soft","descriptive_words","mekan(o)","word","produces",,"item_526"
"mokro","wet (description)","wet","descriptive_words","mokro","word","produces",,"item_527"
"mrak",,"dark","descriptive_words","mrak","word","produces",,"item_528"
"narančasta",,"orange","descriptive_words","narancasta","word","produces",,"item_529"
"nema više",,"allgone","descriptive_words","nema_vise","word","produces",,"item_530"
"nov(o)",,"new","descriptive_words","nov(o)","word","produces",,"item_531"
"nježno",,"gentle","descriptive_words","njezno","word","produces",,"item_532"
"pažljiv(o)",,"careful","descriptive_words","pazljiv(o)","word","produces",,"item_533"
"plava",,"blue","descriptive_words","plava","word","produces",,"item_534"
"polako",,"slow","descriptive_words","polako","word","produces",,"item_535"
"pospan(o)",,"sleepy","descriptive_words","pospan(o)","word","produces",,"item_536"
"potrgan(o)",,"broken","descriptive_words","potrgan(o)","word","produces",,"item_537"
"prazno",,"empty","descriptive_words","prazno","word","produces",,"item_538"
"prljav(o)",,"dirty","descriptive_words","prljav(o)","word","produces",,"item_539"
"prvi",,"first","descriptive_words","prvi","word","produces",,"item_540"
"pun(o)",,"full","descriptive_words","pun(o)","word","produces",,"item_541"
"puše",,"windy","descriptive_words","puse","word","produces",,"item_542"
"ružno",,"ugly","descriptive_words","ruzno","word","produces",,"item_543"
"slomljen(o)",,"broken","descriptive_words","slomljen(o)","word","produces",,"item_544"
"smeđe",,"brown","descriptive_words","smede","word","produces",,"item_545"
"spava",,"sleeps","descriptive_words","spava","word","produces",,"item_546"
"sretan",,"happy","descriptive_words","sretan","word","produces",,"item_547"
"staro","old","old","descriptive_words","staro","word","produces",,"item_548"
"suho","dry (description)","dry","descriptive_words","suho","word","produces",,"item_549"
"teško",,"heavy","descriptive_words","tesko","word","produces",,"item_550"
"tih(o)",,"quiet","descriptive_words","tih(o)","word","produces",,"item_551"
"toplo",,"warm","descriptive_words","toplo","word","produces",,"item_552"
"tužan",,"sad","descriptive_words","tuzan","word","produces",,"item_553"
"tvrd(o)",,"hard","descriptive_words","tvrd(o)","word","produces",,"item_554"
"umoran",,"tired","descriptive_words","umoran","word","produces",,"item_555"
"uplašen(o)",,"scared","descriptive_words","uplasen(o)","word","produces",,"item_556"
"velik(o)",,"big","descriptive_words","velik(o)","word","produces",,"item_557"
"visok(o)",,"high","descriptive_words","visok(o)","word","produces",,"item_558"
"vruće",,"hot","descriptive_words","vruce","word","produces",,"item_559"
"zadnje",,"last","descriptive_words","zadnje","word","produces",,"item_560"
"zelena",,"green","descriptive_words","zelena","word","produces",,"item_561"
"zgodno",,"cute","descriptive_words","zgodno","word","produces",,"item_562"
"zima",,"cold","descriptive_words","zima","word","produces",,"item_563"
"zločesto","naughty","naughty","descriptive_words","zlocesto","word","produces",,"item_564"
"žuta",,"yellow","descriptive_words","zuta","word","produces",,"item_565"
"žedan",,"thirsty","descriptive_words","zedan","word","produces",,"item_566"
"dan",,"day","time_words","dan","word","produces",,"item_567"
"danas",,"today","time_words","danas","word","produces",,"item_568"
"jučer",,"yesterday","time_words","jucer","word","produces",,"item_569"
"jutro",,"morning","time_words","jutro","word","produces",,"item_570"
"kasnije",,"later","time_words","kasnije","word","produces",,"item_571"
"noć",,"night","time_words","noc","word","produces",,"item_572"
"poslije",,"after","time_words","poslije","word","produces",,"item_573"
"prije",,"before","time_words","prije","word","produces",,"item_574"
"sada","now","now","time_words","sada","word","produces",,"item_575"
"sati",,"hours","time_words","sati","word","produces",,"item_576"
"sutra",,"tomorrow","time_words","sutra","word","produces",,"item_577"
"večeras","tonight","tonight","time_words","veceras","word","produces",,"item_578"
"ja",,"I","pronouns","ja","word","produces",,"item_579"
"mene/me","me","me","pronouns","mene/me","word","produces",,"item_580"
"meni/mi","me","to me","pronouns","meni/mi","word","produces",,"item_581"
"mi",,"we","pronouns","mi","word","produces",,"item_582"
"moj",,"my","pronouns","moj","word","produces",,"item_583"
"nama",,"to us","pronouns","nama","word","produces",,"item_584"
"nas",,"us","pronouns","nas","word","produces",,"item_585"
"naš",,"our","pronouns","nas","word","produces",,"item_586"
"nje/je",,"her","pronouns","nje/je","word","produces",,"item_587"
"njega/ga",,"him","pronouns","njega/ga","word","produces",,"item_588"
"njegov",,"his","pronouns","njegov","word","produces",,"item_589"
"njemu/mu",,"to him","pronouns","njemu/mu","word","produces",,"item_590"
"njezin",,"hers","pronouns","njezin","word","produces",,"item_591"
"njih/ih",,"them","pronouns","njih/ih","word","produces",,"item_592"
"njihov",,"their","pronouns","njihov","word","produces",,"item_593"
"njima/im",,"to them","pronouns","njima/im","word","produces",,"item_594"
"njoj/joj",,"to her","pronouns","njoj/joj","word","produces",,"item_595"
"nju/ju/je",,"her","pronouns","nju/ju/je","word","produces",,"item_596"
"on",,"he","pronouns","on","word","produces",,"item_597"
"ona",,"she","pronouns","ona","word","produces",,"item_598"
"one",,"they (female)","pronouns","one","word","produces",,"item_599"
"oni",,"they","pronouns","oni","word","produces",,"item_600"
"ono",,"it","pronouns","ono","word","produces",,"item_601"
"ono/onaj/ona",,"that","pronouns","ono/onaj/ona","word","produces",,"item_602"
"ovo/ovaj/ova","this","this","pronouns","ovo/ovaj/ova","word","produces",,"item_603"
"ovi/ove",,"these","pronouns","ovi/ove","word","produces",,"item_604"
"sebe/se",,"myself","pronouns","sebe/se","word","produces",,"item_605"
"svoj",,"her/his own","pronouns","svoj","word","produces",,"item_606"
"to/taj/ta",,"this","pronouns","to/taj/ta","word","produces",,"item_607"
"tebe/te",,"you","pronouns","tebe/te","word","produces",,"item_608"
"tebi/ti",,"to you","pronouns","tebi/ti","word","produces",,"item_609"
"ti",,"you","pronouns","ti","word","produces",,"item_610"
"tvoj",,"your","pronouns","tvoj","word","produces",,"item_611"
"gdje",,"where","question_words","gdje","word","produces",,"item_612"
"kada (question)","when (question)","when","question_words","kada","word","produces",,"item_613"
"kako",,"how","question_words","kako","word","produces",,"item_614"
"koji",,"which","question_words","koji","word","produces",,"item_615"
"što",,"what","question_words","sto","word","produces",,"item_616"
"tko",,"who","question_words","tko","word","produces",,"item_617"
"zašto",,"why","question_words","zasto","word","produces",,"item_618"
"blizu",,"close","locations","blizu","word","produces",,"item_619"
"dolje",,"down","locations","dolje","word","produces",,"item_620"
"gore",,"up","locations","gore","word","produces",,"item_621"
"ispod",,"under","locations","ispod","word","produces",,"item_622"
"ispred",,"in front of","locations","ispred","word","produces",,"item_623"
"iza",,"behind","locations","iza","word","produces",,"item_624"
"iznad",,"above","locations","iznad","word","produces",,"item_625"
"na",,"on","locations","na","word","produces",,"item_626"
"nazad",,"back","locations","nazad","word","produces",,"item_627"
"negdje",,"somewhere","locations","negdje","word","produces",,"item_628"
"nigdje",,"nowhere","locations","nigdje","word","produces",,"item_629"
"o",,"about","locations","o","word","produces",,"item_630"
"od",,"from","locations","od","word","produces",,"item_631"
"oko",,"around","locations","oko","word","produces",,"item_632"
"otraga",,"behind","locations","otraga","word","produces",,"item_633"
"ovamo",,"here","locations","ovamo","word","produces",,"item_634"
"ovdje",,"therein","locations","ovdje","word","produces",,"item_635"
"pored",,"beside","locations","pored","word","produces",,"item_636"
"preko",,"over","locations","preko","word","produces",,"item_637"
"s",,"with","locations","s","word","produces",,"item_638"
"tamo",,"there","locations","tamo","word","produces",,"item_639"
"tu",,"here","locations","tu","word","produces",,"item_640"
"unutra/u","in","in","locations","unutra/u","word","produces",,"item_641"
"uz",,"by","locations","uz","word","produces",,"item_642"
"vani",,"outside","locations","vani","word","produces",,"item_643"
"za",,"for","locations","za","word","produces",,"item_644"
"bilo koji",,"any","quantifiers","bilo_koji","word","produces",,"item_645"
"dosta",,"enough","quantifiers","dosta","word","produces",,"item_646"
"drugi/druga","another","another","quantifiers","drugi/druga","word","produces",,"item_647"
"isti/ista",,"same","quantifiers","isti/ista","word","produces",,"item_648"
"jako",,"very","quantifiers","jako","word","produces",,"item_649"
"još",,"more","quantifiers","jos","word","produces",,"item_650"
"malo",,"few","quantifiers","malo","word","produces",,"item_651"
"mnogo",,"many/much/a lot","quantifiers","mnogo","word","produces",,"item_652"
"neki/neka",,"some","quantifiers","neki/neka","word","produces",,"item_653"
"nešto",,"something","quantifiers","nesto","word","produces",,"item_654"
"ništa",,"nothing","quantifiers","nista","word","produces",,"item_655"
"opet",,"again","quantifiers","opet","word","produces",,"item_656"
"previše",,"too much","quantifiers","previse","word","produces",,"item_657"
"puno",,"a lot","quantifiers","puno","word","produces",,"item_658"
"svaki/svaka",,"each/every","quantifiers","svaki/svaka","word","produces",,"item_659"
"sve/svi","all","all","quantifiers","sve/svi","word","produces",,"item_660"
"više",,"more","quantifiers","vise","word","produces",,"item_661"
"bi(h)",,"would","helping_verbs","bi(h)","word","produces",,"item_662"
"bila",,"was","helping_verbs","bila","word","produces",,"item_663"
"bile",,"were (female)","helping_verbs","bile","word","produces",,"item_664"
"bili",,"were","helping_verbs","bili","word","produces",,"item_665"
"bilo",,"(it) was","helping_verbs","bilo","word","produces",,"item_666"
"bio",,"(he) was","helping_verbs","bio","word","produces",,"item_667"
"biti",,"to be","helping_verbs","biti","word","produces",,"item_668"
"bude",,"(he) is gonna/going to","helping_verbs","bude","word","produces",,"item_669"
"budem",,"(I) am gonna/going to","helping_verbs","budem","word","produces",,"item_670"
"budemo",,"(we) are gonna/going to","helping_verbs","budemo","word","produces",,"item_671"
"budeš",,"(you) are gonna/going to","helping_verbs","budes","word","produces",,"item_672"
"budi",,"be!","helping_verbs","budi","word","produces",,"item_673"
"budu",,"(they) are gonna/going to","helping_verbs","budu","word","produces",,"item_674"
"će",,"(he) will be","helping_verbs","ce","word","produces",,"item_675"
"ćemo",,"(we) will be","helping_verbs","cemo","word","produces",,"item_676"
"ćeš",,"(you) will be","helping_verbs","ces","word","produces",,"item_677"
"ću",,"(I) will","helping_verbs","cu","word","produces",,"item_678"
"hoće",,"(he/she) wanna/wants to","helping_verbs","hoce","word","produces",,"item_679"
"hoćemo",,"(we) wanna/want to","helping_verbs","hocemo","word","produces",,"item_680"
"hoćeš",,"(you) wanna/want to","helping_verbs","hoces","word","produces",,"item_681"
"hoću",,"(I) wanna/want to","helping_verbs","hocu","word","produces",,"item_682"
"je",,"is","helping_verbs","je","word","produces",,"item_683"
"jesam",,"am","helping_verbs","jesam","word","produces",,"item_684"
"jesi",,"(you) are","helping_verbs","jesi","word","produces",,"item_685"
"jesmo",,"(we) are","helping_verbs","jesmo","word","produces",,"item_686"
"jesu",,"(they) are","helping_verbs","jesu","word","produces",,"item_687"
"mogao",,"(he) could","helping_verbs","mogao","word","produces",,"item_688"
"mogla",,"(she) could","helping_verbs","mogla","word","produces",,"item_689"
"mogle",,"(they/females) could","helping_verbs","mogle","word","produces",,"item_690"
"mogli",,"(they) could","helping_verbs","mogli","word","produces",,"item_691"
"mogu (oni)",,"(they) can","helping_verbs","mogu_(oni)","word","produces",,"item_692"
"mora",,"(he/she) must","helping_verbs","mora","word","produces",,"item_693"
"može",,"(he/she) can","helping_verbs","moze","word","produces",,"item_694"
"možemo",,"(we) can","helping_verbs","mozemo","word","produces",,"item_695"
"možeš",,"(you) can","helping_verbs","mozes","word","produces",,"item_696"
"neće",,"(he/she) doesn`t want","helping_verbs","nece","word","produces",,"item_697"
"nećemo",,"(we) don`t want","helping_verbs","necemo","word","produces",,"item_698"
"nećeš",,"(you) don`t want","helping_verbs","neces","word","produces",,"item_699"
"neću",,"(I) don`t want","helping_verbs","necu","word","produces",,"item_700"
"nije",,"(he/she) is not","helping_verbs","nije","word","produces",,"item_701"
"nisam",,"(I) am not","helping_verbs","nisam","word","produces",,"item_702"
"nisi",,"(you) are not","helping_verbs","nisi","word","produces",,"item_703"
"nismo",,"(we) are not","helping_verbs","nismo","word","produces",,"item_704"
"nisu",,"(they) are not","helping_verbs","nisu","word","produces",,"item_705"
"sam",,"am","helping_verbs","sam","word","produces",,"item_706"
"si",,"(you) are","helping_verbs","si","word","produces",,"item_707"
"may",,"(I) may","helping_verbs","may","word","produces",,"item_708"
"smo",,"(we) are","helping_verbs","smo","word","produces",,"item_709"
"su",,"(they) are","helping_verbs","su","word","produces",,"item_710"
"treba",,"should","helping_verbs","treba","word","produces",,"item_711"
"ako",,"if","connecting_words","ako","word","produces",,"item_712"
"ali",,"but","connecting_words","ali","word","produces",,"item_713"
"i",,"and","connecting_words","i","word","produces",,"item_714"
"jer",,"because","connecting_words","jer","word","produces",,"item_715"
"onda",,"then","connecting_words","onda","word","produces",,"item_716"
"tako",,"so","connecting_words","tako","word","produces",,"item_717"
