"definition","uni_lemma","gloss","category","item","type","choices","complexity_category","itemID"
"mrav",,"ant","animals","mrav","word","produces",,"item_32"
"ovca",,"sheep","animals","ovca","word","produces",,"item_33"
"pas",,"dog","animals","pas","word","produces",,"item_34"
"patka",,"duck","animals","patka","word","produces",,"item_35"
"pčela",,"bee","animals","pcela","word","produces",,"item_36"
"pijetao",,"rooster","animals","pijetao","word","produces",,"item_37"
"pile",,"chicken","animals","pile","word","produces",,"item_38"
"pingvin",,"penguin","animals","pingvin","word","produces",,"item_39"
"prase",,"pig","animals","prase","word","produces",,"item_40"
"ptica",,"bird","animals","ptica","word","produces",,"item_41"
"purica",,"turkey","animals","purica","word","produces",,"item_42"
"riba (animal)",,"fish","animals","riba","word","produces",,"item_43"
"slon",,"elephant","animals","slon","word","produces",,"item_44"
"sova",,"owl","animals","sova","word","produces",,"item_45"
"srna",,"doe","animals","srna","word","produces",,"item_46"
"tigar",,"tiger","animals","tigar","word","produces",,"item_47"
"vjeverica",,"squirrel","animals","vjeverica","word","produces",,"item_48"
"vrabac",,"sparrow","animals","vrabac","word","produces",,"item_49"
"vuk",,"wolf","animals","vuk","word","produces",,"item_50"
"zebra",,"zebra","animals","zebra","word","produces",,"item_51"
"zeko",,"bunny","animals","zeko","word","produces",,"item_52"
"žaba",,"frog","animals","zaba","word","produces",,"item_53"
"žirafa",,"giraffe","animals","zirafa","word","produces",,"item_54"
"životinja",,"animal","animals","zivotinja","word","produces",,"item_55"
"auto",,"car","vehicles","auto","word","produces",,"item_56"
"autobus",,"bus","vehicles","autobus","word","produces",,"item_57"
"avion",,"airplane","vehicles","avion","word","produces",,"item_58"
"bicikl",,"bicycle","vehicles","bicikl","word","produces",,"item_59"
"brod",,"boat","vehicles","brod","word","produces",,"item_60"
"helikopter",,"helicopter","vehicles","helikopter","word","produces",,"item_61"
"kamion",,"truck","vehicles","kamion","word","produces",,"item_62"
"kolica",,"stroller","vehicles","kolica","word","produces",,"item_63"
"motor",,"motorcycle","vehicles","motor","word","produces",,"item_64"
"sanjke",,"sled","vehicles","sanjke","word","produces",,"item_65"
"traktor",,"tractor","vehicles","traktor","word","produces",,"item_66"
"tramvaj",,"tram","vehicles","tramvaj","word","produces",,"item_67"
"vatrogasci",,"firetruck","vehicles","vatrogasci","word","produces",,"item_68"
"vlak",,"train","vehicles","vlak","word","produces",,"item_69"
"balon",,"balloon","toys","balon","word","produces",,"item_70"
"bojica",,"crayon","toys","bojica","word","produces",,"item_71"
"flomaster",,"felt pen","toys","flomaster","word","produces",,"item_72"
"igra",,"game","toys","igra","word","produces",,"item_73"
"igračka",,"toy","toys","igracka","word","produces",,"item_74"
"knjiga",,"book","toys","knjiga","word","produces",,"item_75"
"kocka",,"block","toys","kocka","word","produces",,"item_76"
"kreda",,"chalk","toys","kreda","word","produces",,"item_77"
"lopatica",,"sand shovel","toys","lopatica","word","produces",,"item_78"
"lopta",,"ball","toys","lopta","word","produces",,"item_79"
"lutka",,"doll","toys","lutka","word","produces",,"item_80"
"ljepilo",,"glue","toys","ljepilo","word","produces",,"item_81"
"olovka",,"pencil","toys","olovka","word","produces",,"item_82"
"pikule",,"marbles","toys","pikule","word","produces",,"item_83"
"plastelin",,"play dogh","toys","plastelin","word","produces",,"item_84"
"poklon",,"present","toys","poklon","word","produces",,"item_85"
"slagalice (puzzle)",,"puzzle","toys","slagalice_(puzzle)","word","produces",,"item_86"
"slikovnica",,"picture book","toys","slikovnica","word","produces",,"item_87"
"banana",,"banana","food_drink","banana","word","produces",,"item_88"
"blitva",,"chard","food_drink","blitva","word","produces",,"item_89"
"bombon",,"candy","food_drink","bombon","word","produces",,"item_90"
"bundeva",,"pumpkin","food_drink","bundeva","word","produces",,"item_91"
"čaj",,"tea","food_drink","caj","word","produces",,"item_92"
"čips",,"potato chip","food_drink","cips","word","produces",,"item_93"
"čokolada",,"chocolate","food_drink","cokolada","word","produces",,"item_94"
"čokolino",,"cokolino (Croatian children food)","food_drink","cokolino","word","produces",,"item_95"
"grah",,"beans","food_drink","grah","word","produces",,"item_96"
"grašak",,"peas","food_drink","grasak","word","produces",,"item_97"
"griz",,"grits","food_drink","griz","word","produces",,"item_98"
"grožđe",,"grapes","food_drink","grozde","word","produces",,"item_99"
"grožđica",,"raisin","food_drink","grozdica","word","produces",,"item_100"
"hamburger",,"hamburger","food_drink","hamburger","word","produces",,"item_101"
"hrana",,"food","food_drink","hrana","word","produces",,"item_102"
"hrenovke",,"frankfurters","food_drink","hrenovke","word","produces",,"item_103"
"jabuka",,"apple","food_drink","jabuka","word","produces",,"item_104"
"jagoda",,"strawberry","food_drink","jagoda","word","produces",,"item_105"
"jaje",,"egg","food_drink","jaje","word","produces",,"item_106"
"jogurt",,"yogurt","food_drink","jogurt","word","produces",,"item_107"
"juha",,"soup","food_drink","juha","word","produces",,"item_108"
"kašica",,"gruel","food_drink","kasica","word","produces",,"item_109"
"kava",,"coffee","food_drink","kava","word","produces",,"item_110"
"keks",,"cookie","food_drink","keks","word","produces",,"item_111"
"kelj",,"savoy cabbage","food_drink","kelj","word","produces",,"item_112"
"kobasica",,"sausage","food_drink","kobasica","word","produces",,"item_113"
"koka (piletina)","chicken (food)","chicken","food_drink","koka_(piletina)","word","produces",,"item_114"
"kokice",,"popcorn","food_drink","kokice","word","produces",,"item_115"
