Participant ID:,Sex:,Infant Birthdate:,Test Date:,Age (Months),Primary Caregiver:,Prim. Caregiver Education:,Secondary Caregiver: ,Sec. Caregiver Education: ,Income:,mom_ed,choo choo,meow,ouch,uh oh,bird,dog,duck,kitty,lion,mouse,car,stroller,ball,book,doll,bread,candy,cereal,cookie,juice,toast,hat,pants,shoe,sock,eye,head,leg,nose,tooth,chair,couch,kitchen,table,television,blanket,bottle,cup,dish,lamp,radio,spoon,flower,home,moon,outside,plant,rain,rock,water,babysitter,girl,grandma,mommy,bath,don't ,hi,night night,patty cake,please,wait,break,feed,finish,help,jump,kick,kiss,push,sing,smile,night,today,all gone,big,broken,dark,fast,hurt,pretty,soft,I,me,how,who,away,out,other,some,Total,Notes:
AS-001,F,2009-05-17,2010-10-19,17.1,Mother,High School Diploma,Father,Some High School,"Less than $25,000",High School Diploma,1,2,2,1,1,2,2,1,1,0,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,2,1,2,2,1,0,2,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,64,
AS-002,F,2009-05-31,2010-10-21,16.7,Mother,Some High School,Father,Some High School,"Less than $25,000",Some High School,0,1,2,2,0,1,1,1,0,0,1,0,1,1,1,2,1,1,1,2,0,1,1,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,2,0,2,2,2,1,1,2,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,58,
AS-003,F,2009-05-22,2010-10-22,17.03,Mother,Graduate Degree,Father,High School Diploma,"$61,000-$80,000",Graduate Degree,1,2,1,2,1,2,1,2,2,1,1,0,2,2,0,1,0,1,2,2,0,2,1,1,1,2,2,1,2,2,1,1,1,1,0,1,0,1,1,0,0,1,2,0,2,2,1,1,2,2,0,1,1,2,2,1,2,2,1,2,1,0,2,2,1,1,1,2,1,1,1,0,0,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,65,
AS-004,F,2009-04-24,2010-10-25,18.05,Mother,College Degree,N/A,N/A,"Less than $25,000",College Degree,1,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,0,2,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,0,1,2,2,2,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,82,
AS-005,F,2009-02-21,2010-10-26,20.12,Mother,College Degree,Nanny,Graduate Degree,"Less than $25,000",College Degree,2,2,2,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,0,2,1,2,2,2,2,2,1,2,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,88,
AS-006,F,2009-04-02,2010-10-26,18.81,Mother,College Degree,Father,Trade school/Some College,"$61,000-$80,000",College Degree,2,0,2,2,2,2,2,2,1,1,2,1,2,2,2,2,0,1,0,0,2,2,1,2,2,2,2,2,2,2,2,1,1,1,0,2,0,2,0,0,2,2,2,1,2,2,0,2,1,2,0,0,2,2,2,0,2,2,0,1,1,1,1,2,2,2,2,1,1,1,1,0,0,1,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,63,
AS-007,F,2009-03-26,2010-10-28,19.1,Mother,College Degree,Father,Graduate Degree,"Above $150,000",College Degree,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,0,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,1,0,2,2,1,0,2,1,0,1,0,0,0,2,1,2,0,0,76,
AS-008,M,2009-04-24,2010-10-30,18.21,Mother,Graduate Degree,Father,Graduate Degree,"$61,000-$80,000",Graduate Degree,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,0,2,1,2,2,1,1,1,2,2,2,2,2,1,2,1,2,0,1,1,2,1,2,2,2,1,2,1,0,2,2,1,2,2,2,1,2,2,2,0,2,1,1,0,0,2,2,0,0,0,0,2,0,0,0,0,75,
AS-009,M,2009-03-28,2010-11-01,19.17,Mother,Gradaute Degree,Father,Graduate Degree,"$25,000-$40,000",Graduate Degree,1,2,2,2,1,2,1,1,0,0,1,1,2,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,2,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
AS-010,M,2009-03-12,2010-11-02,19.73,Mother,Post-grad,Father,Post-Doc,"$25,000-$40,000",Post-graduate,0,0,2,2,1,2,1,1,1,1,1,1,1,1,0,0,0,1,2,1,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,
AS-011,M,2009-04-09,2010-11-04,18.87,Mother,College Degree,Father,College Degree,"$25,000-$40,000",College Degree,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,0,2,2,2,1,0,0,2,2,2,1,2,1,2,1,2,0,0,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,0,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,83,
AS-012,M,2009-03-25,2010-11-04,19.36,Mother,College Degree,Father,College Degree,"$41,000-$60,000",College Degree,2,1,1,2,2,2,2,2,2,1,2,1,2,2,0,2,0,0,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,0,1,1,2,1,1,0,1,1,1,1,1,1,1,1,2,0,1,1,2,2,2,2,2,0,2,2,1,1,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,82,
AS-013,M,2009-06-05,2010-11-05,17.03,Mother,Graduate Degree,Father,College Degree,"Above $150,000",Graduate Degree,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,27,
AS-014,M,2009-04-24,2010-11-08,18.51,Mother,College Degree,Father,Graduate Degree,"$121,000-$150,000",College Degree,2,2,1,2,1,2,2,2,1,1,2,1,2,2,1,2,2,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,2,1,1,2,1,0,2,1,0,1,2,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,1,2,2,0,1,0,0,0,0,80,
AS-015,F,2009-07-19,2010-11-08,15.68,Mother,Graduate Degree,Father,Post-Doc,"$25,000-$40,000",Graduate Degree,2,1,1,1,2,1,2,1,1,1,1,1,2,2,1,1,0,0,1,1,0,2,1,1,1,1,1,1,2,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,2,1,0,2,1,1,0,1,2,2,1,1,2,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,72,
AS-016,M,2009-07-06,2010-11-16,16.37,Mother,College Degree,Grandmother/Father,College Degree,"Above $150,000",College Degree,2,2,2,2,2,2,2,2,2,0,2,2,2,2,1,1,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,2,1,0,0,2,2,1,0,2,2,2,2,2,0,1,2,2,2,0,2,2,0,2,0,0,1,0,2,0,1,2,2,1,1,2,0,2,1,0,0,1,1,0,0,0,2,0,0,1,2,0,0,67,
AS-017,F,2009-04-02,2010-11-16,19.5,Mother,Graduate Degree,Father,High School Diploma,"$81,000-$100,000",Graduate Degree,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,0,2,1,2,2,2,1,1,2,2,0,1,2,2,2,1,2,2,1,2,2,2,2,1,2,1,1,2,1,1,1,2,1,2,0,2,1,1,2,2,1,2,1,1,1,1,2,1,1,86,
AS-018,F,2009-08-16,2010-11-16,15.02,Mother,College Degree,Father,College Degree,N/A,College Degree,0,2,0,0,2,1,2,0,1,1,2,1,2,1,1,1,0,1,0,0,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,
AS-019,F,2009-05-05,2010-11-18,18.48,Mother,Some College,Grandmother,High School Diploma,"$61,000-$80,000",Some College,1,2,1,2,2,2,1,1,1,0,1,1,2,2,1,0,1,0,0,1,1,0,1,1,1,2,1,1,2,1,1,1,1,1,0,1,0,2,0,0,0,1,1,1,1,1,1,0,1,2,0,0,1,2,2,1,2,2,1,1,1,0,1,0,1,1,1,2,1,0,1,0,0,2,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,66,
AS-020,F,2009-08-03,2010-11-18,15.52,Mother,College Degree,Grandmother/Grandfather,College Degree,"$61,000-$80,000",College Degree,1,1,2,2,2,2,1,2,0,0,1,1,2,1,2,1,0,1,0,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,2,2,1,0,2,2,1,2,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,
AS-021,M,2009-03-31,2010-11-22,19.76,Mother,High School Diploma,Father,High School Diploma,"$25,000-$40,000",High School Diploma,2,1,1,2,1,1,2,1,0,0,1,0,2,2,0,0,0,0,2,0,0,0,1,2,1,1,1,0,1,1,1,1,0,1,1,2,2,2,0,0,0,0,2,1,1,1,1,1,1,2,0,0,1,2,1,1,1,0,0,2,1,0,1,1,2,0,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,
