,name,age,category,ci.l,ci.h,productive
1,Louisiana State University,16,action_words,6.666666667,3.333333333,6.666666667
2,Louisiana State University,16,animals,3.333333333,1.666666667,3.333333333
3,Louisiana State University,16,body_parts,1.333333333,0.666666667,1.333333333
4,Louisiana State University,16,clothing,0.666666667,0.333333333,0.666666667
5,Louisiana State University,16,connecting_words,0,0,0
6,Louisiana State University,16,descriptive,2.666666667,1.333333333,2.666666667
7,Louisiana State University,16,food_drink,3.333333333,1.666666667,3.333333333
8,Louisiana State University,16,games_routines,6,3,7
9,Louisiana State University,16,helping_verbs,0.666666667,0.333333333,0.666666667
10,Louisiana State University,16,household,4.666666667,2.333333333,4.666666667
11,Louisiana State University,16,locations,0.666666667,0.333333333,0.666666667
12,Louisiana State University,16,outside,3.333333333,1.666666667,3.333333333
13,Louisiana State University,16,people,2.666666667,1.333333333,6.666666667
14,Louisiana State University,16,places,2,1,2
15,Louisiana State University,16,pronouns,0.666666667,0.333333333,0.666666667
16,Louisiana State University,16,quantifiers,0,0,0
17,Louisiana State University,16,question_words,0.666666667,0.333333333,0.666666667
18,Louisiana State University,16,rooms_furn,2.666666667,1.333333333,2.666666667
19,Louisiana State University,16,sounds,3.333333333,1.666666667,5.333333333
20,Louisiana State University,16,time,0.666666667,0.333333333,0.666666667
21,Louisiana State University,16,toys,3.333333333,1.666666667,3.333333333
22,Louisiana State University,16,vehicles,1.333333333,0.666666667,1.333333333
23,Louisiana State University,17,action_words,12.5,20,16.5
24,Louisiana State University,17,animals,4.75,6.75,6.75
25,Louisiana State University,17,body_parts,8.25,8.25,8.25
26,Louisiana State University,17,clothing,3.25,4.26875,3.25
27,Louisiana State University,17,connecting_words,0.75,0.75,0.75
28,Louisiana State University,17,descriptive,6.5,11.25,7
29,Louisiana State University,17,food_drink,9.75,12,9.75
30,Louisiana State University,17,games_routines,5.75,4,10
31,Louisiana State University,17,helping_verbs,2.25,3,2.25
32,Louisiana State University,17,household,15.25,16.5,15.25
33,Louisiana State University,17,locations,3,5.25,3.25
34,Louisiana State University,17,outside,3.75,4.5,3.75
35,Louisiana State University,17,people,2.25,2.25,4.25
36,Louisiana State University,17,places,0.75,0.75,0.75
37,Louisiana State University,17,pronouns,2,3.25,2.25
38,Louisiana State University,17,quantifiers,1.5,2.25,1.5
39,Louisiana State University,17,question_words,0.25,0.5,0.25
40,Louisiana State University,17,rooms_furn,5.25,8.26875,5.25
41,Louisiana State University,17,sounds,3.25625,3.25,4.75
42,Louisiana State University,17,time,0.75,1.5,0.75
43,Louisiana State University,17,toys,2.5,3.5,2.5
44,Louisiana State University,17,vehicles,1.25,1.5,2.75
45,Louisiana State University,18,action_words,11,13,13
46,Louisiana State University,18,animals,1,2,3
47,Louisiana State University,18,body_parts,3,2,6
48,Louisiana State University,18,clothing,1,1,4
49,Louisiana State University,18,connecting_words,0,0,0
50,Louisiana State University,18,descriptive,6,6,6
51,Louisiana State University,18,food_drink,5.333333333,4.666666667,8.333333333
52,Louisiana State University,18,games_routines,5,3,8
53,Louisiana State University,18,helping_verbs,0.666666667,1.333333333,0.666666667
54,Louisiana State University,18,household,4.666666667,6.333333333,5.666666667
55,Louisiana State University,18,locations,0.666666667,1.333333333,0.666666667
56,Louisiana State University,18,outside,1.333333333,0.666666667,1.333333333
57,Louisiana State University,18,people,2.666666667,2.333333333,5.666666667
58,Louisiana State University,18,places,1,1,1
59,Louisiana State University,18,pronouns,2,1,2
60,Louisiana State University,18,quantifiers,0.666666667,1.333333333,0.666666667
61,Louisiana State University,18,question_words,0.333333333,0.666666667,0.333333333
62,Louisiana State University,18,rooms_furn,1.333333333,2.666666667,3.333333333
63,Louisiana State University,18,sounds,2.666666667,2.333333333,3.666666667
64,Louisiana State University,18,time,1,1,1
