itemID,type,category,item,definition,gloss,uni_lemma
item_1,word,sounds,ai-ai (sattuessa),ai-ai (sattuessa),oh,oh
item_2,word,sounds,ammuu,ammuu,moo,moo
item_3,word,sounds,bää-ä bää-ä,bää-ä bää-ä,baa,baa baa
item_4,word,sounds,drnn drnn (auton ääni),drnn drnn (auton ääni),vroom,vroom
item_5,word,sounds,hau hau,hau hau,bow_wow,woof woof
item_6,word,sounds,kukkokiekuu,kukkokiekuu,cock_a_doodle_doo,cockadoodledoo
item_7,word,sounds,kvaak kvaak,kvaak kvaak,quack_quack,quack quack
item_8,word,sounds,miauu,miauu,meow,meow
item_9,word,sounds,murrrr ,murrrr ,grrr,grrr
item_10,word,sounds,nam nam,nam nam,nam,yum yum
item_11,word,sounds,ohhoh ,ohhoh ,uh_oh,oh
item_12,word,sounds,shh (hiljaa),shh (hiljaa),shh,shh
item_13,word,sounds,tsuk tsuk junan ääni),tsuk tsuk junan ääni),choo_choo,choo choo
item_14,word,animals,ampiainen,ampiainen,bee,bee
item_15,word,animals,ankka  ,ankka  ,duck,duck
item_16,word,animals,apina   ,apina   ,ape,monkey
item_17,word,animals,eläin  ,eläin  ,animal,animal
item_18,word,animals,hevonen   ,hevonen   ,horse,horse
item_19,word,animals,hiiri  ,hiiri  ,mouse,mouse
item_20,word,animals,hirvi   ,hirvi   ,moose,moose
item_21,word,animals,hyttynen  ,hyttynen  ,mosquito,mosquito
item_22,word,animals,hämähäkki   ,hämähäkki   ,spider,spider
item_23,word,animals,kala  ,kala  ,fish,fish (animal)
item_24,word,animals,karhu   ,karhu   ,bear,bear
item_25,word,animals,kettu  ,kettu  ,fox,fox
item_26,word,animals,kirahvi   ,kirahvi   ,giraffe,giraffe
item_27,word,animals,kissa  ,kissa  ,cat,cat
item_28,word,animals,koira   ,koira   ,dog,dog
item_29,word,animals,kärpänen  ,kärpänen  ,fly,fly (animal)
item_30,word,animals,käärme   ,käärme   ,snake,snake
item_31,word,animals,lammas  ,lammas  ,sheep,sheep
item_32,word,animals,lehmä   ,lehmä   ,cow,cow
item_33,word,animals,leijona  ,leijona  ,lion,lion
item_34,word,animals,leppäkerttu   ,leppäkerttu   ,ladybird,ladybug
item_35,word,animals,lintu  ,lintu  ,bird,bird
item_36,word,animals,mato   ,mato   ,worm,worm
item_37,word,animals,muurahainen  ,muurahainen  ,ant,ant
item_38,word,animals,norsu   ,norsu   ,elephant,elephant
item_39,word,animals,orava  ,orava  ,squirrel,squirrel
item_40,word,animals,perhonen   ,perhonen   ,butterfly,butterfly
item_41,word,animals,pingviini  ,pingviini  ,penguin,penguin
item_42,word,animals,possu  ,possu  ,pig,pig
item_43,word,animals,pupu  ,pupu  ,bunny,bunny
item_44,word,animals,pöllö   ,pöllö   ,owl,owl
item_45,word,animals,sammakko  ,sammakko  ,frog,frog
item_46,word,animals,siili   ,siili   ,hedgehog,hedgehog
item_47,word,animals,susi  ,susi  ,wolf,wolf
item_48,word,animals,tiikeri ,tiikeri ,tiger,tiger
item_49,word,animals,tipu,tipu,baby chicken,chick
item_50,word,vehicles,auto  ,auto  ,car,car
item_51,word,vehicles,bussi/linja-auto ,bussi/linja-auto ,bus,bus
item_52,word,vehicles,juna  ,juna  ,train,train
item_53,word,vehicles,kuorma-auto ,kuorma-auto ,truck,truck
item_54,word,vehicles,laiva  ,laiva  ,ship,ship
item_55,word,vehicles,lentokone ,lentokone ,aeroplane,airplane
item_56,word,vehicles,mopo  ,mopo  ,moped,
item_57,word,vehicles,polkupyörä ,polkupyörä ,bicycle,bicycle
item_58,word,vehicles,rattaat  ,rattaat  ,pushchair,stroller
item_59,word,vehicles,traktori,traktori,tractor,tractor
item_60,word,toys,kirja,kirja,book,book
item_61,word,toys,kynä ,kynä ,pencil,pencil
item_62,word,toys,lapio  ,lapio  ,spade,spade
item_63,word,toys,nalle ,nalle ,teddybear,teddybear
item_64,word,toys,nukke  ,nukke  ,doll,doll
item_65,word,toys,palikka ,palikka ,brick,blocks
item_66,word,toys,pallo  ,pallo  ,ball,ball
item_67,word,toys,ämpäri/sanko ,ämpäri/sanko ,bucket,bucket
item_68,word,food_drink,appelsiini  ,appelsiini  ,orange,orange (food)
item_69,word,food_drink,banaani ,banaani ,banana,banana
item_70,word,food_drink,herne  ,herne  ,pea,peas
item_71,word,food_drink,jugurtti ,jugurtti ,youghurt,yogurt
item_72,word,food_drink,juusto  ,juusto  ,cheese,cheese
item_73,word,food_drink,jäätelö ,jäätelö ,icecream,ice cream
item_74,word,food_drink,kahvi  ,kahvi  ,coffee,coffee
item_75,word,food_drink,kakku ,kakku ,cake,cake
item_76,word,food_drink,kala  ,kala  ,fish_x,fish (food)
item_77,word,food_drink,kana ,kana ,chicken,chicken (food)
item_78,word,food_drink,kananmuna  ,kananmuna  ,egg,egg
item_79,word,food_drink,karkki ,karkki ,candy,candy
item_80,word,food_drink,keksi  ,keksi  ,cookie,cookie
item_81,word,food_drink,kurkku ,kurkku ,cucumber,cucumber
item_82,word,food_drink,leipä  ,leipä  ,bread,bread
item_83,word,food_drink,liha ,liha ,meat,meat
item_84,word,food_drink,maito  ,maito  ,milk,milk
item_85,word,food_drink,makaroni ,makaroni ,macaroni,macaroni
item_86,word,food_drink,makkara  ,makkara  ,sausage,sausage
item_87,word,food_drink,mansikka ,mansikka ,strawberry,strawberry
item_88,word,food_drink,mehu  ,mehu  ,juice,juice
item_89,word,food_drink,omena ,omena ,apple,apple
item_90,word,food_drink,peruna  ,peruna  ,potato,potato
item_91,word,food_drink,porkkana ,porkkana ,carrot,carrot
