itemID,item,type,category,choices,definition,gloss,uni_lemma
item_1,,first_signs,,yes; no,Risponde quando è chiamato per nome,Respond to his/her name,
item_2,,first_signs,,yes; no,Risponde ad un No,Respond to No,
item_3,,first_signs,,yes; no,Reagisce ad un C'è la mamma/il papà,Look for mummty/daddy if you say where is mummy/daddy,
item_4,,phrases,,understands,Vuoi la pappa,Are you hungry?,
item_5,,phrases,,understands,Hai sonno? Sei stanco,Are you sleepy/tired?,
item_6,,phrases,,understands,Vuoi bere?,Do you want to drink?,
item_7,,phrases,,understands,Stai attento,Be careful,
item_8,,phrases,,understands,Stai buono,,
item_9,,phrases,,understands,Batti le manine,Clap your ands,
item_10,,phrases,,understands,Cambiamo il pannolino,Change diaper,
item_11,,phrases,,understands,Vieni qui,Come here,
item_12,,phrases,,understands,Che schifo,,
item_13,,phrases,,understands,Ne vuoi ancora?,Do you want more?,
item_14,,phrases,,understands,Non fare questo,Don't do this,
item_15,,phrases,,understands,Non toccare,Don't touch,
item_16,,phrases,,understands,Alzati,Get up,
item_17,,phrases,,understands,Dai quello alla mamma,Give to mummy,
item_18,,phrases,,understands,Dammi un bacino,Give me a kiss,
item_19,,phrases,,understands,Andiamo a…,Let's go to…,
item_20,,phrases,,understands,Bravo bambino,Good boy/girl,
item_21,,phrases,,understands,Stai fermo,Stop,
item_22,,phrases,,understands,Dì Ciao,Say bye bye,
item_23,,phrases,,understands,Guarda/Guarda qui,Look/look here,
item_24,,phrases,,understands,Apri la bocca,Open your mouth,
item_25,,phrases,,understands,Stai seduto,Sit down,
item_26,,phrases,,understands,Sputa,Psit it out,
item_27,,phrases,,understands,Basta,Cut it now,
item_28,,phrases,,understands,E' ora di fare la nanna,I'ts time to go to bed,
item_29,,phrases,,understands,Butta la palla,Throw the ball,
item_30,,phrases,,understands,Sei tutto sporco,You are dirty,
item_31,,phrases,,understands,Usciamo?,Let's go out,
item_32,,first_words,,not yet; sometimes; often,Quanto spesso imita le parole?,How frequently repeats the words,
item_33,,first_words,,not yet; sometimes; often,Quanto spesso nomina?,How frequently names objects/events…?,
item_34,bau bau,word,sounds,understands; produces,bau bau,woof woof,woof woof
item_35,beh beh,word,sounds,understands; produces,beh beh,baa baa,baa baa
item_36,brum brum,word,sounds,understands; produces,brum brum,vroom,vroom
item_37,cip cip,word,sounds,understands; produces,cip cip,tweet tweet,tweet tweet
item_38,clop clop,word,sounds,understands; produces,clop clop,,clop clop
item_39,coccode,word,sounds,understands; produces,coccodè,cockadoodledoo,cockadoodledoo
item_40,ih oh,word,sounds,understands; produces,oh oh,uh oh,uh oh
item_41,grr,word,sounds,understands; produces,grr,grr,grrr
item_42,miao,word,sounds,understands; produces,miao,meow,meow
item_43,muh,word,sounds,understands; produces,muh,moo,moo
item_44,qua qua,word,sounds,understands; produces,qua qua,quack quack,quack quack
item_45,tuttu,word,sounds,understands; produces,tuttù,choo choo,choo choo
item_46,agnello,word,animals,understands; produces,agnello,lamb,lamb
item_47,animale,word,animals,understands; produces,animale,animal,animal
item_48,asino,word,animals,understands; produces,asino,donkey,donkey
item_49,cane,word,animals,understands; produces,cane,dog,dog
item_50,capra,word,animals,understands; produces,capra,goat,goat
item_51,cavallo,word,animals,understands; produces,cavallo,horse,horse
item_52,cerbiatto,word,animals,understands; produces,cerbiatto,fawn,fawn
item_53,coccodrillo,word,animals,understands; produces,coccodrillo,crocodile,crocodile
item_54,coniglio,word,animals,understands; produces,coniglio,bunny,bunny
item_55,elefante,word,animals,understands; produces,elefante,elephant,elephant
item_56,farfalla,word,animals,understands; produces,farfalla,butterfly,butterfly
item_57,formica,word,animals,understands; produces,formica,ant,ant
item_58,gallina,word,animals,understands; produces,gallina,hen,hen
item_59,gallo,word,animals,understands; produces,gallo,rooster,rooster
item_60,gatto,word,animals,understands; produces,gatto,cat,cat
item_61,giraffa,word,animals,understands; produces,giraffa,giraffe,giraffe
item_62,ippopotamo,word,animals,understands; produces,ippopotamo,hippopotamus,hippopotamus
item_63,leone,word,animals,understands; produces,leone,lion,lion
item_64,lupo,word,animals,understands; produces,lupo,wolf,wolf
item_65,maiale,word,animals,understands; produces,maiale,pig,pig
item_66,mosca,word,animals,understands; produces,mosca,fly,fly (animal)
item_67,mucca,word,animals,understands; produces,mucca,cow,cow
