CatGram,Semantic Cat,category,definition,itemID
Others,anaimal sounds and other sounds,sounds,aïe,item_1
Others,anaimal sounds and other sounds,sounds,allô,item_2
Others,anaimal sounds and other sounds,sounds,bêê bêê,item_3
Others,anaimal sounds and other sounds,sounds,cocorico,item_4
Others,anaimal sounds and other sounds,sounds,coin-coin,item_5
Others,anaimal sounds and other sounds,sounds,grrrr,item_6
Others,anaimal sounds and other sounds,sounds,meuh,item_7
Others,anaimal sounds and other sounds,sounds,miam-miam,item_8
Others,anaimal sounds and other sounds,sounds,miaou,item_9
Others,anaimal sounds and other sounds,sounds,oh oh,item_10
Others,anaimal sounds and other sounds,sounds,ouaf-ouaf,item_11
Others,anaimal sounds and other sounds,sounds,tchou tchou,item_12
Others,anaimal sounds and other sounds,sounds,vroum,item_13
Others,games and routines,games_routines,ainsi font font,item_14
Others,games and routines,games_routines,au revoir,item_15
Others,games and routines,games_routines,bain,item_16
Others,games and routines,games_routines,bonjour,item_17
Others,games and routines,games_routines,bonne nuit,item_18
Others,games and routines,games_routines,bravo,item_19
Others,games and routines,games_routines,ce petit cochon,item_20
Others,games and routines,games_routines,chut,item_21
Others,games and routines,games_routines,coucou,item_22
Others,games and routines,games_routines,coup de fil,item_23
Others,games and routines,games_routines,déjeuner,item_24
Others,games and routines,games_routines,dîner,item_25
Others,games and routines,games_routines,faire les courses,item_26
Others,games and routines,games_routines,goûter,item_27
Others,games and routines,games_routines,je vais t'attraper,item_28
Others,games and routines,games_routines,merci,item_29
Others,games and routines,games_routines,ne fais pas,item_30
Others,games and routines,games_routines,non,item_31
Others,games and routines,games_routines,oui,item_32
Others,games and routines,games_routines,petit déjeuner,item_33
Others,games and routines,games_routines,salut,item_35
Others,games and routines,games_routines,sieste,item_36
Others,games and routines,games_routines,s'il te plaît,item_34
Others,games and routines,games_routines,top là,item_37
Others,games and routines,games_routines,tourne-toi,item_38
Others,games and routines,games_routines,va sur le pot,item_39
Nouns,Vehicules,vehicles,avion,item_40
Nouns,Vehicules,vehicles,bateau,item_41
Nouns,Vehicules,vehicles,bus,item_42
Nouns,Vehicules,vehicles,camion,item_43
Nouns,Vehicules,vehicles,camion de pompier,item_44
Nouns,Vehicules,vehicles,hélicoptère,item_45
Nouns,Vehicules,vehicles,moto,item_46
Nouns,Vehicules,vehicles,poussette,item_47
Nouns,Vehicules,vehicles,tracteur,item_48
Nouns,Vehicules,vehicles,train,item_49
Nouns,Vehicules,vehicles,traîneau,item_50
Nouns,Vehicules,vehicles,tricycle,item_51
Nouns,Vehicules,vehicles,vélo,item_52
Nouns,Vehicules,vehicles,voiture,item_53
Nouns,animals,animals,abeille,item_54
Nouns,animals,animals,agneau,item_55
Nouns,animals,animals,âne,item_56
Nouns,animals,animals,animal,item_57
Nouns,animals,animals,bébé chat,item_58
Nouns,animals,animals,bébé chien,item_59
Nouns,animals,animals,biche,item_60
Nouns,animals,animals,canard,item_61
Nouns,animals,animals,chat,item_62
Nouns,animals,animals,cheval,item_63
Nouns,animals,animals,chèvre,item_64
Nouns,animals,animals,chien,item_65
Nouns,animals,animals,cochon,item_66
Nouns,animals,animals,coq,item_67
Nouns,animals,animals,crocodile,item_68
Nouns,animals,animals,dindon,item_69
Nouns,animals,animals,écureuil,item_70
Nouns,animals,animals,éléphant,item_71
Nouns,animals,animals,fourmi,item_72
Nouns,animals,animals,girafe,item_73
Nouns,animals,animals,grenouille,item_74
Nouns,animals,animals,hibou,item_75
Nouns,animals,animals,lapin,item_76
Nouns,animals,animals,lion,item_77
Nouns,animals,animals,loup,item_78
Nouns,animals,animals,mouton,item_79
Nouns,animals,animals,nounours,item_80
Nouns,animals,animals,oie,item_81
Nouns,animals,animals,oiseau,item_82
Nouns,animals,animals,ours,item_83
Nouns,animals,animals,papillon,item_84
Nouns,animals,animals,petite bête,item_85
Nouns,animals,animals,pingouin,item_86
Nouns,animals,animals,poisson,item_87
Nouns,animals,animals,poney,item_88
Nouns,animals,animals,poule,item_89
Nouns,animals,animals,renne,item_90
Nouns,animals,animals,singe,item_91
Nouns,animals,animals,souris,item_92
Nouns,animals,animals,tigre,item_93
Nouns,animals,animals,tortue,item_94
Nouns,animals,animals,vache,item_95
Nouns,animals,animals,zèbre,item_96
Nouns,Toys,toys,balle,item_97
Nouns,Toys,toys,ballon,item_98
Nouns,Toys,toys,bulles,item_99
Nouns,Toys,toys,cadeau,item_100
Nouns,Toys,toys,colle,item_101
Nouns,Toys,toys,craie,item_102
Nouns,Toys,toys,crayon,item_103
Nouns,Toys,toys,cube,item_104
Nouns,Toys,toys,feutre,item_105
Nouns,Toys,toys,histoire,item_106
Nouns,Toys,toys,jeu,item_107
Nouns,Toys,toys,jouet,item_108
Nouns,Toys,toys,livre,item_109
Nouns,Toys,toys,pâte à modeler,item_110
Nouns,Toys,toys,poupée,item_111
Nouns,Toys,toys,puzzle,item_112
Nouns,Toys,toys,raquette,item_113
Nouns,Toys,toys,stylo,item_114
Nouns,Clothes,clothing,basket,item_115
Nouns,Clothes,clothing,bavoir/bavette,item_116
Nouns,Clothes,clothing,body,item_117
Nouns,Clothes,clothing,bottes,item_118
Nouns,Clothes,clothing,boutons,item_119
Nouns,Clothes,clothing,ceinture,item_120
Nouns,Clothes,clothing,chapeau,item_121
Nouns,Clothes,clothing,chaussettes,item_122
Nouns,Clothes,clothing,chausson/pantoufle,item_123
Nouns,Clothes,clothing,chaussure,item_124
Nouns,Clothes,clothing,chemise,item_125
Nouns,Clothes,clothing,collants,item_126
Nouns,Clothes,clothing,collier,item_127
Nouns,Clothes,clothing,combinaison de ski,item_128
Nouns,Clothes,clothing,couche,item_129
Nouns,Clothes,clothing,culotte/slip,item_130
Nouns,Clothes,clothing,écharpe,item_131
Nouns,Clothes,clothing,gants,item_132
Nouns,Clothes,clothing,grenouillère,item_133
Nouns,Clothes,clothing,jeans,item_134
Nouns,Clothes,clothing,manteau,item_135
Nouns,Clothes,clothing,moufles,item_136
Nouns,Clothes,clothing,pantalon,item_137
Nouns,Clothes,clothing,perles,item_138
Nouns,Clothes,clothing,pull,item_139
Nouns,Clothes,clothing,pyjama,item_140
Nouns,Clothes,clothing,robe,item_141
Nouns,Clothes,clothing,salopette,item_142
Nouns,Clothes,clothing,short,item_143
Nouns,Clothes,clothing,sweet,item_144
Nouns,Clothes,clothing,tee-shirt,item_145
Nouns,Clothes,clothing,veste,item_146
Nouns,outside objects,outside,arbre,item_147
Nouns,outside objects,outside,arrosoir,item_148
Nouns,outside objects,outside,bac à sable,item_149
Nouns,outside objects,outside,balançoire,item_150
Nouns,outside objects,outside,bâton,item_151
Nouns,outside objects,outside,bonhomme de neige,item_152
Nouns,outside objects,outside,caillou,item_153
Nouns,outside objects,outside,ciel,item_154
Nouns,outside objects,outside,drapeau,item_155
Nouns,outside objects,outside,eau,item_156
Nouns,outside objects,outside,échelle,item_157
Nouns,outside objects,outside,étoile,item_158
Nouns,outside objects,outside,fleur,item_159
Nouns,outside objects,outside,herbe,item_160
Nouns,outside objects,outside,jardin,item_161
Nouns,outside objects,outside,lune,item_162
Nouns,outside objects,outside,neige,item_163
Nouns,outside objects,outside,nuage,item_164
Nouns,outside objects,outside,pelle,item_165
Nouns,outside objects,outside,pierre,item_166
Nouns,outside objects,outside,piscine,item_167
Nouns,outside objects,outside,pluie,item_168
Nouns,outside objects,outside,rocher,item_169
Nouns,outside objects,outside,rue/route,item_170
Nouns,outside objects,outside,soleil,item_171
Nouns,outside objects,outside,toboggan,item_172
Nouns,outside objects,outside,toit,item_173
Nouns,outside objects,outside,tondeuse à gazon,item_174
Nouns,outside objects,outside,trottoir,item_175
Nouns,outside objects,outside,tuyau,item_176
Nouns,outside objects,outside,vent,item_177
Nouns,Place to go,places,campagne,item_178
Nouns,Place to go,places,camping,item_179
Nouns,Place to go,places,centre-ville,item_180
Nouns,Place to go,places,cinéma,item_181
Nouns,Place to go,places,cirque,item_182
Nouns,Place to go,places,cours,item_183
Nouns,Place to go,places,crèche,item_184
Nouns,Place to go,places,dehors,item_185
Nouns,Place to go,places,école,item_186
Nouns,Place to go,places,église,item_187
Nouns,Place to go,places,ferme,item_188
Nouns,Place to go,places,fête,item_189
Nouns,Place to go,places,forêt,item_190
Nouns,Place to go,places,garderie,item_191
Nouns,Place to go,places,magasin,item_192
Nouns,Place to go,places,maison,item_193
Nouns,Place to go,places,parc,item_194
Nouns,Place to go,places,pique-nique,item_195
Nouns,Place to go,places,plage,item_196
Nouns,Place to go,places,station service,item_197
Nouns,Place to go,places,terrain de jeux,item_198
Nouns,Place to go,places,travail,item_199
Nouns,Place to go,places,zoo,item_200
Nouns,small houseold items,household,appareil photo,item_201
Nouns,small houseold items,household,argent,item_202
Nouns,small houseold items,household,aspirateur,item_203
Nouns,small houseold items,household,assiette,item_204
Nouns,small houseold items,household,balai,item_205
Nouns,small houseold items,household,biberon,item_206
Nouns,small houseold items,household,boite,item_207
Nouns,small houseold items,household,bol,item_208
Nouns,small houseold items,household,bouteille,item_209
Nouns,small houseold items,household,brosse,item_210
Nouns,small houseold items,household,brosse à dent,item_211
Nouns,small houseold items,household,cassette,item_212
Nouns,small houseold items,household,ciseaux,item_213
Nouns,small houseold items,household,clefs,item_214
Nouns,small houseold items,household,clou,item_215
Nouns,small houseold items,household,coussins,item_216
Nouns,small houseold items,household,couteau,item_217
Nouns,small houseold items,household,couverture,item_218
Nouns,small houseold items,household,cuillère,item_219
