definition,category,item,type,choices,itemID,complexity_category,gloss,uni_lemma
gristi,action_words,gristi,word,understands; produces,item_81,NA,bite,bite
puhati,action_words,puhati,word,understands; produces,item_264,NA,blow,blow
razbiti,action_words,razbiti,word,understands; produces,item_269,NA,break,break
donijeti,action_words,donijeti,word,understands; produces,item_64,NA,bring,bring
kupiti,action_words,kupiti,word,understands; produces,item_153,NA,buy,buy
čistiti,action_words,cistiti,word,understands; produces,item_36,NA,clean,clean (action)
zatvoriti,action_words,zatvoriti,word,understands; produces,item_384,NA,close,close
plakati,action_words,plakati,word,understands; produces,item_243,NA,cry,cry
plesati,action_words,plesati,word,understands; produces,item_246,NA,dance,dance
crtati,action_words,crtati,word,understands; produces,item_42,NA,draw,draw
piti,action_words,piti,word,understands; produces,item_241,NA,drink,drink (action)
voziti,action_words,voziti,word,understands; produces,item_373,NA,drive,drive
jesti,action_words,jesti,word,understands; produces,item_111,NA,eat,eat
pasti,action_words,pasti,word,understands; produces,item_230,NA,fall,fall
tući,action_words,tuci,word,understands; produces,item_344,NA,beat,fight
bježati,action_words,bjezati,word,understands; produces,item_12,NA,run,flee
dobiti,action_words,dobiti,word,understands; produces,item_59,NA,get,get
dati,action_words,dati,word,understands; produces,item_48,NA,give,give
ići,action_words,ici,word,understands; produces,item_96,NA,go,go
pomoći,action_words,pomoci,word,understands; produces,item_250,NA,help,help
udariti se,action_words,udariti_se,word,understands; produces,item_349,NA,bump,hit
zagrliti,action_words,zagrliti,word,understands; produces,item_381,NA,hug,hug
žuriti,action_words,zuriti,word,understands; produces,item_394,NA,hurry,hurry
skočiti,action_words,skociti,word,understands; produces,item_288,NA,jump,jump
šutnuti,action_words,sutnuti,word,understands; produces,item_317,NA,kick,kick
poljubiti,action_words,poljubiti,word,understands; produces,item_249,NA,kiss,kiss
gledati,action_words,gledati,word,understands; produces,item_77,NA,watch,look
voljeti,action_words,voljeti,word,understands; produces,item_372,NA,love,love
otvoriti,action_words,otvoriti,word,understands; produces,item_221,NA,open,open (action)
igrati se,action_words,igrati_se,word,understands; produces,item_98,NA,play,play
vući,action_words,vuci,word,understands; produces,item_378,NA,pull,pull
gurati,action_words,gurati,word,understands; produces,item_85,NA,push,push
staviti,action_words,staviti,word,understands; produces,item_305,NA,put,put
čitati,action_words,citati,word,understands; produces,item_37,NA,read,read
jahati,action_words,jahati,word,understands; produces,item_105,NA,ride,ride
trčati,action_words,trcati,word,understands; produces,item_340,NA,run,run
reći,action_words,reci,word,understands; produces,item_270,NA,say,say
vidjeti,action_words,vidjeti,word,understands; produces,item_365,NA,see,see
pjevati,action_words,pjevati,word,understands; produces,item_242,NA,sing,sing
spavati,action_words,spavati,word,understands; produces,item_300,NA,sleep,sleep
smijati se,action_words,smijati_se,word,understands; produces,item_294,NA,smile,laugh
prskati,action_words,prskati,word,understands; produces,item_260,NA,splash,splash
stati,action_words,stati,word,understands; produces,item_304,NA,stop,stop
plivati,action_words,plivati,word,understands; produces,item_247,NA,swim,swim
ljuljati se,action_words,ljuljati_se,word,understands; produces,item_168,NA,swing,swing (action)
uzeti,action_words,uzeti,word,understands; produces,item_357,NA,take,take
trgati,action_words,trgati,word,understands; produces,item_341,NA,tear,tear
baciti,action_words,baciti,word,understands; produces,item_4,NA,throw,throw
škakljati,action_words,skakljati,word,understands; produces,item_286,NA,tickle,tickle
dirati,action_words,dirati,word,understands; produces,item_51,NA,touch,touch
hodati,action_words,hodati,word,understands; produces,item_93,NA,walk,walk
prati,action_words,prati,word,understands; produces,item_255,NA,wash,wash
paziti,action_words,paziti,word,understands; produces,item_232,NA,look out,watch (action)
brisati,action_words,brisati,word,understands; produces,item_20,NA,wipe,wipe
pisati,action_words,pisati,word,understands; produces,item_240,NA,write,write
životinja,animals,zivotinja,word,understands; produces,item_389,NA,animal,animal
medo,animals,medo,word,understands; produces,item_180,NA,bear,teddybear
pčela,animals,pcela,word,understands; produces,item_233,NA,bee,bee
ptica,animals,ptica,word,understands; produces,item_263,NA,bird,bird
buba,animals,buba,word,understands; produces,item_24,NA,bug,bug
zeko,animals,zeko,word,understands; produces,item_387,NA,bunny,bunny
leptir,animals,leptir,word,understands; produces,item_160,NA,butterfly,butterfly
tele,animals,tele,word,understands; produces,item_327,NA,calf,calf
mačka,animals,macka,word,understands; produces,item_173,NA,cat,cat
pile,animals,pile,word,understands; produces,item_238,NA,chicken,chicken (animal)
krava,animals,krava,word,understands; produces,item_140,NA,cow,cow
lane,animals,lane,word,understands; produces,item_158,NA,fawn,deer
pas,animals,pas,word,understands; produces,item_229,NA,dog,dog
magarac,animals,magarac,word,understands; produces,item_174,NA,donkey,donkey
patka,animals,patka,word,understands; produces,item_231,NA,duck,duck
slon,animals,slon,word,understands; produces,item_292,NA,elephant,elephant
riba (animal),animals,riba,word,understands; produces,item_271,NA,fish,fish (animal)
lisica,animals,lisica,word,understands; produces,item_164,NA,fox,fox
žaba,animals,zaba,word,understands; produces,item_380,NA,frog,frog
koza,animals,koza,word,understands; produces,item_138,NA,goat,goat
guska,animals,guska,word,understands; produces,item_86,NA,goose,goose
koka,animals,koka,word,understands; produces,item_132,NA,hen,hen
konj,animals,konj,word,understands; produces,item_136,NA,horse,horse
jare,animals,jare,word,understands; produces,item_109,NA,kid,kid (goat)
lav,animals,lav,word,understands; produces,item_159,NA,lion,lion
majmun,animals,majmun,word,understands; produces,item_176,NA,monkey,monkey
miš,animals,mis,word,understands; produces,item_186,NA,mouse,mouse
sova,animals,sova,word,understands; produces,item_297,NA,owl,owl
prase,animals,prase,word,understands; produces,item_254,NA,pig,pig
pijetao,animals,pijetao,word,understands; produces,item_237,NA,rooster,rooster
ovca,animals,ovca,word,understands; produces,item_222,NA,sheep,sheep
vrabac,animals,vrabac,word,understands; produces,item_374,NA,sparrow,sparrow
vjeverica,animals,vjeverica,word,understands; produces,item_368,NA,squirrel,squirrel
tigar,animals,tigar,word,understands; produces,item_333,NA,tiger,tiger
purica,animals,purica,word,understands; produces,item_267,NA,turkey,turkey
vuk,animals,vuk,word,understands; produces,item_379,NA,wolf,wolf
ruka,body_parts,ruka,word,understands; produces,item_276,NA,hand,arm
pupak,body_parts,pupak,word,understands; produces,item_266,NA,belly button,belly button
guza,body_parts,guza,word,understands; produces,item_87,NA,buttocks,butt
obrazi,body_parts,obrazi,word,understands; produces,item_215,NA,cheek,cheek
uho,body_parts,uho,word,understands; produces,item_350,NA,ear,ear
oko,body_parts,oko,word,understands; produces,item_217,NA,eye,eye
lice,body_parts,lice,word,understands; produces,item_161,NA,face,face
palac,body_parts,palac,word,understands; produces,item_224,NA,thumb,thumb
čelo,body_parts,celo,word,understands; produces,item_30,NA,forehead,forehead
kosa,body_parts,kosa,word,understands; produces,item_137,NA,hair,hair
glava,body_parts,glava,word,understands; produces,item_76,NA,head,head
koljeno,body_parts,koljeno,word,understands; produces,item_135,NA,knee,knee
noga,body_parts,noga,word,understands; produces,item_209,NA,leg,leg
usta,body_parts,usta,word,understands; produces,item_356,NA,mouth,mouth
nokti,body_parts,nokti,word,understands; produces,item_210,NA,nails,nail (body part)
nos,body_parts,nos,word,understands; produces,item_211,NA,nose,nose
prst,body_parts,prst,word,understands; produces,item_261,NA,finger,finger
jezik,body_parts,jezik,word,understands; produces,item_112,NA,tongue,tongue
zub,body_parts,zub,word,understands; produces,item_393,NA,tooth,tooth
