"field","column","group","type"
"data_age","month","admin","data_age"
"sex","sex","child","sex"
"study_id","study_id","child","study_id"
"item_1","auto","item","word"
"item_2","autobus","item","word"
"item_3","avion","item","word"
"item_4","baciti","item","word"
"item_5","baka","item","word"
"item_6","balon","item","word"
"item_7","banana","item","word"
"item_8","bazen","item","word"
"item_9","beba","item","word"
"item_10","bicikl","item","word"
"item_11","biljka","item","word"
"item_12","bjezati","item","word"
"item_13","boca","item","word"
"item_14","bocica_(s_dudom)","item","word"
"item_15","bok_bog","item","word"
"item_16","bolestan","item","word"
"item_17","boli","item","word"
"item_18","bombon","item","word"
"item_19","brat","item","word"
"item_20","brisati","item","word"
"item_21","brod","item","word"
"item_22","brr-brr","item","word"
"item_23","brz(o)","item","word"
"item_24","buba","item","word"
"item_25","caj","item","word"
"item_26","carape","item","word"
"item_27","casa","item","word"
"item_28","cekaj","item","word"
"item_29","cekic","item","word"
"item_30","celo","item","word"
"item_31","cesalj","item","word"
"item_32","cetka","item","word"
"item_33","cetkica_(za_zube)","item","word"
"item_34","cipele","item","word"
"item_35","cist(o)","item","word"
"item_36","cistiti","item","word"
"item_37","citati","item","word"
"item_38","cizme","item","word"
"item_39","cokolada","item","word"
"item_40","cokolino","item","word"
"item_41","crkva","item","word"
"item_42","crtati","item","word"
"item_43","crvena","item","word"
"item_44","cvijece","item","word"
"item_45","da","item","word"
"item_46","dan","item","word"
"item_47","danas","item","word"
"item_48","dati","item","word"
"item_49","deka","item","word"
"item_50","dijete","item","word"
"item_51","dirati","item","word"
"item_52","divno","item","word"
"item_53","djeca","item","word"
"item_54","djecak","item","word"
"item_55","djed","item","word"
"item_56","djevojcica","item","word"
"item_57","dnevna_soba","item","word"
"item_58","dobar_dan","item","word"
"item_59","dobiti","item","word"
"item_60","dobro","item","word"
"item_61","doktor","item","word"
"item_62","dolje","item","word"
"item_63","dom","item","word"
"item_64","donijeti","item","word"
"item_65","dorucak","item","word"
"item_66","drugi","item","word"
"item_67","drvo","item","word"
"item_68","dvoriste","item","word"
"item_69","fin(o)","item","word"
"item_70","fotelja","item","word"
"item_71","gacice","item","word"
"item_72","ga-ga","item","word"
"item_73","garaza","item","word"
"item_74","gdje","item","word"
"item_75","gladan","item","word"
"item_76","glava","item","word"
"item_77","gledati","item","word"
"item_78","gore","item","word"
"item_79","gotovo","item","word"
"item_80","grasak","item","word"
"item_81","gristi","item","word"
"item_82","griz","item","word"
"item_83","grr","item","word"
"item_84","gumb","item","word"
"item_85","gurati","item","word"
"item_86","guska","item","word"
"item_87","guza","item","word"
"item_88","haljina","item","word"
"item_89","hlace","item","word"
"item_90","hladnjak","item","word"
"item_91","hladno","item","word"
"item_92","hocu","item","word"
"item_93","hodati","item","word"
"item_94","hrana","item","word"
"item_95","hvala","item","word"
"item_96","ici","item","word"
"item_97","igracka","item","word"
"item_98","igrati_se","item","word"
"item_99","ime_osobe_koja_cuva_dijete","item","word"
"item_100","ispod","item","word"
"item_101","ispred","item","word"
"item_102","iza","item","word"
"item_103","ja","item","word"
"item_104","jabuka","item","word"
"item_105","jahati","item","word"
"item_106","jaje","item","word"
"item_107","jakna","item","word"
"item_108","jao","item","word"
"item_109","jare","item","word"
"item_110","jastuk","item","word"
"item_111","jesti","item","word"
"item_112","jezik","item","word"
"item_113","jogurt","item","word"
"item_114","jos","item","word"
"item_115","juha","item","word"
"item_116","jutro","item","word"
"item_117","kad(a)","item","word"
"item_118","kada","item","word"
"item_119","kakao","item","word"
