itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_1,NA,word,understands; produces,sounds,ach,NA,oh,oh
item_2,NA,word,understands; produces,sounds,au,NA,ow!,ouch
item_3,NA,word,understands; produces,sounds,bim-bam,NA,ding-dong,NA
item_4,NA,word,understands; produces,sounds,brm / tú / títí (auto),NA,toot toot (auto),vroom
item_5,NA,word,understands; produces,sounds,bum bác,NA,bang bang,NA
item_6,NA,word,understands; produces,sounds,čľup,NA,plop,NA
item_7,NA,word,understands; produces,sounds,fuj,NA,yuck,NA
item_8,NA,word,understands; produces,sounds,hop,NA,hop,NA
item_9,NA,word,understands; produces,sounds,chacha / hihi,NA,hihi,NA
item_10,NA,word,understands; produces,sounds,jáj / júj / jéj,NA,yow!,NA
item_11,NA,word,understands; produces,sounds,kač,NA,kač,NA
item_12,NA,word,understands; produces,sounds,kikirikí (kohút),NA,cockadoodledoo (cock),cockadoodledoo
item_13,NA,word,understands; produces,sounds,kuk,NA,peekaboo,peekaboo
item_14,NA,word,understands; produces,sounds,pip / pipí (sliepka),NA,peep (hen),NA
item_15,NA,word,understands; produces,sounds,šiši / ššš (vlak),NA,choo choo (the train),choo choo
item_16,NA,word,understands; produces,sounds,tik-tak,NA,tick-tock,tick tock
item_17,NA,word,understands; produces,animals,bobrík,NA,beaver,beaver
item_18,NA,word,understands; produces,animals,bocian,NA,stork,stork
item_19,NA,word,understands; produces,animals,delfín,NA,dolphin,dolphin
item_20,NA,word,understands; produces,animals,had,NA,snake,snake
item_21,NA,word,understands; produces,animals,holub,NA,pigeon,pigeon
item_22,NA,word,understands; produces,animals,hroch,NA,hippo,hippopotamus
item_23,NA,word,understands; produces,animals,hus,NA,goose,goose
item_24,NA,word,understands; produces,animals,húsenica,NA,caterpillar,caterpillar
item_25,NA,word,understands; produces,animals,kukučka,NA,cuckoo,NA
item_26,NA,word,understands; produces,animals,kuriatko / sliepka,NA,chicken,chicken (animal)
item_27,NA,word,understands; produces,animals,labka,NA,paw,paw
item_28,NA,word,understands; produces,animals,labuť,NA,swan,swan
item_29,NA,word,understands; produces,animals,lastovička,NA,swallow,swallow (animal)
item_30,NA,word,understands; produces,animals,lev,NA,lion,lion
item_31,NA,word,understands; produces,animals,lienka,NA,ladybird,ladybug
item_32,NA,word,understands; produces,animals,líška,NA,Fox,fox
item_33,NA,word,understands; produces,animals,ryba,NA,fish,fish (animal)
item_34,NA,word,understands; produces,animals,slimák,NA,slug,slug
item_35,NA,word,understands; produces,animals,slon,NA,an elephant,elephant
item_36,NA,word,understands; produces,animals,somárik / oslík,NA,donkey / burro,donkey
item_37,NA,word,understands; produces,animals,sova,NA,owl,owl
item_38,NA,word,understands; produces,animals,ťava,NA,camel,camel
item_39,NA,word,understands; produces,animals,tiger,NA,tiger,tiger
item_40,NA,word,understands; produces,animals,tuleň,NA,seal,seal (animal)
item_41,NA,word,understands; produces,animals,chrobák,NA,beetle,bug
item_42,NA,word,understands; produces,animals,chvostík,NA,tail,tail
item_43,NA,word,understands; produces,animals,jašterica,NA,lizard,lizard
item_44,NA,word,understands; produces,animals,jeleň,NA,deer,deer
item_45,NA,word,understands; produces,animals,ježko,NA,hedgehog,hedgehog
item_46,NA,word,understands; produces,animals,kačka,NA,duck,duck
item_47,NA,word,understands; produces,animals,kohút,NA,cock,rooster
item_48,NA,word,understands; produces,animals,koník,NA,grasshopper,pony
item_49,NA,word,understands; produces,animals,korytnačka,NA,turtle,turtle
item_50,NA,word,understands; produces,animals,koza,NA,goat,goat
item_51,NA,word,understands; produces,animals,krava,NA,cow,cow
item_52,NA,word,understands; produces,animals,krídla,NA,wings,wing
item_53,NA,word,understands; produces,animals,krokodíl,NA,crocodile,crocodile
item_54,NA,word,understands; produces,animals,krtko,NA,mole,mole
item_55,NA,word,understands; produces,animals,meno domáceho zvieratka,NA,your pet's name,pet's name
item_56,NA,word,understands; produces,animals,medveď / maco,NA,Bear,bear
item_57,NA,word,understands; produces,animals,mačka,NA,cat,cat
item_58,NA,word,understands; produces,animals,motýľ,NA,butterfly,butterfly
