type,value,data_value
sex,M,m
sex,F,f
mom_ed,graduate,Universitets- og h¿gskoleutdanning (h¿yere grad. inkl. forskerutdanning)
mom_ed,college,Universitets- og h¿gskoleutdanning (lavere grad)
mom_ed,secondary,VideregŒende skole
mom_ed,primary,Grunnskole
first_signs,yes,1
first_signs,no,0
phrases,understands,1
starting_to_talk,never,1
starting_to_talk,sometimes,2
starting_to_talk,often,3
word,produces,2
word,understands,1
gestures_first,not yet,1
gestures_first,sometimes,2
gestures_first,often,3
gestures,no,0
gestures,yes,1
,,
,,
,,
,,
,,
,,
,,
