"","expr","type","time","n"
"1","EnglishWS","local",14.375552962,5825
"2","EnglishWS","local",14.375552962,5825
"3","EnglishWS","local",14.375552962,5825
"4","EnglishWS","local",14.375552962,5825
"5","EnglishWS","local",14.375552962,5825
"6","EnglishWS","local",14.375552962,5825
"7","EnglishWS","local",14.375552962,5825
"8","EnglishWS","local",14.375552962,5825
"9","EnglishWS","local",14.375552962,5825
"10","EnglishWS","local",14.375552962,5825
"11","NorwegianWS","local",32.988442647,12969
"12","NorwegianWS","local",32.988442647,12969
"13","NorwegianWS","local",32.988442647,12969
"14","NorwegianWS","local",32.988442647,12969
"15","NorwegianWS","local",32.988442647,12969
"16","NorwegianWS","local",32.988442647,12969
"17","NorwegianWS","local",32.988442647,12969
"18","NorwegianWS","local",32.988442647,12969
"19","NorwegianWS","local",32.988442647,12969
"20","NorwegianWS","local",32.988442647,12969
"21","SpanishWG","local",7.097478006,778
"22","SpanishWG","local",7.097478006,778
"23","SpanishWG","local",7.097478006,778
"24","SpanishWG","local",7.097478006,778
"25","SpanishWG","local",7.097478006,778
"26","SpanishWG","local",7.097478006,778
"27","SpanishWG","local",7.097478006,778
"28","SpanishWG","local",7.097478006,778
"29","SpanishWG","local",7.097478006,778
"30","SpanishWG","local",7.097478006,778
"31","NorwegianWG","local",2.99114092,3025
"32","NorwegianWG","local",2.99114092,3025
"33","NorwegianWG","local",2.99114092,3025
"34","NorwegianWG","local",2.99114092,3025
"35","NorwegianWG","local",2.99114092,3025
"36","NorwegianWG","local",2.99114092,3025
"37","NorwegianWG","local",2.99114092,3025
"38","NorwegianWG","local",2.99114092,3025
"39","NorwegianWG","local",2.99114092,3025
"40","NorwegianWG","local",2.99114092,3025
"41","EnglishWG","local",4.015721412,2416
"42","EnglishWG","local",4.015721412,2416
"43","EnglishWG","local",4.015721412,2416
"44","EnglishWG","local",4.015721412,2416
"45","EnglishWG","local",4.015721412,2416
"46","EnglishWG","local",4.015721412,2416
"47","EnglishWG","local",4.015721412,2416
"48","EnglishWG","local",4.015721412,2416
"49","EnglishWG","local",4.015721412,2416
"50","EnglishWG","local",4.015721412,2416
"51","EnglishWS","local",11.197617079,5825
"52","EnglishWS","local",11.197617079,5825
"53","EnglishWS","local",11.197617079,5825
"54","EnglishWS","local",11.197617079,5825
"55","EnglishWS","local",11.197617079,5825
"56","EnglishWS","local",11.197617079,5825
"57","EnglishWS","local",11.197617079,5825
