Subject,Lang,Lang2,Com30AL,Pro30AL,Com30Eng,Pro30Eng,ComLongerAL,ProLongerAL,ComLongerEng,ProLongerEng,AgeAtEngCDI,gender,mumlang,dadlang,EngExp,lang_exp1,lang_exp2,MumEd,DadEd,NumberSibs,AL30_aeroplane,AL30_ball,AL30_bed,AL30_big,AL30_book,AL30_car,AL30_chair,AL30_cold,AL30_cup,AL30_dirty,AL30_door,AL30_elephant,AL30_fall,AL30_fish,AL30_flower,AL30_hot,AL30_lion,AL30_milk,AL30_mummy,AL30_nose,AL30_play,AL30_scissors,AL30_shoes,AL30_sky,AL30_soap,AL30_sock,AL30_table,AL30_tree,AL30_what,AL30_where,Eng30_aeroplane,Eng30_ball,Eng30_bed,Eng30_big,Eng30_book,Eng30_car,Eng30_chair,Eng30_cold,Eng30_cup,Eng30_dirty,Eng30_door,Eng30_elephant,Eng30_fall,Eng30_fish,Eng30_flower,Eng30_hot,Eng30_lion,Eng30_milk,Eng30_mummy,Eng30_nose,Eng30_play,Eng30_scissors,Eng30_shoes,Eng30_sky,Eng30_soap,Eng30_sock,Eng30_table,Eng30_tree,Eng30_what,Eng30_where,Eng_aeroplane,Eng_all,Eng_arm,Eng_aunt,Eng_back,Eng_ball,Eng_balloon,Eng_bed,Eng_bib,Eng_big,Eng_block,Eng_book,Eng_bowl,Eng_broom,Eng_brush,Eng_butter,Eng_cake,Eng_call,Eng_car,Eng_carry,Eng_catch,Eng_cereal,Eng_chair,Eng_clean,Eng_cocksound,Eng_cold,Eng_cup,Eng_dinner,Eng_dirty,Eng_donkey,Eng_door,Eng_drop,Eng_elephant,Eng_fall,Eng_fast,Eng_finish,Eng_fish,Eng_flower,Eng_glass,Eng_go,Eng_goodbye,Eng_goose,Eng_happy,Eng_her,Eng_hot,Eng_I,Eng_in,Eng_jacket,Eng_key,Eng_kitten,Eng_lamp,Eng_light,Eng_lion,Eng_meat,Eng_milk,Eng_money,Eng_mouth,Eng_mummy,Eng_nap,Eng_nose,Eng_not,Eng_now,Eng_old,Eng_other,Eng_outside,Eng_peekaboo,Eng_pen,Eng_penguin,Eng_pig,Eng_play,Eng_scissors,Eng_shoes,Eng_sky,Eng_soap,Eng_sock,Eng_soft,Eng_some,Eng_spectacles,Eng_splash,Eng_squirrel,Eng_swim,Eng_swing,Eng_table,Eng_tea,Eng_there,Eng_tickle,Eng_today,Eng_toe,Eng_tomorrow,Eng_tree,Eng_walk,Eng_wall,Eng_wantto,Eng_watch,Eng_wet,Eng_what,Eng_where,Eng_why,Eng_yes,Eng_zip,AL_CDI_Length
115,Welsh,Welsh,30,7,30,24,381,102,99,68,23.8,2,2,1,74.57,English;74.57;,Welsh;25.43;,3,6,1,2,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,0,2,2,2,1,2,2,1,430
118,Welsh,Welsh,29,22,19,11,367,239,50,30,23.7,2,1,1,21.42,English;21.42;,Welsh;78.58;,7,1,3,2,2,2,0,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,1,0,1,2,2,1,0,2,1,0,2,1,2,2,1,1,0,2,0,1,0,2,0,2,2,0,0,0,0,2,0,0,0,0,1,2,0,1,1,2,2,0,0,0,0,1,2,2,2,1,2,1,2,2,0,2,0,1,0,0,1,2,1,2,0,2,2,0,2,2,0,0,0,1,0,0,2,2,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,2,1,0,1,1,0,2,0,2,2,0,0,1,1,0,0,2,0,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,1,430
121,Welsh,Welsh,19,3,27,24,229,79,74,62,24.1,2,1,1,56.85,English;56.85;,Welsh;43.15;,7,7,1,0,1,1,0,1,2,1,1,1,0,1,2,1,0,1,0,1,1,2,1,0,1,1,0,0,0,1,1,0,0,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,2,0,0,2,2,2,0,2,2,0,2,0,2,2,2,2,0,2,1,2,2,0,1,2,2,2,2,2,1,2,2,2,0,2,2,2,2,1,2,0,1,1,2,1,2,2,0,2,2,1,0,0,2,0,2,1,0,1,0,2,2,0,2,0,2,2,1,2,0,0,0,2,2,2,2,2,2,2,1,2,0,0,2,0,0,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,2,0,2,0,2,2,430
122,Welsh,Welsh,11,1,30,28,101,13,96,84,24.2,1,1,1,79.87,English;79.87;,Welsh;20.13;,7,6,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,2,2,1,2,2,2,2,2,2,2,0,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,0,2,2,1,1,2,2,430
123,Welsh,Welsh,1,0,30,30,23,20,100,100,23.6,1,1,1,81.78,English;81.78;,Welsh;18.22;,7,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,430
124,Welsh,Welsh,22,18,21,19,237,158,48,37,24.4,1,1,2,27.38,English;27.38;,Welsh;72.62;,6,7,0,2,2,2,2,1,1,2,2,2,0,2,2,0,0,2,2,2,1,2,2,2,0,1,0,2,0,2,2,0,0,2,2,2,1,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,1,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,2,2,2,1,2,2,2,0,1,0,2,0,2,0,1,0,2,2,1,2,2,0,0,1,2,0,2,0,2,0,2,0,1,2,2,0,0,0,2,0,0,0,1,0,0,0,2,0,2,0,2,2,0,2,0,0,0,0,0,2,0,2,2,1,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,2,2,0,0,2,1,430
125,Welsh,Welsh,29,29,24,12,363,311,66,35,23.7,2,1,1,0,English;0.00;,Welsh;100.00;,6,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,1,0,1,2,1,0,2,1,1,2,0,2,1,2,2,0,2,1,1,1,2,0,2,2,1,1,0,1,2,0,1,2,2,2,2,1,0,0,2,1,1,2,1,0,1,0,2,0,2,0,1,0,2,0,2,1,1,2,1,0,2,0,2,1,2,1,0,2,2,1,2,0,2,0,1,0,2,2,0,1,2,0,0,0,1,2,1,1,2,0,0,0,1,2,0,2,1,1,1,2,0,2,2,2,0,0,2,0,1,2,1,0,0,2,0,1,0,1,1,1,1,1,0,0,1,0,2,2,430
126,Welsh,Welsh,18,1,22,5,169,6,56,8,24.2,2,1,1,57.14,English;57.14;,Welsh;42.86;,6,6,1,1,2,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,2,1,0,1,2,1,0,1,0,1,1,1,2,1,0,1,1,2,2,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,2,1,1,0,0,1,1,1,0,1,0,1,1,2,1,1,1,1,1,2,0,1,0,0,1,1,1,1,1,0,0,2,1,1,2,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,0,2,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,2,0,430
147,Welsh,Welsh,18,8,28,23,200,88,87,55,23.6,1,1,2,72.91,English;72.91;,Welsh;27.09;,7,7,0,1,1,1,0,1,2,1,0,0,0,2,2,0,1,2,0,1,1,2,2,1,0,2,0,1,0,0,2,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,1,1,2,2,2,0,1,1,1,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,0,2,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,0,2,2,0,2,2,2,2,0,2,0,2,2,1,1,0,1,2,1,2,0,2,2,1,2,1,1,0,1,1,2,1,2,2,1,0,2,1,1,2,0,1,2,2,1,2,2,2,2,1,1,0,2,0,2,2,1,2,1,2,0,1,1,2,1,430
175,Welsh,Welsh,22,6,25,20,231,67,71,55,24.1,1,1,2,62.46,English;62.46;,Welsh;37.54;,6,6,0,1,1,1,0,1,2,1,0,1,2,2,2,2,1,1,0,1,2,0,1,0,1,1,0,1,1,1,1,0,0,1,2,2,2,1,2,2,0,2,1,2,2,1,2,2,2,2,2,2,2,0,0,2,0,2,2,2,1,0,2,1,0,1,1,0,2,2,2,2,2,1,1,2,2,1,2,2,0,2,0,2,1,2,2,2,0,2,2,1,1,2,0,2,1,0,1,2,2,1,2,2,2,2,0,2,0,0,0,2,2,0,2,2,0,2,2,2,2,1,2,0,0,0,0,2,2,1,2,2,0,0,2,0,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2,0,1,2,0,0,1,2,0,2,0,2,2,430
