itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
item_142,FINISH,word,action_words,produces,FINISH,,finish,
item_143,FIX,word,action_words,produces,FIX,,,
item_144,GET_TAKE,word,action_words,produces,GET/TAKE,,take,
item_145,GET_A_SHOT,word,action_words,produces,GET-A-SHOT,,,
item_146,GIVE,word,action_words,produces,GIVE,,give,
item_147,GO,word,action_words,produces,GO,,go,
item_148,HAVE,word,action_words,produces,HAVE,,have,
item_149,HEAR,word,action_words,produces,HEAR,,hear,
item_150,HELP,word,action_words,produces,HELP,,help,
item_151,HIDE,word,action_words,produces,HIDE,,hide,
item_152,HIT,word,action_words,produces,HIT,,hit,
item_153,HOLD,word,action_words,produces,HOLD,,hold,
item_154,HUG,word,action_words,produces,HUG,,hug,
item_155,HURRY,word,action_words,produces,HURRY,,hurry,
item_156,JUMP,word,action_words,produces,JUMP,,jump,
item_157,KICK,word,action_words,produces,KICK,,kick,
item_158,KISS,word,action_words,produces,KISS,,kiss,
item_159,KNOCK,word,action_words,produces,KNOCK,,,
item_160,LEARN,word,action_words,produces,LEARN,,,
item_161,LICK,word,action_words,produces,LICK,,lick,
item_162,LIKE,word,action_words,produces,LIKE,,,
item_163,LOOK,word,action_words,produces,LOOK,,look,
item_164,LOVE,word,action_words,produces,LOVE,,love,
item_165,MAKE,word,action_words,produces,MAKE,,make,
item_166,OPEN,word,action_words,produces,OPEN,,open (action),
item_167,PAINT,word,action_words,produces,PAINT,,paint (action),
item_168,PICK,word,action_words,produces,PICK/CHOOSE,,,
item_169,PLAY,word,action_words,produces,PLAY,,play,
item_170,POUR,word,action_words,produces,POUR,,,
item_171,PULL,word,action_words,produces,PULL,,pull,
item_172,PUSH,word,action_words,produces,PUSH,,push,
item_173,PUT,word,action_words,produces,PUT,,put,
item_174,READ,word,action_words,produces,READ,,read,
item_175,RIDE_IN,word,action_words,produces,RIDE-IN,,,
item_176,RUN,word,action_words,produces,RUN,,run,
item_177,SAY,word,action_words,produces,SAY,,say,
item_178,SEARCH_FOR,word,action_words,produces,SEARCH-FOR,,,
item_179,SEE,word,action_words,produces,SEE,,see,
item_180,SHAKE,word,action_words,produces,SHAKE,,shake,
item_181,SHARE,word,action_words,produces,SHARE,,,
item_182,SHOW,word,action_words,produces,SHOW,,show,
item_183,SIGN,word,action_words,produces,SIGN,,,
item_184,SIT,word,action_words,produces,SIT,,sit,
item_185,SKATE,word,action_words,produces,SKATE,,,
item_186,SLEEP,word,action_words,produces,SLEEP,,sleep,
item_187,SLIDE,word,action_words,produces,SLIDE,,,
item_188,SMILE,word,action_words,produces,SMILE,,smile,
item_189,SPILL,word,action_words,produces,SPILL,,spill,
item_190,STAND,word,action_words,produces,STAND,,stand,
item_191,STAY,word,action_words,produces,STAY,,,
item_192,STOP,word,action_words,produces,STOP,,stop,
item_193,SWIM,word,action_words,produces,SWIM,,swim,
item_194,SWING,word,action_words,produces,SWING,,swing (action),
item_195,TAKE_PILL,word,action_words,produces,TAKE-PILL,,,
item_196,TALK,word,action_words,produces,TALK,,talk,
item_197,TASTE,word,action_words,produces,TASTE,,,
item_198,TEACH,word,action_words,produces,TEACH,,,
item_199,TEAR,word,action_words,produces,TEAR/RIP,,tear,
item_200,TELL,word,action_words,produces,TELL,,tell,
item_201,THINK,word,action_words,produces,THINK,,,
item_202,THROW,word,action_words,produces,THROW,,throw,
item_203,TOUCH,word,action_words,produces,TOUCH,,touch,
item_204,WAIT,word,action_words,produces,WAIT,,wait,
item_205,WALK,word,action_words,produces,WALK,,walk,
item_206,WASH,word,action_words,produces,WASH,,wash,
item_207,WATCH,word,action_words,produces,WATCH,,watch (action),
item_208,WORK,word,action_words,produces,WORK,,work (action),
item_209,BASEMENT,word,furniture_rooms,produces,BASEMENT,,,
item_210,BATHROOM_TOILET,word,furniture_rooms,produces,BATHROOM/TOILET,,bathroom,
item_211,BATHTUB,word,furniture_rooms,produces,BATHTUB,,bathtub,
item_212,BED,word,furniture_rooms,produces,BED,,bed,
item_213,BEDROOM,word,furniture_rooms,produces,BEDROOM,,bedroom,
item_214,CLOSET,word,furniture_rooms,produces,CLOSET,,closet,
item_215,DOOR,word,furniture_rooms,produces,DOOR,,door,
item_216,DRAWER,word,furniture_rooms,produces,DRAWER,,drawer,
item_217,DRYER,word,furniture_rooms,produces,DRYER,,,
item_218,GARAGE,word,furniture_rooms,produces,GARAGE,,garage,
item_219,KITCHEN,word,furniture_rooms,produces,KITCHEN,,kitchen,
item_220,LIVING_ROOM,word,furniture_rooms,produces,LIVING ROOM,,living room,
item_221,MIRROR,word,furniture_rooms,produces,MIRROR,,mirror,
item_222,REFRIGERATOR,word,furniture_rooms,produces,REFRIGERATOR,,refrigerator,
item_223,ROCKING_CHAIR,word,furniture_rooms,produces,ROCKING CHAIR,,rocking chair,
item_224,ROOM,word,furniture_rooms,produces,ROOM,,room,
item_225,SHOWER,word,furniture_rooms,produces,SHOWER,,shower,
item_226,STAIRS,word,furniture_rooms,produces,STAIRS,,stairs,
item_227,TABLE,word,furniture_rooms,produces,TABLE,,table,
item_228,TV,word,furniture_rooms,produces,TV,,tv,
item_229,WASH_MACHINE,word,furniture_rooms,produces,WASH MACHINE,,washing machine,
item_230,WINDOW,word,furniture_rooms,produces,WINDOW,,window,
item_231,BALL,word,toys,produces,BALL,,ball,
item_232,BALLOON,word,toys,produces,BALLOON,,balloon,
item_233,BAT,word,toys,produces,BAT,,,
item_234,BOOK,word,toys,produces,BOOK,,book,
item_235,BUBBLES,word,toys,produces,BUBBLES,,bubbles,
item_236,DOLL,word,toys,produces,DOLL,,doll,
item_237,GAME,word,toys,produces,GAME,,,
item_238,PENCIL,word,toys,produces,PENCIL,,,
item_239,PRESENT,word,toys,produces,PRESENT/GIFT,,present,
item_240,PUZZLE,word,toys,produces,PUZZLE,,,
item_241,ROBOT,word,toys,produces,ROBOT,,,
item_242,TOY,word,toys,produces,TOY,,toy (object),
item_243,AUNT,word,people,produces,AUNT,,aunt,
item_244,BABY,word,people,produces,BABY,,baby,
item_245,BABYSITTER,word,people,produces,BABYSITTER,,babysitter,
item_246,BOY,word,people,produces,BOY,,boy,
item_247,BROTHER,word,people,produces,BROTHER,,brother,
item_248,CHILD_KID,word,people,produces,CHILD/KID,,child,
item_249,Childs_Own_Name,word,people,produces,Child's Own Name,,child's own name,
item_250,CLOWN,word,people,produces,CLOWN,,clown,
item_251,COUSIN,word,people,produces,COUSIN,,cousin,
item_252,COWBOY,word,people,produces,COWBOY,,,
item_253,DADDY,word,people,produces,DADDY,,daddy,
item_254,DOCTOR,word,people,produces,DOCTOR,,doctor,
item_255,FIREMAN,word,people,produces,FIREMAN,,,
item_256,FRIEND,word,people,produces,FRIEND,,friend,
item_257,GIRL,word,people,produces,GIRL,,girl,
item_258,GRANDMA,word,people,produces,GRANDMA,,grandma,
item_259,GRANDPA,word,people,produces,GRANDPA,,grandpa,
item_260,INDIAN,word,people,produces,INDIAN,,,
item_261,MAILMAN,word,people,produces,MAILMAN,,,
item_262,MAN,word,people,produces,MAN,,man,
item_263,MOMMY,word,people,produces,MOMMY,,mommy,
item_264,MONSTER,word,people,produces,MONSTER,,,
item_265,NAME_SIGNS,word,people,produces,NAME SIGNS,,,
item_266,NURSE,word,people,produces,NURSE,,,
item_267,PEOPLE,word,people,produces,PEOPLE,,people,
item_268,POLICE,word,people,produces,POLICE,,policeman,
item_269,SANTA_CLAUS,word,people,produces,SANTA CLAUS,,,
item_270,SISTER,word,people,produces,SISTER,,sister,
item_271,TEACHER,word,people,produces,TEACHER,,teacher,
item_272,UNCLE,word,people,produces,UNCLE,,uncle,
item_273,WOMAN,word,people,produces,WOMAN,,woman,
item_274,APPLE,word,food_drink,produces,APPLE,,apple,
item_275,BAGEL,word,food_drink,produces,BAGEL,,,
item_276,BANANA,word,food_drink,produces,BANANA,,banana,
item_277,BEANS,word,food_drink,produces,BEANS,,beans,
item_278,BREAD,word,food_drink,produces,BREAD,,bread,
item_279,BUTTER,word,food_drink,produces,BUTTER,,butter,
item_280,CAKE,word,food_drink,produces,CAKE,,cake,
item_281,CANDY,word,food_drink,produces,CANDY,,candy,
item_282,CARROT,word,food_drink,produces,CARROT,,carrots,
item_283,CEREAL,word,food_drink,produces,CEREAL,,cereal,
item_284,CHEESE,word,food_drink,produces,CHEESE,,cheese,
item_285,CHOCOLATE,word,food_drink,produces,CHOCOLATE,,chocolate,
item_286,COFFEE,word,food_drink,produces,COFFEE,,coffee,
item_287,COKE,word,food_drink,produces,COKE,,soda,
item_288,COOKIE,word,food_drink,produces,COOKIE,,cookie,
item_289,CORN,word,food_drink,produces,CORN,,,
item_290,CRACKER,word,food_drink,produces,CRACKER,,cracker,
item_291,CREAM_CHEESE,word,food_drink,produces,CREAM CHEESE,,,
item_292,DONUT,word,food_drink,produces,DONUT,,,
item_293,EGG,word,food_drink,produces,EGG,,egg,
item_294,FRENCH_FRIES,word,food_drink,produces,FRENCH FRIES,,,
item_295,GRAPES,word,food_drink,produces,GRAPES,,grapes,
item_296,GREEN_BEANS,word,food_drink,produces,GREEN BEANS,,,
item_297,GUM,word,food_drink,produces,GUM,,,
item_298,HAMBURGER,word,food_drink,produces,HAMBURGER,,,
item_299,HOT_DOG,word,food_drink,produces,HOT DOG,,hot dog,
item_300,ICE,word,food_drink,produces,ICE,,,
item_301,ICE_CREAM,word,food_drink,produces,ICE CREAM,,ice cream,
item_302,JELLY,word,food_drink,produces,JELLY,,,
item_303,JUICE,word,food_drink,produces,JUICE,,juice,
item_304,LOLLIPOP,word,food_drink,produces,LOLLIPOP,,lollipop,
item_305,MEAT,word,food_drink,produces,MEAT,,meat,
item_306,MILK,word,food_drink,produces,MILK,,milk,
item_307,NUT,word,food_drink,produces,NUT,,,
item_308,ORANGE,word,food_drink,produces,ORANGE,,orange (description),
item_309,PANCAKE,word,food_drink,produces,PANCAKE,,pancake,
item_310,PEANUT_BUTTER,word,food_drink,produces,PEANUT BUTTER,,,
item_311,PIZZA,word,food_drink,produces,PIZZA,,pizza,
item_312,POPSICLE,word,food_drink,produces,POPSICLE,,,
item_313,POTATO,word,food_drink,produces,POTATO,,potato,
item_314,POTATO_CHIPS,word,food_drink,produces,POTATO CHIPS,,,
item_315,PUMPKIN,word,food_drink,produces,PUMPKIN,,,
item_316,SALAD,word,food_drink,produces,SALAD,,,
item_317,SALT,word,food_drink,produces,SALT,,,
item_318,SANDWICH,word,food_drink,produces,SANDWICH,,sandwich,
item_319,SAUCE,word,food_drink,produces,SAUCE,,sauce,
item_320,SODA_POP,word,food_drink,produces,SODA/POP,,soda,
item_321,SOUP,word,food_drink,produces,SOUP,,soup,
item_322,SPAGHETTI,word,food_drink,produces,SPAGHETTI,,spaghetti,
item_323,STRAWBERRY,word,food_drink,produces,STRAWBERRY,,,
item_324,SYRUP,word,food_drink,produces,SYRUP,,,
item_325,TEA,word,food_drink,produces,TEA,,tea,
item_326,TOAST,word,food_drink,produces,TOAST,,toast,
item_327,TOMATO,word,food_drink,produces,TOMATO,,tomato,
item_328,VANILLA,word,food_drink,produces,VANILLA,,,
item_329,VITAMINS,word,food_drink,produces,VITAMINS,,,
item_330,WAFFLE,word,food_drink,produces,WAFFLE,,,
item_331,WATER,word,food_drink,produces,WATER,,water (beverage),
item_332,WATERMELON,word,food_drink,produces,WATERMELON,,watermelon,
item_333,AND,word,connecting_words,produces,AND,,,
item_334,BECAUSE,word,connecting_words,produces,BECAUSE,,,
item_335,BUT,word,connecting_words,produces,BUT,,,
item_336,IF_SUPPOSE,word,connecting_words,produces,IF/SUPPOSE,,,
item_337,ABOVE,word,locations,produces,ABOVE,,above,
item_338,BACK,word,locations,produces,BACK,,back,
item_339,BEHIND,word,locations,produces,BEHIND,,,
item_340,DOWN,word,locations,produces,DOWN,,down,
item_341,FOR,word,locations,produces,FOR,,for,
item_342,FRONT,word,locations,produces,FRONT,,front,
item_343,HERE,word,locations,produces,HERE,,here,
item_344,INSIDE_IN,word,locations,produces,INSIDE/IN,,in,
item_345,NEXT_TO,word,locations,produces,NEXT-TO,,,
item_346,OFF,word,locations,produces,OFF,,off,
item_347,ON,word,locations,produces,ON,,on,
item_348,OUT,word,locations,produces,OUT,,out,
item_349,OVER,word,locations,produces,OVER,,,
item_350,TO,word,locations,produces,TO,,to,
item_351,UNDER,word,locations,produces,UNDER,,under,
item_352,UP,word,locations,produces,UP,,up,
item_353,WITH,word,locations,produces,WITH,,with,
item_354,BACKYARD_YARD,word,outside,produces,BACKYARD/YARD,,yard,
item_355,CLOUD,word,outside,produces,CLOUD,,cloud,
item_356,FLAG,word,outside,produces,FLAG,,,
item_357,FLOWER,word,outside,produces,FLOWER,,flower,
item_358,FOREST_WOODS,word,outside,produces,FOREST,,,
item_359,GRASS,word,outside,produces,GRASS,,grass,
item_360,HOSE,word,outside,produces,HOSE,,,
item_361,LADDER,word,outside,produces,LADDER,,ladder,
item_362,LAWN_MOWER,word,outside,produces,LAWN MOWER,,,
item_363,LIGHTNING,word,outside,produces,LIGHTNING,,,
item_364,MOON,word,outside,produces,MOON,,moon,
item_365,RAIN,word,outside,produces,RAIN,,rain,
item_366,ROCK,word,outside,produces,ROCK,,rock (object),
item_367,SHOVEL,word,outside,produces,SHOVEL,,shovel,
item_368,SNOW,word,outside,produces,SNOW,,snow,
item_369,SNOWMAN,word,outside,produces,SNOWMAN,,,
item_370,SPRINKLER,word,outside,produces,SPRINKLER,,,
item_371,STAR,word,outside,produces,STAR,,star,
item_372,STREET,word,outside,produces,STREET,,street,
item_373,SUN,word,outside,produces,SUN,,sun,
item_374,TREE,word,outside,produces,TREE,,tree,
item_375,HE_SHE_IT,word,pronouns,produces,HE/SHE/IT,,,
item_376,HIS_HERS,word,pronouns,produces,HIS/HERS,,,
item_377,ME,word,pronouns,produces,ME,,me,
item_378,MY_MINE,word,pronouns,produces,MINE/MY,,my,
item_379,MYSELF,word,pronouns,produces,MYSELF,,self,
item_380,OUR,word,pronouns,produces,OUR,,our,
item_381,THAT,word,pronouns,produces,THAT/THESE,,that,
item_382,THEIR,word,pronouns,produces,THEIR,,,
item_383,THEY,word,pronouns,produces,THEY,,they,
item_384,WE,word,pronouns,produces,WE,,we,
item_385,YOU,word,pronouns,produces,YOU,,you,
item_386,YOUR,word,pronouns,produces,YOUR,,your,
item_387,YOURSELF,word,pronouns,produces,YOURSELF,,,
item_388,BEACH,word,places,produces,BEACH,,beach,
item_389,CAMPING,word,places,produces,CAMPING,,,
item_390,CHURCH,word,places,produces,CHURCH,,church,
item_391,CIRCUS,word,places,produces,CIRCUS,,,
item_392,COUNTRY,word,places,produces,COUNTRY,,country,
item_393,FARM,word,places,produces,FARM,,,
item_394,GAS_STATION,word,places,produces,GAS STATION,,,
item_395,HOME,word,places,produces,HOME,,home,
item_396,HOUSE,word,places,produces,HOUSE,,house,
item_397,MCDONALDS,word,places,produces,McDONALD'S,,,
item_398,MOVIE,word,places,produces,MOVIE,,,
item_399,OUTSIDE,word,places,produces,OUTSIDE,,outside,
item_400,PARTY,word,places,produces,PARTY,,party,
item_401,PICNIC,word,places,produces,PICNIC,,,
item_402,PLAYGROUND,word,places,produces,PLAYGROUND,,playground,
item_403,RESTAURANT,word,places,produces,RESTAURANT,,,
item_404,SCHOOL,word,places,produces,SCHOOL,,school,
item_405,STORE,word,places,produces,STORE,,store,
item_406,TOWN,word,places,produces,TOWN,,,
item_407,ZOO,word,places,produces,ZOO,,zoo,
item_408,A LOT_MUCH,word,quantifiers,produces,A LOT/MUCH,,a lot,
item_409,ALL,word,quantifiers,produces,ALL,,all,
item_410,GONE_ALL_GONE,word,quantifiers,produces,GONE/ALL-GONE,,all gone,
item_411,MANY,word,quantifiers,produces,MANY,,many,
item_412,MORE,word,quantifiers,produces,MORE,,more,
item_413,NONE,word,quantifiers,produces,NONE,,none,
item_414,NOT,word,quantifiers,produces,NOT,,not,
item_415,NUMBERS,word,quantifiers,produces,NUMBERS,,,
item_416,OTHER,word,quantifiers,produces,OTHER,,other,
item_417,SAME,word,quantifiers,produces,SAME,,same,
item_418,SOME,word,quantifiers,produces,SOME,,some,
item_419,DO_DO,word,question_words,produces,DO-DO,,do,
item_420,FOR_FOR,word,question_words,produces,FOR-FOR,,for,
item_421,HOW,word,question_words,produces,HOW,,how,
item_422,WHAT,word,question_words,produces,WHAT,,what,
item_423,WHERE,word,question_words,produces,WHERE,,where (question),
item_424,WHICH,word,question_words,produces,WHICH,,which (question),
item_425,WHO,word,question_words,produces,WHO,,who,
item_426,WHY,word,question_words,produces,WHY,,why,
item_427,BAND_AID,word,household,produces,BAND-AID,,,
item_428,BASKET,word,household,produces,BASKET,,,
item_429,BLANKET,word,household,produces,BLANKET,,blanket,
item_430,BOTTLE,word,household,produces,BOTTLE,,bottle,
item_431,BOWL,word,household,produces,BOWL,,bowl,
item_432,BOX,word,household,produces,BOX,,box,
item_433,BROOM,word,household,produces,BROOM,,broom,
item_434,BRUSH,word,household,produces,BRUSH,,brush (object),
item_435,CAMERA,word,household,produces,CAMERA,,camera,
item_436,CENT_COIN,word,household,produces,CENT/COIN,,penny,
item_437,COMB,word,household,produces,COMB,,comb (object),
item_438,FORK,word,household,produces,FORK,,fork,
item_439,GLASS,word,household,produces,GLASS,,glass,
item_440,HAMMER,word,household,produces,HAMMER,,hammer,
item_441,KEYS,word,household,produces,KEYS,,keys,
item_442,KNIFE,word,household,produces,KNIFE,,knife,
item_443,LETTER,word,household,produces,LETTER,,,
item_444,LIGHT,word,household,produces,LIGHT,,light (object),
item_445,MEDICINE,word,household,produces,MEDICINE,,medicine,
item_446,MONEY,word,household,produces,MONEY,,money,
item_447,MOP,word,household,produces,MOP,,,
item_448,NAPKIN,word,household,produces,NAPKIN,,,
item_449,NEWSPAPER,word,household,produces,NEWSPAPER,,,
item_450,PAPER,word,household,produces,PAPER,,paper,
item_451,PICTURE,word,household,produces,PICTURE,,picture,
item_452,PLANT,word,household,produces,PLANT,,plant,
item_453,PLATE,word,household,produces,PLATE,,plate,
item_454,PURSE,word,household,produces,PURSE,,purse,
item_455,RADIO,word,household,produces,RADIO,,radio,
item_456,SCISSORS,word,household,produces,SCISSORS,,scissors,
item_457,SOAP,word,household,produces,SOAP,,soap,
item_458,SPOON,word,household,produces,SPOON,,spoon,
item_459,TAPE,word,household,produces,TAPE,,,
item_460,TDD_TTY,word,household,produces,TDD/TTY,,,
item_461,TELEPHONE,word,household,produces,TELEPHONE,,telephone,
item_462,TISSUE_KLEENEX,word,household,produces,TISSUE/KLEENEX,,tissue,
item_463,TOOTHBRUSH,word,household,produces,TOOTHBRUSH,,toothbrush,
item_464,TOWEL,word,household,produces,TOWEL,,towel,
item_465,TRASH_GARBAGE,word,household,produces,TRASH/GARBAGE,,trash,
item_466,VACUUM,word,household,produces,VACUUM,,vacuum,
item_467,AIRPLANE,word,vehicles,produces,AIRPLANE,,airplane,
