itemID,item,type,category,choices,definition,gloss,uni_lemma,complexity_category
Item_1,resp_namesign,first_signs,,yes; no,Respond to his/her Name sign?,,,
Item_2,respond_no,first_signs,,yes; no,Respond to NO or FINISH by stopping what he/she is doing?,,,
Item_3,where_momdad,first_signs,,yes; no,Looking for mommy/daddy if you sign WHERE MOMMY/DADDY?,,,
Item_4,BE_CAREFUL,phrases,,yes; no,BE-CAREFUL,,,
Item_5,BRING_ME,phrases,,yes; no,BRING-ME,,,
Item_6,CHANGE_DIAPER,phrases,,yes; no,CHANGE DIAPER,,,
Item_7,COME_HERE,phrases,,yes; no,COME-HERE,,,
Item_8,DAD_MOM_HOME,phrases,,yes; no,DADDY/MOMMY HOME,,,
Item_9,DONT_NOTOUCH,phrases,,yes; no,DON’T TOUCH/NO TOUCH,,,
Item_10,FINISH,phrases,,yes; no,FINISH,,,
Item_11,GET_UP,phrases,,yes; no,GET-UP,,,
Item_12,GIVE_TO_MOMMY,phrases,,yes; no,GIVE-TO MOMMY,,,
Item_13,GIVE_ME_HUG,phrases,,yes; no,GIVE-ME HUG,,,
Item_14,GIVE_ME_KISS,phrases,,yes; no,GIVE-ME KISS,,,
Item_15,GOOD_GIRL_BOY,phrases,,yes; no,GOOD GIRL/BOY,,,
Item_16,OPEN_YOUR_MOUTH,phrases,,yes; no,OPEN YOUR MOUTH,,,
Item_17,SIT_DOWN,phrases,,yes; no,SIT-DOWN,,,
Item_18,SPIT_IT_OUT,phrases,,yes; no,SPIT IT OUT,,,
Item_19,TIME_GO_BYE_BYE,phrases,,yes; no,TIME GO BYE-BYE,,,
Item_20,THROW_BALL,phrases,,yes; no,THROW BALL,,,
Item_21,YOU_HUNGRY?,phrases,,yes; no,YOU HUNGRY?,,,
Item_22,YOU_TIRED_SLEEPY,phrases,,yes; no,YOU TIRED/SLEEPY?,,,
Item_23,YOU_WANT_GO,phrases,,yes; no,YOU-WANT GO?,,,
Item_24,YOU_WANT_MORE,phrases,,yes; no,YOU-WANT MORE?,,,
Item_25,ALLIGATOR,word,animals,yes; no,ALLIGATOR,,,
Item_26,ANT_BUG,word,animals,yes; no,ANT/BUG,,,
Item_27,BEAR,word,animals,yes; no,BEAR,,,
Item_28,BEE,word,animals,yes; no,BEE,,,
Item_29,BIRD_CHICKEN,word,animals,yes; no,BIRD/CHICKEN,,,
Item_30,BUNNY_RABBIT,word,animals,yes; no,BUNNY/RABBIT,,,
Item_31,BUTTERFLY,word,animals,yes; no,BUTTERFLY,,,
Item_32,CAT,word,animals,yes; no,CAT,,,
Item_33,COW,word,animals,yes; no,COW,,,
Item_34,DEER,word,animals,yes; no,DEER,,,
Item_35,DOG,word,animals,yes; no,DOG,,,
Item_36,DONKEY,word,animals,yes; no,DONKEY,,,
Item_37,DUCK,word,animals,yes; no,DUCK,,,
Item_38,ELEPHANT,word,animals,yes; no,ELEPHANT,,,
Item_39,FISH,word,animals,yes; no,FISH,,,
Item_40,FROG,word,animals,yes; no,FROG,,,
Item_41,GIRAFFE,word,animals,yes; no,GIRAFFE,,,
Item_42,HEN,word,animals,yes; no,HEN,,,
Item_43,HORSE,word,animals,yes; no,HORSE,,,
Item_44,LION,word,animals,yes; no,LION,,,
Item_45,MONKEY,word,animals,yes; no,MONKEY,,,
Item_46,MOUSE,word,animals,yes; no,MOUSE,,,
Item_47,OWL,word,animals,yes; no,OWL,,,
Item_48,PIG,word,animals,yes; no,PIG,,,
Item_49,ROOSTER,word,animals,yes; no,ROOSTER,,,
Item_50,SHEEP,word,animals,yes; no,SHEEP,,,
Item_51,SKUNK,word,animals,yes; no,SKUNK,,,
Item_52,SQUIRREL,word,animals,yes; no,SQUIRREL,,,
Item_53,TIGER,word,animals,yes; no,TIGER,,,
Item_54,TURKEY,word,animals,yes; no,TURKEY,,,
Item_55,TURTLE,word,animals,yes; no,TURTLE,,,
Item_56,WOLF,word,animals,yes; no,WOLF,,,
Item_57,BELT,word,clothing,yes; no,BELT,,,
Item_58,BIB,word,clothing,yes; no,BIB,,,
Item_59,BOOT,word,clothing,yes; no,BOOT,,,
Item_60,BUTTON,word,clothing,yes; no,BUTTON,,,
Item_61,DRESS_CLOTHES,word,clothing,yes; no,CLOTHES/DRESS,,,
Item_62,COAT_JACKET,word,clothing,yes; no,COAT/JACKET,,,
Item_63,DIAPER,word,clothing,yes; no,DIAPER,,,
Item_64,EARRING,word,clothing,yes; no,EARRING,,,
Item_65,GLOVES,word,clothing,yes; no,GLOVES,,,
Item_66,HAT,word,clothing,yes; no,HAT,,,
Item_67,HEARING_AID,word,clothing,yes; no,HEARING AID,,,
Item_68,NECKLACE,word,clothing,yes; no,NECKLACE,,,
Item_69,PAJAMAS,word,clothing,yes; no,PAJAMAS,,,
Item_70,PANTS,word,clothing,yes; no,PANTS,,,
Item_71,SCARF,word,clothing,yes; no,SCARF,,,
Item_72,SHIRT,word,clothing,yes; no,SHIRT,,,
Item_73,SHOE,word,clothing,yes; no,SHOE,,,
Item_74,SHORTS,word,clothing,yes; no,SHORTS,,,
Item_75,SNOWSUIT,word,clothing,yes; no,SNOWSUIT,,,
Item_76,SOCK,word,clothing,yes; no,SOCK,,,
Item_77,SWEATER,word,clothing,yes; no,SWEATER,,,
Item_78,TIGHTS,word,clothing,yes; no,TIGHTS,,,
Item_79,UNDERPANTS,word,clothing,yes; no,UNDERPANTS,,,
Item_80,ZIPPER,word,clothing,yes; no,ZIPPER,,,
Item_81,BAND_AID,word,household,yes; no,BAND-AID,,,
Item_82,BASKET,word,household,yes; no,BASKET,,,
Item_83,BLANKET,word,household,yes; no,BLANKET,,,
Item_84,BOTTLE,word,household,yes; no,BOTTLE,,,
Item_85,BOX,word,household,yes; no,BOX,,,
Item_86,BOWL,word,household,yes; no,BOWL,,,
Item_87,BROOM,word,household,yes; no,BROOM,,,
Item_88,BRUSH,word,household,yes; no,BRUSH,,,
Item_89,CAMERA,word,household,yes; no,CAMERA,,,
Item_90,COMB,word,household,yes; no,COMB,,,
Item_91,FORK,word,household,yes; no,FORK,,,
Item_92,GLASS,word,household,yes; no,GLASS,,,
Item_93,GLASSES,word,household,yes; no,GLASSES,,,
Item_94,HAMMER,word,household,yes; no,HAMMER,,,
Item_95,JAR,word,household,yes; no,JAR,,,
Item_96,KEYS,word,household,yes; no,KEYS,,,
Item_97,KNIFE,word,household,yes; no,KNIFE,,,
Item_98,LIGHT,word,household,yes; no,LIGHT,,,
Item_99,MEDICINE,word,household,yes; no,MEDICINE,,,
Item_100,MIRROR,word,household,yes; no,MIRROR,,,
Item_101,MONEY,word,household,yes; no,MONEY,,,
Item_102,MOP,word,household,yes; no,MOP,,,
Item_103,NAPKIN,word,household,yes; no,NAPKIN,,,
Item_104,PAPER,word,household,yes; no,PAPER,,,
Item_105,CENT_COIN,word,household,yes; no,PENNY/CENT/COIN,,,
Item_106,PICTURE,word,household,yes; no,PICTURE,,,
Item_107,PLANT,word,household,yes; no,PLANT,,,
Item_108,PLATE,word,household,yes; no,PLATE,,,
Item_109,PURSE,word,household,yes; no,PURSE,,,
Item_110,RADIO,word,household,yes; no,RADIO,,,
Item_111,SCISSORS,word,household,yes; no,SCISSORS,,,
Item_112,SOAP,word,household,yes; no,SOAP,,,
Item_113,SPOON,word,household,yes; no,SPOON,,,
Item_114,TAPE,word,household,yes; no,TAPE,,,
Item_115,TELEPHONE,word,household,yes; no,TELEPHONE,,,
Item_116,TISSUE_KLEENEX,word,household,yes; no,TISSUE/KLEENEX,,,
Item_117,TOOTHBRUSH,word,household,yes; no,TOOTHBRUSH,,,
Item_118,TOWEL,word,household,yes; no,TOWEL,,,
Item_119,TRASH_GARBAGE,word,household,yes; no,TRASH/GARBAGE,,,
Item_120,VACUUM,word,household,yes; no,VACUUM,,,
Item_121,WRISTWATCH,word,household,yes; no,WRISTWATCH,,,
Item_122,AUNT,word,people,yes; no,AUNT,,,
Item_123,BABY,word,people,yes; no,BABY,,,
Item_124,BABYSITTER,word,people,yes; no,BABYSITTER,,,
Item_125,BABYSITTER_Name,word,people,yes; no,(Babysitter's NAme),,,
Item_126,BOY,word,people,yes; no,BOY,,,
Item_127,BROTHER,word,people,yes; no,BROTHER,,,
Item_128,Childs_Own_Name,word,people,yes; no,Child's own NAme,,,
Item_129,CHILD_KID,word,people,yes; no,CHILD/KID,,,
Item_130,CLOWN,word,people,yes; no,CLOWN,,,
Item_131,COWBOY,word,people,yes; no,COWBOY,,,
Item_132,DADDY,word,people,yes; no,DADDY,,,
Item_133,DOCTOR,word,people,yes; no,DOCTOR,,,
Item_134,FIREMAN,word,people,yes; no,FIREMAN,,,
Item_135,FRIEND,word,people,yes; no,FRIEND,,,
Item_136,GIRL,word,people,yes; no,GIRL,,,
Item_137,GRANDMA,word,people,yes; no,GRANDMA,,,
Item_138,GRANDPA,word,people,yes; no,GRANDPA,,,
Item_139,INDIAN,word,people,yes; no,INDIAN,,,
