"type","value","data_value"
"sex","M","M"
"sex","F","F"
"first_signs","no","N"
"first_signs","yes","Y"
"phrases",,"N"
"phrases","understands","Y"
"word",,"N"
"word","understands","U"
"word","produces","P"
"combine","no","N"
"combine","yes","Y"
