itemID,item,type,choices,category,definition,complexity_category,gloss,uni_lemma
item_1,1_ai_au_vai_,word,produces,sounds,ai/au/vai/auč,NA,ouch,ouch
item_2,2_be_e_e_be_,word,produces,sounds,be-e-e/bē/mē,NA,sheep,baa baa
item_3,3_br_brm_bru,word,produces,sounds,br/brm/brum,NA,car,vroom
item_4,4_brr_aukst,word,produces,sounds,brr,NA,cold,brrr
item_5,5_civ_civ_p,word,produces,sounds,čiv-čiv,NA,bird,tweet tweet
item_6,6_cuk_cuk_tu,word,produces,sounds,čuk-čuk/tu-tū,NA,train,choo choo
item_7,7_ia_zirgs_,word,produces,sounds,iā,NA,horse,neigh
item_8,8_kikerigu_,word,produces,sounds,kikerigū,NA,rooster,cockadoodledoo
item_9,9_kra_kra_v,word,produces,sounds,krā-krā,NA,crow,caw
item_10,10_ku_ku_dze,word,produces,sounds,ku-kū,NA,coocoo bird,coo
item_11,11_kva_kva_v,word,produces,sounds,kvā-kvā,NA,frog,ribbit
item_12,12_mu_govs_,word,produces,sounds,mū,NA,cow,moo
item_13,13_nam_nam_e,word,produces,sounds,ņam-ņam,NA,eating,yum yum
item_14,14_nau_miau_,word,produces,sounds,ņau/miau,NA,cat,meow
item_15,15_pek_pek_pe,word,produces,sounds,pēk-pēk/pek-pek,NA,duck,quack quack
item_16,16_pi_pi_pel,word,produces,sounds,pī-pī,NA,mouse,squeak
item_17,17_puk_puk_e,word,produces,sounds,puk-puk,NA,hedgehog,snuffle
item_18,18_ruk_ruk_c,word,produces,sounds,ruk-ruk,NA,pig,oink
item_19,19_sss_zzz_zz,word,produces,sounds,sss/zzz/žžž,NA,ply,buzz
item_20,20_vau_vau_s,word,produces,sounds,vau-vau,NA,dog,woof woof
item_21,21_aita,word,produces,animals,aita,NA,sheep,sheep
item_22,22_balodis,word,produces,animals,balodis,NA,pidgeon,pigeon
item_23,23_bite,word,produces,animals,bite,NA,bee,bee
item_24,24_brunurupuc,word,produces,animals,bruņurupucis,NA,turtle,turtle
item_25,25_calis,word,produces,animals,cālis,NA,chicken,chicken
item_26,26_cuka,word,produces,animals,cūka,NA,pig,pig
item_27,27_cuska,word,produces,animals,čūska,NA,snake,snake
