itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_34,baa_baa,word,sounds,understands; produces,baa baa,NA,baa baa,baa baa
item_35,choo_choo,word,sounds,understands; produces,choo choo,NA,choo choo,choo choo
item_36,cockadoodledoo,word,sounds,understands; produces,cockadoodledoo,NA,cockadoodledoo,cockadoodledoo
item_37,grrr,word,sounds,understands; produces,grrr,NA,grrr,grrr
item_38,meow,word,sounds,understands; produces,meow,NA,meow,meow
item_39,moo,word,sounds,understands; produces,moo,NA,moo,moo
item_40,ouch,word,sounds,understands; produces,ouch,NA,ouch,ouch
item_41,quack_quack,word,sounds,understands; produces,quack quack,NA,quack quack,quack quack
item_42,uh_oh,word,sounds,understands; produces,uh oh,NA,uh oh,uh oh
item_43,vroom,word,sounds,understands; produces,vroom,NA,vroom,vroom
item_44,woof_woof,word,sounds,understands; produces,woof woof,NA,woof woof,woof woof
item_45,yum_yum,word,sounds,understands; produces,yum yum,NA,yum yum,yum yum
item_46,animal,word,animals,understands; produces,animal,NA,animal,animal
item_47,bear,word,animals,understands; produces,bear,NA,bear,bear
item_48,bee,word,animals,understands; produces,bee,NA,bee,bee
item_49,bird,word,animals,understands; produces,bird,NA,bird,bird
item_50,bug,word,animals,understands; produces,bug,NA,bug,bug
item_51,bunny,word,animals,understands; produces,bunny,NA,bunny,bunny
item_52,butterfly,word,animals,understands; produces,butterfly,NA,butterfly,butterfly
item_53,cat,word,animals,understands; produces,cat,NA,cat,cat
item_54,chicken.animal,word,animals,understands; produces,chicken (animal),NA,chicken (animal),chicken (animal)
item_55,cow,word,animals,understands; produces,cow,NA,cow,cow
item_56,deer,word,animals,understands; produces,deer,NA,deer,deer
item_57,dog,word,animals,understands; produces,dog,NA,dog,dog
item_58,donkey,word,animals,understands; produces,donkey,NA,donkey,donkey
item_59,duck,word,animals,understands; produces,duck,NA,duck,duck
item_60,elephant,word,animals,understands; produces,elephant,NA,elephant,elephant
item_61,fish.animal,word,animals,understands; produces,fish (animal),NA,fish (animal),fish (animal)
item_62,frog,word,animals,understands; produces,frog,NA,frog,frog
item_63,giraffe,word,animals,understands; produces,giraffe,NA,giraffe,giraffe
item_64,goose,word,animals,understands; produces,goose,NA,goose,goose
item_65,horse,word,animals,understands; produces,horse,NA,horse,horse
item_66,kitty,word,animals,understands; produces,kitty,NA,kitty,kitty
item_67,lamb,word,animals,understands; produces,lamb,NA,lamb,lamb
item_68,lion,word,animals,understands; produces,lion,NA,lion,lion
item_69,monkey,word,animals,understands; produces,monkey,NA,monkey,monkey
item_70,mouse,word,animals,understands; produces,mouse,NA,mouse,mouse
item_71,owl,word,animals,understands; produces,owl,NA,owl,owl
item_72,penguin,word,animals,understands; produces,penguin,NA,penguin,penguin
item_73,pig,word,animals,understands; produces,pig,NA,pig,pig
item_74,pony,word,animals,understands; produces,pony,NA,pony,pony
item_75,puppy,word,animals,understands; produces,puppy,NA,puppy,puppy
item_76,sheep,word,animals,understands; produces,sheep,NA,sheep,sheep
item_77,squirrel,word,animals,understands; produces,squirrel,NA,squirrel,squirrel
item_78,teddybear,word,animals,understands; produces,teddybear,NA,teddybear,teddybear
item_79,tiger,word,animals,understands; produces,tiger,NA,tiger,tiger
item_80,turkey,word,animals,understands; produces,turkey,NA,turkey,turkey
item_81,turtle,word,animals,understands; produces,turtle,NA,turtle,turtle
item_82,airplane,word,vehicles,understands; produces,airplane,NA,airplane,airplane
item_83,bicycle,word,vehicles,understands; produces,bicycle,NA,bicycle,bicycle
item_84,bus,word,vehicles,understands; produces,bus,NA,bus,bus
item_85,car,word,vehicles,understands; produces,car,NA,car,car
item_86,firetruck,word,vehicles,understands; produces,firetruck,NA,firetruck,firetruck
item_87,motorcycle,word,vehicles,understands; produces,motorcycle,NA,motorcycle,motorcycle
item_88,stroller,word,vehicles,understands; produces,stroller,NA,stroller,stroller
item_89,train,word,vehicles,understands; produces,train,NA,train,train
item_90,truck,word,vehicles,understands; produces,truck,NA,truck,truck
item_91,ball,word,toys,understands; produces,ball,NA,ball,ball
item_92,balloon,word,toys,understands; produces,balloon,NA,balloon,balloon
item_93,block,word,toys,understands; produces,block,NA,block,blocks
item_94,book,word,toys,understands; produces,book,NA,book,book
item_95,bubbles,word,toys,understands; produces,bubbles,NA,bubbles,bubbles
item_96,doll,word,toys,understands; produces,doll,NA,doll,doll
item_97,pen,word,toys,understands; produces,pen,NA,pen,pen
item_98,toy,word,toys,understands; produces,toy (object),NA,toy (object),toy (object)
item_99,apple,word,food_drink,understands; produces,apple,NA,apple,apple
item_100,banana,word,food_drink,understands; produces,banana,NA,banana,banana
item_101,bread,word,food_drink,understands; produces,bread,NA,bread,bread
item_102,butter,word,food_drink,understands; produces,butter,NA,butter,butter
item_103,cake,word,food_drink,understands; produces,cake,NA,cake,cake
item_104,candy,word,food_drink,understands; produces,candy,NA,candy,candy
item_105,carrots,word,food_drink,understands; produces,carrots,NA,carrots,carrot
item_106,cereal,word,food_drink,understands; produces,cereal,NA,cereal,cereal
item_107,cheerios,word,food_drink,understands; produces,cheerios,NA,cheerios,cheerios
item_108,cheese,word,food_drink,understands; produces,cheese,NA,cheese,cheese
item_109,chicken.food,word,food_drink,understands; produces,chicken (food),NA,chicken (food),chicken (food)
item_110,coffee,word,food_drink,understands; produces,coffee,NA,coffee,coffee
item_111,cookie,word,food_drink,understands; produces,cookie,NA,cookie,cookie
item_112,cracker,word,food_drink,understands; produces,cracker,NA,cracker,cracker
item_113,drink.beverage,word,food_drink,understands; produces,drink (beverage),NA,drink (beverage),drink (beverage)
item_114,egg,word,food_drink,understands; produces,egg,NA,egg,egg
item_115,fish.food,word,food_drink,understands; produces,fish (food),NA,fish (food),fish (food)
item_116,food,word,food_drink,understands; produces,food,NA,food,food
item_117,ice_cream,word,food_drink,understands; produces,ice cream,NA,ice cream,ice cream
item_118,juice,word,food_drink,understands; produces,juice,NA,juice,juice
item_119,meat,word,food_drink,understands; produces,meat,NA,meat,meat
item_120,milk,word,food_drink,understands; produces,milk,NA,milk,milk
item_121,noodles,word,food_drink,understands; produces,noodles,NA,noodles,pasta
item_122,orange,word,food_drink,understands; produces,orange (food),NA,orange (food),orange (food)
item_123,peas,word,food_drink,understands; produces,peas,NA,peas,peas
item_124,pizza,word,food_drink,understands; produces,pizza,NA,pizza,pizza
item_125,raisin,word,food_drink,understands; produces,raisin,NA,raisin,raisin
item_126,spaghetti,word,food_drink,understands; produces,spaghetti,NA,spaghetti,pasta
item_127,toast,word,food_drink,understands; produces,toast,NA,toast,toast
item_128,water.beverage,word,food_drink,understands; produces,water (beverage),NA,water (beverage),water (beverage)
item_129,beads,word,clothing,understands; produces,beads,NA,beads,beads
item_130,bib,word,clothing,understands; produces,bib,NA,bib,bib
item_131,boots,word,clothing,understands; produces,boots,NA,boots,boots
item_132,button,word,clothing,understands; produces,button,NA,button,button
item_133,coat,word,clothing,understands; produces,coat,NA,coat,coat
item_134,diaper,word,clothing,understands; produces,diaper,NA,diaper,diaper
item_135,dress,word,clothing,understands; produces,dress (object),NA,dress (object),dress (object)
item_136,hat,word,clothing,understands; produces,hat,NA,hat,hat
item_137,jacket,word,clothing,understands; produces,jacket,NA,jacket,jacket
item_138,jeans,word,clothing,understands; produces,jeans,NA,jeans,jeans
item_139,necklace,word,clothing,understands; produces,necklace,NA,necklace,necklace
item_140,pajamas,word,clothing,understands; produces,pajamas,NA,pajamas,pajamas
item_141,pants,word,clothing,understands; produces,pants,NA,pants,pants
item_142,shirt,word,clothing,understands; produces,shirt,NA,shirt,shirt
item_143,shoe,word,clothing,understands; produces,shoe,NA,shoe,shoe
item_144,shorts,word,clothing,understands; produces,shorts,NA,shorts,shorts
item_145,sock,word,clothing,understands; produces,sock,NA,sock,sock
item_146,sweater,word,clothing,understands; produces,sweater,NA,sweater,sweater
item_147,zipper,word,clothing,understands; produces,zipper,NA,zipper,zipper
item_148,arm,word,body_parts,understands; produces,arm,NA,arm,arm
item_149,belly_button,word,body_parts,understands; produces,belly button,NA,belly button,belly button
item_150,cheek,word,body_parts,understands; produces,cheek,NA,cheek,cheek
item_151,ear,word,body_parts,understands; produces,ear,NA,ear,ear
item_152,eye,word,body_parts,understands; produces,eye,NA,eye,eye
item_153,face,word,body_parts,understands; produces,face,NA,face,face
item_154,foot,word,body_parts,understands; produces,foot,NA,foot,foot
item_155,finger,word,body_parts,understands; produces,finger,NA,finger,finger
item_156,hair,word,body_parts,understands; produces,hair,NA,hair,hair
item_157,hand,word,body_parts,understands; produces,hand,NA,hand,hand
item_158,head,word,body_parts,understands; produces,head,NA,head,head
item_159,knee,word,body_parts,understands; produces,knee,NA,knee,knee
item_160,leg,word,body_parts,understands; produces,leg,NA,leg,leg
item_161,mouth,word,body_parts,understands; produces,mouth,NA,mouth,mouth
item_162,nose,word,body_parts,understands; produces,nose,NA,nose,nose
item_163,owie,word,body_parts,understands; produces,owie/boo boo,NA,owie/boo boo,owie
item_164,tooth,word,body_parts,understands; produces,tooth,NA,tooth,tooth
item_165,toe,word,body_parts,understands; produces,toe,NA,toe,toe
item_166,tongue,word,body_parts,understands; produces,tongue,NA,tongue,tongue
item_167,tummy,word,body_parts,understands; produces,tummy,NA,tummy,tummy
item_168,bathroom,word,furniture_rooms,understands; produces,bathroom,NA,bathroom,bathroom
item_169,bathtub,word,furniture_rooms,understands; produces,bathtub,NA,bathtub,bathtub
item_170,bed,word,furniture_rooms,understands; produces,bed,NA,bed,bed
item_171,bedroom,word,furniture_rooms,understands; produces,bedroom,NA,bedroom,bedroom
item_172,chair,word,furniture_rooms,understands; produces,chair,NA,chair,chair
item_173,couch,word,furniture_rooms,understands; produces,couch,NA,couch,couch
item_174,crib,word,furniture_rooms,understands; produces,crib,NA,crib,crib
item_175,door,word,furniture_rooms,understands; produces,door,NA,door,door
item_176,drawer,word,furniture_rooms,understands; produces,drawer,NA,drawer,drawer
item_177,garage,word,furniture_rooms,understands; produces,garage,NA,garage,garage
item_178,high_chair,word,furniture_rooms,understands; produces,high chair,NA,high chair,high chair
item_179,kitchen,word,furniture_rooms,understands; produces,kitchen,NA,kitchen,kitchen
item_180,living_room,word,furniture_rooms,understands; produces,living room,NA,living room,living room
item_181,oven,word,furniture_rooms,understands; produces,oven,NA,oven,oven
item_182,play_pen,word,furniture_rooms,understands; produces,play pen,NA,play pen,play pen
item_183,potty,word,furniture_rooms,understands; produces,potty,NA,potty,potty
item_184,refrigerator,word,furniture_rooms,understands; produces,refrigerator,NA,refrigerator,refrigerator
item_185,rocking_chair,word,furniture_rooms,understands; produces,rocking chair,NA,rocking chair,rocking chair
item_186,sink,word,furniture_rooms,understands; produces,sink,NA,sink,sink
item_187,stairs,word,furniture_rooms,understands; produces,stairs,NA,stairs,stairs
item_188,stove,word,furniture_rooms,understands; produces,stove,NA,stove,stove
item_189,table,word,furniture_rooms,understands; produces,table,NA,table,table
item_190,tv,word,furniture_rooms,understands; produces,TV,NA,TV,TV
item_191,window,word,furniture_rooms,understands; produces,window,NA,window,window
item_192,blanket,word,household,understands; produces,blanket,NA,blanket,blanket
item_193,bottle,word,household,understands; produces,bottle,NA,bottle,bottle
item_194,bowl,word,household,understands; produces,bowl,NA,bowl,bowl
item_195,box,word,household,understands; produces,box,NA,box,box
item_196,broom,word,household,understands; produces,broom,NA,broom,broom
item_197,brush,word,household,understands; produces,brush,NA,brush,brush (object)
item_198,clock,word,household,understands; produces,clock,NA,clock,clock
item_199,comb,word,household,understands; produces,comb,NA,comb,comb (object)
item_200,cup,word,household,understands; produces,cup,NA,cup,cup
item_201,dish,word,household,understands; produces,dish,NA,dish,dish
item_202,fork,word,household,understands; produces,fork,NA,fork,fork
item_203,glass,word,household,understands; produces,glass,NA,glass,glass
item_204,glasses,word,household,understands; produces,glasses,NA,glasses,glasses
item_205,hammer,word,household,understands; produces,hammer,NA,hammer,hammer
item_206,keys,word,household,understands; produces,keys,NA,keys,key
item_207,lamp,word,household,understands; produces,lamp,NA,lamp,lamp
item_208,light,word,household,understands; produces,light,NA,light,light (object)
item_209,medicine,word,household,understands; produces,medicine,NA,medicine,medicine
item_210,money,word,household,understands; produces,money,NA,money,money
item_211,paper,word,household,understands; produces,paper,NA,paper,paper
item_212,penny,word,household,understands; produces,penny,NA,penny,penny
item_213,picture,word,household,understands; produces,picture,NA,picture,picture
item_214,pillow,word,household,understands; produces,pillow,NA,pillow,pillow
item_215,plant,word,household,understands; produces,plant,NA,plant,plant
item_216,plate,word,household,understands; produces,plate,NA,plate,plate
item_217,purse,word,household,understands; produces,purse,NA,purse,purse
item_218,radio,word,household,understands; produces,radio,NA,radio,radio
item_219,scissors,word,household,understands; produces,scissors,NA,scissors,scissors
item_220,soap,word,household,understands; produces,soap,NA,soap,soap
item_221,spoon,word,household,understands; produces,spoon,NA,spoon,spoon
