"type","value","data_value"
"sex","M","male"
"sex","F","female"
"first_signs","yes","Yes"
"first_signs","no","No"
"phrases","understands","Understands"
"phrases",,"No"
"starting_to_talk","never","Never"
"starting_to_talk","sometimes","Sometimes"
"starting_to_talk","often","Often"
"word","produces","Produces"
"word","understands","Understands"
"word",,"No"
"gestures_first","not yet","Not Yet"
"gestures_first","not yet","Never"
"gestures_first","sometimes","Sometimes"
"gestures_first","often","Often"
"gestures_games","yes","Yes"
"gestures_games","no","No"
"gestures_objects","yes","Yes"
"gestures_objects","no","No"
"gestures_parent","yes","Yes"
"gestures_parent","no","No"
"gestures_adult","yes","Yes"
"gestures_adult","no","No"
